team_no	attempt_no	turn_no	utterance_no	start	end	subject	verb	object	instructions	pending_instructions	matching
8	1	3	26	118.508	119.380	B	says	um	[]	[]	[]
8	1	3	27	120.310	121.520	B	says	things used .	[]	[]	[]
8	1	3	28	121.745	122.888	A	says	yeah probably .	[]	[]	[]
8	1	3	29	122.350	124.826	B	says	why is mine this weird , why is mine here ?	[]	[]	[]
8	1	3	-1	125.186	125.186	A	adds	Interlaken-Bern (5-3)	[]	[]	[DO_A(ADD(5, 3)), NONMATCH_A(DO_A(ADD(5, 3)))]
8	1	4	30	126.783	129.245	B	says	oh there , i'm doomed .	[]	[]	[]
8	1	4	31	129.470	132.087	B	says	how do i make it ?	[]	[]	[]
8	1	4	32	131.271	138.940	I	says	if you want to see a bit more like revise the instructions just read the instructions from the i button to see why you are on that screen .	[]	[]	[]
8	1	4	-1	139.163	139.163	B	presses	help (enabled)	[]	[]	[]
8	1	4	33	139.404	140.135	A	says	okay .	[]	[]	[]
8	1	4	-1	140.527	140.527	A	presses	help (enabled)	[]	[]	[]
8	1	4	-1	158.855	158.855	R	shows	thinking gesture	[]	[]	[]
8	1	4	-1	158.869	158.869	R	says	hmm, i see.	[]	[]	[]
8	1	4	34	160.242	161.830	R	says	i see .	[]	[]	[]
8	1	4	35	161.214	163.592	B	says	why did you do i see here ?	[]	[]	[]
8	1	4	36	164.548	165.069	B	says	okay .	[]	[]	[]
8	1	4	37	165.505	166.602	B	says	this does not	[]	[]	[]
8	1	4	38	165.537	167.379	I	says	did you read the instructions ?	[]	[]	[]
8	1	4	-1	166.329	166.329	B	adds	Basel-Neuchatel (0-7)	[]	[]	[DO_B(ADD(0, 7)), NONMATCH_B(DO_B(ADD(0, 7)))]
8	1	4	39	167.376	168.515	A	says	yes , but	[]	[]	[]
8	1	4	40	168.143	170.210	I	says	did you understand why you are on that ?	[]	[]	[]
8	1	4	-1	169.658	169.658	A	presses	help (enabled)	[]	[]	[]
8	1	4	41	170.374	171.401	A	says	um	[]	[]	[]
8	1	4	42	170.402	171.485	B	says	yeah , kinda .	[]	[]	[]
8	1	4	43	171.711	174.383	A	says	kinda , not really , why ?	[]	[]	[]
8	1	4	-1	173.371	173.371	B	adds	Montreux-Neuchatel (6-7)	[]	[]	[DO_B(ADD(6, 7)), NONMATCH_B(DO_B(ADD(6, 7)))]
8	1	5	44	175.495	176.507	A	says	oh , i'm back .	[]	[]	[]
8	1	5	-1	177.180	177.180	B	presses	help (enabled)	[]	[]	[]
8	1	5	-1	181.000	181.000	A	adds	Luzern-Zermatt (1-4)	[]	[]	[DO_A(ADD(1, 4)), NONMATCH_A(DO_A(ADD(1, 4)))]
8	1	5	-1	181.415	181.415	R	shows	observe gesture	[]	[]	[]
8	1	5	45	181.813	186.769	R	says	guys , do not hesitate to submit your solution .	[]	[]	[]
8	1	5	46	187.569	188.146	B	says	no .	[]	[]	[]
8	1	5	47	189.088	192.999	B	says	we are not submitting our answers right now , sorry .	[]	[]	[]
8	1	5	48	192.943	194.940	A	says	no , we are not done .	[]	[]	[]
8	1	5	49	195.505	197.010	B	says	oh , why i'm on this .	[]	[]	[]
8	1	5	-1	196.279	196.279	B	presses	help (enabled)	[]	[]	[]
8	1	5	50	199.232	201.033	B	says	okay i'll tap .	[]	[]	[]
8	1	5	51	203.440	204.833	A	says	no .	[]	[]	[]
8	1	5	52	203.595	204.228	B	says	oh .	[]	[]	[]
8	1	5	53	204.763	205.593	B	says	what happened ?	[]	[]	[]
8	1	5	54	207.072	208.943	B	says	why is it not doing ?	[]	[]	[]
8	1	5	55	208.071	210.181	A	says	because we already have 9 out of 10 .	[]	[]	[]
8	1	5	56	214.668	216.385	B	says	oh my gosh i can't go .	[]	[]	[]
8	1	5	57	217.076	219.398	I	says	i think you didn't read the instructions .	[]	[]	[]
8	1	5	-1	218.746	218.746	B	presses	help (enabled)	[]	[]	[]
8	1	5	58	219.467	220.452	B	says	what am i supposed	[]	[]	[]
8	1	5	59	222.112	222.843	B	says	here ?	[]	[]	[]
8	1	5	60	222.203	223.671	I	says	at the very top .	[]	[]	[]
8	1	5	61	223.631	224.320	B	says	here .	[]	[]	[]
8	1	5	62	224.886	226.110	B	says	abstract view .	[]	[]	[]
8	1	5	63	228.192	229.528	B	says	your friend's view .	[]	[]	[]
8	1	5	64	229.753	232.688	I	says	yeah and then , what does the abstract view show you ?	[]	[]	[]
8	1	5	-1	231.547	231.547	A	presses	help (enabled)	[]	[]	[]
8	1	5	65	233.143	234.508	B	says	interactive view .	[]	[]	[]
8	1	5	66	234.201	235.893	I	says	no , like	[]	[]	[]
8	1	5	67	235.607	236.001	A	says	look .	[]	[]	[]
8	1	5	68	236.212	237.816	A	says	it says right here .	[]	[]	[]
8	1	5	69	238.055	243.091	A	says	says like , the interactive view into the abstract view .	[]	[]	[]
8	1	5	70	243.345	246.749	A	says	and then it has abstract view and then it says what it does .	[]	[]	[]
8	1	5	71	245.357	246.693	B	says	oh yeah this	[]	[]	[]
8	1	5	72	247.540	249.326	B	says	view you can not build	[]	[]	[]
8	1	5	73	258.445	259.838	B	says	oh !	[]	[]	[]
8	1	5	74	260.274	262.679	B	says	oh oops .	[]	[]	[]
8	1	5	-1	264.308	264.308	A	adds	Zermatt-Montreux (4-6)	[]	[]	[DO_A(ADD(4, 6)), NONMATCH_A(DO_A(ADD(4, 6)))]
8	1	6	75	264.578	267.012	B	says	okay , now i get it , oh yeah i'm here .	[]	[]	[]
8	1	6	76	268.378	268.983	B	says	okay .	[]	[]	[]
8	1	6	77	269.391	270.094	A	says	wait what ?	[]	[]	[]
8	1	6	78	270.755	272.908	B	says	so we need to i'm erasing these .	[]	[]	[]
8	1	6	-1	272.412	272.412	B	removes	Luzern-Zermatt (1-4)	[]	[]	[DO_B(REMOVE(1, 4)), NONMATCH_B(DO_B(REMOVE(1, 4)))]
8	1	6	79	273.217	273.920	B	says	i'm sorry .	[]	[]	[]
8	1	6	80	273.273	273.850	A	says	yeah .	[]	[]	[]
8	1	6	81	274.147	275.244	A	says	yeah i'll erase it .	[]	[]	[]
8	1	6	-1	274.206	274.206	B	removes	Zermatt-Montreux (4-6)	[]	[]	[DO_B(REMOVE(4, 6)), NONMATCH_B(DO_B(REMOVE(4, 6)))]
8	1	7	82	274.231	275.286	B	says	and we just start again .	[]	[]	[]
8	1	7	83	275.807	277.143	A	says	um i don't know .	[]	[]	[]
8	1	7	84	276.369	276.890	B	says	uh	[]	[]	[]
8	1	7	85	277.636	280.379	A	says	so we will erase all of them entirely ?	[]	[]	[]
8	1	7	86	279.661	280.266	B	says	yeah .	[]	[]	[]
8	1	7	87	282.589	283.785	A	says	right now i want to erase .	[]	[]	[]
8	1	7	88	284.911	287.372	B	says	i'm at the black right now so got to chill .	[]	[]	[]
8	1	7	89	288.682	289.329	B	says	chill .	[]	[]	[]
8	1	7	90	289.765	290.876	A	says	how do you erase ?	[]	[]	[]
8	1	7	91	291.101	292.395	B	says	you just hold it .	[]	[]	[]
8	1	7	-1	291.387	291.387	A	removes	Interlaken-Bern (5-3)	[]	[]	[DO_A(REMOVE(5, 3)), NONMATCH_A(DO_A(REMOVE(5, 3)))]
8	1	7	92	293.017	295.113	B	says	and you get the like the little erase thingy .	[]	[]	[]
8	1	7	93	297.012	299.431	B	says	wait i can't do anything until it stops ?	[]	[]	[]
8	1	7	-1	299.147	299.147	A	removes	Montreux-Neuchatel (6-7)	[]	[]	[DO_A(REMOVE(6, 7)), NONMATCH_A(DO_A(REMOVE(6, 7)))]
8	1	8	94	300.023	303.568	B	says	like when she oh so when she do something it stops for me ?	[]	[]	[]
8	1	8	95	301.556	302.336	I	says	yes .	[]	[]	[]
8	1	8	96	303.909	308.672	I	says	yeah but you see something right , you see something she doesn't see so you have to help each other .	[]	[]	[]
8	1	8	97	310.337	312.335	B	says	oh , seriously ?	[]	[]	[]
8	1	8	98	313.390	315.106	B	says	she sees not what i see ?	[]	[]	[]
8	1	8	99	316.037	320.853	I	says	no it's so it means you guys didn't see the instructions or didn't hear them well .	[]	[]	[]
8	1	8	100	323.577	325.926	B	says	wait it's not erasing for other .	[]	[]	[]
8	1	8	101	323.619	327.605	I	says	you see you see different views at all times .	[]	[]	[]
8	1	8	-1	324.530	324.530	B	removes	Gallen-Davos (8-9)	[]	[]	[DO_B(REMOVE(8, 9)), NONMATCH_B(DO_B(REMOVE(8, 9)))]
8	1	8	-1	327.756	327.756	B	removes	Zurich-Gallen (2-8)	[]	[]	[DO_B(REMOVE(2, 8)), NONMATCH_B(DO_B(REMOVE(2, 8)))]
8	1	9	102	328.504	330.782	B	says	oh that explains everything .	[]	[]	[]
8	1	9	103	332.780	333.990	A	says	it does .	[]	[]	[]
8	1	9	104	335.607	337.746	B	says	wait so her mountains are not the same ?	[]	[]	[]
8	1	9	105	342.868	347.738	I	says	okay i would still suggest you to read the instructions because everything is mentioned in the instructions .	[]	[]	[]
8	1	9	-1	347.445	347.445	B	presses	help (enabled)	[]	[]	[]
8	1	9	106	347.709	348.806	B	says	okay .	[]	[]	[]
8	1	9	107	348.074	349.200	A	says	okay .	[]	[]	[]
8	1	9	-1	349.493	349.493	A	presses	help (enabled)	[]	[]	[]
8	1	9	108	349.622	352.136	I	says	so just yeah both of you take your time to read.	[]	[]	[]
8	1	9	-1	355.179	355.179	B	presses	help (enabled)	[]	[]	[]
8	1	9	109	355.180	355.827	B	says	what ?	[]	[]	[]
8	1	9	-1	355.995	355.995	B	presses	help (enabled)	[]	[]	[]
8	1	9	110	356.195	364.385	I	says	one of you will start with interactive view other with abstract view , so you both have these views but when one has one the other has the other .	[]	[]	[]
8	1	9	111	365.081	369.983	A	says	oh , so like when i have this you have this when i have this you have this ?	[]	[]	[]
8	1	9	112	365.145	366.577	B	says	oh .	[]	[]	[]
8	1	9	113	369.336	371.816	B	says	so when i have the mountains you have the black .	[]	[]	[]
8	1	9	114	371.559	372.361	A	says	exactly .	[]	[]	[]
8	1	9	115	372.107	373.584	B	says	when you have the mountains i have the black .	[]	[]	[]
8	1	9	116	372.361	373.792	A	says	oh , okay .	[]	[]	[]
8	1	9	117	374.514	376.329	B	says	that's why we have to talk , okay .	[]	[]	[]
8	1	9	118	376.638	377.679	B	says	now we get it .	[]	[]	[]
8	1	9	119	377.482	385.094	A	says	i think i'm gonna put um , mount zermatt to the one above it .	[ADD(4, None)]	[INSTRUCT_A(ADD(4, None))]	[INSTRUCT_A(ADD(4, None))]
8	1	9	120	385.179	386.320	B	says	mount zurich ?	[ADD(2, None)]	[INSTRUCT_A(ADD(4, None)), INSTRUCT_B(ADD(2, None))]	[INSTRUCT_B(ADD(2, None))]
8	1	9	121	387.671	388.619	A	says	no like	[]	[INSTRUCT_A(ADD(4, None)), INSTRUCT_B(ADD(2, None))]	[]
8	1	9	122	388.444	391.243	B	says	mount luzern to mount zurich ?	[ADD(1, 2)]	[INSTRUCT_A(ADD(4, None)), INSTRUCT_B(ADD(2, None)), INSTRUCT_B(ADD(1, 2))]	[INSTRUCT_B(ADD(1, 2))]
8	1	9	123	392.723	393.159	B	says	oh .	[]	[INSTRUCT_A(ADD(4, None)), INSTRUCT_B(ADD(2, None)), INSTRUCT_B(ADD(1, 2))]	[]
8	1	9	124	392.765	395.972	A	says	no mount zermatt to the one above it .	[ADD(4, None)]	[INSTRUCT_A(ADD(4, None)), INSTRUCT_B(ADD(2, None)), INSTRUCT_B(ADD(1, 2)), INSTRUCT_A(ADD(4, None))]	[INSTRUCT_A(ADD(4, None))]
8	1	9	125	396.999	398.673	B	says	yeah , to mount luzern .	[ADD(1, None)]	[INSTRUCT_A(ADD(4, None)), INSTRUCT_B(ADD(2, None)), INSTRUCT_B(ADD(1, 2)), INSTRUCT_A(ADD(4, None)), INSTRUCT_B(ADD(1, None))]	[INSTRUCT_B(ADD(1, None))]
8	1	9	126	399.123	400.375	A	says	luzern .	[ADD(1, None)]	[INSTRUCT_A(ADD(4, None)), INSTRUCT_B(ADD(2, None)), INSTRUCT_B(ADD(1, 2)), INSTRUCT_A(ADD(4, None)), INSTRUCT_B(ADD(1, None)), INSTRUCT_A(ADD(1, None))]	[INSTRUCT_A(ADD(1, None))]
8	1	9	127	400.361	401.782	B	says	luzern yeah okay do it .	[ADD(1, None)]	[INSTRUCT_A(ADD(4, None)), INSTRUCT_B(ADD(2, None)), INSTRUCT_B(ADD(1, 2)), INSTRUCT_A(ADD(4, None)), INSTRUCT_B(ADD(1, None)), INSTRUCT_A(ADD(1, None)), INSTRUCT_B(ADD(1, None))]	[INSTRUCT_B(ADD(1, None))]
8	1	9	128	401.247	401.979	A	says	yeah .	[]	[INSTRUCT_A(ADD(4, None)), INSTRUCT_B(ADD(2, None)), INSTRUCT_B(ADD(1, 2)), INSTRUCT_A(ADD(4, None)), INSTRUCT_B(ADD(1, None)), INSTRUCT_A(ADD(1, None)), INSTRUCT_B(ADD(1, None))]	[]
8	1	9	129	402.784	403.726	A	says	wait no .	[]	[INSTRUCT_A(ADD(4, None)), INSTRUCT_B(ADD(2, None)), INSTRUCT_B(ADD(1, 2)), INSTRUCT_A(ADD(4, None)), INSTRUCT_B(ADD(1, None)), INSTRUCT_A(ADD(1, None)), INSTRUCT_B(ADD(1, None))]	[]
8	1	9	-1	405.726	405.726	A	adds	Luzern-Zermatt (1-4)	[]	[]	[DO_A(ADD(1, 4)), MATCH_A(INSTRUCT_B(ADD(1, None)))]
8	1	9	130	405.921	406.512	A	says	okay .	[]	[]	[]
8	1	9	131	406.470	408.748	B	says	we should do all the big things .	[]	[]	[]
8	1	9	132	412.617	413.517	B	says	are you done ?	[]	[]	[]
8	1	9	133	413.899	414.518	A	says	yeah .	[]	[]	[]
8	1	9	134	414.743	415.250	B	says	okay .	[]	[]	[]
8	1	9	135	417.022	418.204	B	says	not working for me so .	[]	[]	[]
8	1	9	136	420.681	426.829	A	says	i'm gonna do mount zurich to mount davos .	[ADD(2, 9)]	[INSTRUCT_A(ADD(2, 9))]	[INSTRUCT_A(ADD(2, 9))]
8	1	9	137	426.196	427.011	B	says	mount	[]	[INSTRUCT_A(ADD(2, 9))]	[]
8	1	9	138	428.054	429.742	B	says	zurich where is zurich ?	[ADD(2, None)]	[INSTRUCT_A(ADD(2, 9)), INSTRUCT_B(ADD(2, None))]	[INSTRUCT_B(ADD(2, None))]
8	1	9	139	431.121	437.101	A	says	it's the one above mount luzern , i don't know how to say it .	[ADD(1, None)]	[INSTRUCT_A(ADD(2, 9)), INSTRUCT_B(ADD(2, None)), INSTRUCT_A(ADD(1, None))]	[INSTRUCT_A(ADD(1, None))]
8	1	9	140	436.173	438.086	B	says	that's zurich , mount zurich .	[ADD(2, None)]	[INSTRUCT_A(ADD(2, 9)), INSTRUCT_B(ADD(2, None)), INSTRUCT_A(ADD(1, None)), INSTRUCT_B(ADD(2, None))]	[INSTRUCT_B(ADD(2, None))]
8	1	9	141	438.353	439.647	A	says	it is ?	[]	[INSTRUCT_A(ADD(2, 9)), INSTRUCT_B(ADD(2, None)), INSTRUCT_A(ADD(1, None)), INSTRUCT_B(ADD(2, None))]	[]
8	1	9	142	439.043	439.633	B	says	zurich .	[ADD(2, None)]	[INSTRUCT_A(ADD(2, 9)), INSTRUCT_B(ADD(2, None)), INSTRUCT_A(ADD(1, None)), INSTRUCT_B(ADD(2, None)), INSTRUCT_B(ADD(2, None))]	[INSTRUCT_B(ADD(2, None))]
8	1	9	143	439.844	440.491	B	says	i don't know .	[]	[INSTRUCT_A(ADD(2, 9)), INSTRUCT_B(ADD(2, None)), INSTRUCT_A(ADD(1, None)), INSTRUCT_B(ADD(2, None)), INSTRUCT_B(ADD(2, None))]	[]
8	1	9	144	440.633	441.927	B	says	that one right , this one .	[]	[INSTRUCT_A(ADD(2, 9)), INSTRUCT_B(ADD(2, None)), INSTRUCT_A(ADD(1, None)), INSTRUCT_B(ADD(2, None)), INSTRUCT_B(ADD(2, None))]	[]
8	1	9	145	442.124	442.800	B	says	the top one .	[]	[INSTRUCT_A(ADD(2, 9)), INSTRUCT_B(ADD(2, None)), INSTRUCT_A(ADD(1, None)), INSTRUCT_B(ADD(2, None)), INSTRUCT_B(ADD(2, None))]	[]
8	1	9	146	442.870	443.334	A	says	yeah .	[]	[INSTRUCT_A(ADD(2, 9)), INSTRUCT_B(ADD(2, None)), INSTRUCT_A(ADD(1, None)), INSTRUCT_B(ADD(2, None)), INSTRUCT_B(ADD(2, None))]	[]
8	1	9	147	443.517	444.713	B	says	okay , so do it .	[]	[INSTRUCT_A(ADD(2, 9)), INSTRUCT_B(ADD(2, None)), INSTRUCT_A(ADD(1, None)), INSTRUCT_B(ADD(2, None)), INSTRUCT_B(ADD(2, None))]	[]
8	1	9	148	444.052	445.655	A	says	to mount davos .	[ADD(9, None)]	[INSTRUCT_A(ADD(2, 9)), INSTRUCT_B(ADD(2, None)), INSTRUCT_A(ADD(1, None)), INSTRUCT_B(ADD(2, None)), INSTRUCT_B(ADD(2, None)), INSTRUCT_A(ADD(9, None))]	[INSTRUCT_A(ADD(9, None))]
8	1	9	149	445.358	445.717	B	says	yeah .	[]	[INSTRUCT_A(ADD(2, 9)), INSTRUCT_B(ADD(2, None)), INSTRUCT_A(ADD(1, None)), INSTRUCT_B(ADD(2, None)), INSTRUCT_B(ADD(2, None)), INSTRUCT_A(ADD(9, None))]	[]
8	1	9	150	446.277	447.683	A	says	because it's big .	[]	[INSTRUCT_A(ADD(2, 9)), INSTRUCT_B(ADD(2, None)), INSTRUCT_A(ADD(1, None)), INSTRUCT_B(ADD(2, None)), INSTRUCT_B(ADD(2, None)), INSTRUCT_A(ADD(9, None))]	[]
8	1	9	-1	448.283	448.283	A	adds	Zurich-Davos (2-9)	[]	[]	[DO_A(ADD(2, 9)), MATCH_A(INSTRUCT_B(ADD(2, None)))]
8	1	10	151	449.625	450.638	A	says	now it's your turn .	[]	[]	[]
8	1	10	152	450.834	453.085	B	says	okay , so i see , i see what you've done .	[]	[]	[]
8	1	10	153	453.859	454.548	B	says	okay .	[]	[]	[]
8	1	10	154	454.858	455.290	B	says	okay .	[]	[]	[]
8	1	10	155	456.509	459.307	B	says	yeah i'm gonna erase , wait now i don't wanna do anything .	[]	[]	[]
8	1	10	-1	458.854	458.854	R	shows	observe gesture	[]	[]	[]
8	1	10	156	460.848	462.496	B	says	i'm gonna erase mount bern .	[REMOVE(3, None)]	[INSTRUCT_B(REMOVE(3, None))]	[INSTRUCT_B(REMOVE(3, None))]
8	1	10	157	462.697	463.148	B	says	okay ?	[]	[INSTRUCT_B(REMOVE(3, None))]	[]
8	1	10	158	463.610	464.428	A	says	which one ?	[]	[INSTRUCT_B(REMOVE(3, None))]	[]
8	1	10	159	465.608	466.556	A	says	oh yeah yeah .	[]	[INSTRUCT_B(REMOVE(3, None))]	[]
8	1	10	160	466.580	467.599	B	says	i can't erase .	[]	[INSTRUCT_B(REMOVE(3, None))]	[]
8	1	10	161	468.358	470.848	A	says	yeah you just click on it and erase .	[]	[INSTRUCT_B(REMOVE(3, None))]	[]
8	1	10	162	472.175	472.827	B	says	i doubled .	[]	[INSTRUCT_B(REMOVE(3, None))]	[]
8	1	10	163	473.432	476.444	B	says	i have the erase thing but it is not erasing .	[]	[INSTRUCT_B(REMOVE(3, None))]	[]
8	1	10	-1	474.570	474.570	A	presses	help (enabled)	[]	[INSTRUCT_B(REMOVE(3, None))]	[]
8	1	10	164	475.739	480.637	I	says	can you try to erase something that is at the end of the track , not something in the middle .	[]	[INSTRUCT_B(REMOVE(3, None))]	[]
8	1	10	165	485.932	489.915	B	says	oh you have to erase that , so like that ?	[]	[INSTRUCT_B(REMOVE(3, None))]	[]
8	1	10	166	487.295	490.250	I	says	so if you erase that you break it into two .	[]	[INSTRUCT_B(REMOVE(3, None))]	[]
8	1	10	167	490.946	491.622	B	says	oh .	[]	[INSTRUCT_B(REMOVE(3, None))]	[]
8	1	10	168	491.752	492.416	A	says	oh .	[]	[INSTRUCT_B(REMOVE(3, None))]	[]
8	1	10	169	492.909	494.630	I	says	so you can not break .	[]	[INSTRUCT_B(REMOVE(3, None))]	[]
8	1	10	-1	494.379	494.379	B	removes	Basel-Neuchatel (0-7)	[]	[INSTRUCT_B(REMOVE(3, None))]	[DO_B(REMOVE(0, 7)), NONMATCH_B(DO_B(REMOVE(0, 7)))]
8	1	10	170	494.390	494.929	A	says	oops	[]	[INSTRUCT_B(REMOVE(3, None))]	[]
8	1	10	-1	495.856	495.856	B	removes	Basel-Bern (0-3)	[]	[INSTRUCT_B(REMOVE(3, None))]	[DO_B(REMOVE(0, 3)), NONMATCH_B(DO_B(REMOVE(0, 3)))]
8	1	11	171	496.477	498.397	B	says	oh, okay it's your turn .	[]	[]	[]
8	1	11	172	498.081	500.377	A	says	oh okay um which one should i do ?	[]	[]	[]
8	1	11	173	499.334	501.586	B	says	wait erase mount bern .	[REMOVE(3, None)]	[INSTRUCT_B(REMOVE(3, None))]	[INSTRUCT_B(REMOVE(3, None))]
8	1	11	174	502.654	503.911	B	says	to mount luzern .	[ADD(1, None)]	[INSTRUCT_B(REMOVE(3, None)), INSTRUCT_B(ADD(1, None))]	[INSTRUCT_B(ADD(1, None))]
8	1	11	175	503.816	504.456	A	says	okay .	[]	[INSTRUCT_B(REMOVE(3, None)), INSTRUCT_B(ADD(1, None))]	[]
8	1	11	176	504.752	508.463	B	says	i don't know why but it doesn't erase it's like wasting money kind of .	[]	[INSTRUCT_B(REMOVE(3, None)), INSTRUCT_B(ADD(1, None))]	[]
8	1	11	-1	507.188	507.188	A	removes	Luzern-Bern (1-3)	[]	[INSTRUCT_B(REMOVE(3, None))]	[DO_A(REMOVE(1, 3)), MATCH_A(INSTRUCT_B(REMOVE(3, None)))]
8	1	11	177	507.917	508.510	A	says	okay .	[]	[INSTRUCT_B(REMOVE(3, None))]	[]
8	1	11	178	509.374	512.338	B	says	and now connect mount bern to mount zurich .	[ADD(3, 2)]	[INSTRUCT_B(REMOVE(3, None)), INSTRUCT_B(ADD(3, 2))]	[INSTRUCT_B(ADD(3, 2))]
8	1	11	179	514.199	515.895	B	says	i don't want to really do anything .	[]	[INSTRUCT_B(REMOVE(3, None)), INSTRUCT_B(ADD(3, 2))]	[]
8	1	11	180	516.191	517.135	A	says	exactly .	[]	[INSTRUCT_B(REMOVE(3, None)), INSTRUCT_B(ADD(3, 2))]	[]
8	1	11	181	517.581	521.652	A	says	oh what about , um mount bern to mount interlaken .	[ADD(3, 5)]	[INSTRUCT_B(REMOVE(3, None)), INSTRUCT_B(ADD(3, 2)), INSTRUCT_A(ADD(3, 5))]	[INSTRUCT_A(ADD(3, 5))]
8	1	11	182	521.813	522.631	B	says	yeah do that .	[]	[INSTRUCT_B(REMOVE(3, None)), INSTRUCT_B(ADD(3, 2)), INSTRUCT_A(ADD(3, 5))]	[]
8	1	11	183	525.263	527.041	A	says	oh no i can't .	[]	[INSTRUCT_B(REMOVE(3, None)), INSTRUCT_B(ADD(3, 2)), INSTRUCT_A(ADD(3, 5))]	[]
8	1	11	184	526.543	527.006	B	says	oh .	[]	[INSTRUCT_B(REMOVE(3, None)), INSTRUCT_B(ADD(3, 2)), INSTRUCT_A(ADD(3, 5))]	[]
8	1	11	185	528.025	531.178	B	says	what if you did mount neuchatel .	[ADD(7, None)]	[INSTRUCT_B(REMOVE(3, None)), INSTRUCT_B(ADD(3, 2)), INSTRUCT_A(ADD(3, 5)), INSTRUCT_B(ADD(7, None))]	[INSTRUCT_B(ADD(7, None))]
8	1	11	186	531.367	531.996	A	says	which one	[]	[INSTRUCT_B(REMOVE(3, None)), INSTRUCT_B(ADD(3, 2)), INSTRUCT_A(ADD(3, 5)), INSTRUCT_B(ADD(7, None))]	[]
8	1	11	187	531.441	533.110	B	says	the one here this one .	[]	[INSTRUCT_B(REMOVE(3, None)), INSTRUCT_B(ADD(3, 2)), INSTRUCT_A(ADD(3, 5)), INSTRUCT_B(ADD(7, None))]	[]
8	1	11	188	533.525	535.244	B	says	the gold mine near the cow .	[]	[INSTRUCT_B(REMOVE(3, None)), INSTRUCT_B(ADD(3, 2)), INSTRUCT_A(ADD(3, 5)), INSTRUCT_B(ADD(7, None))]	[]
