team_no	attempt_no	turn_no	utterance_no	start	end	subject	verb	object	nodes	instructions	acts	pending_suggests
18	1	4	-1	289.758	289.758	B	adds	Interlaken-Neuchatel (5-7)	[]	[]	[DO_B(ADD(5, 7)), FREE_B(DO_B(ADD(5, 7)))]	[]
18	1	4	-1	291.681	291.681	B	adds	Basel-Neuchatel (0-7)	[]	[]	[DO_B(ADD(0, 7)), FREE_B(DO_B(ADD(0, 7)))]	[]
18	1	4	20	293.145	298.820	A	says	this costs 4 to mount basel .	[0]	[ADD(0, None)]	[SUGGEST_A(ADD(0, None))]	[SUGGEST_A(ADD(0, None))]
18	1	4	21	303.426	303.899	B	says	yeah .	[]	[]	[]	[SUGGEST_A(ADD(0, None))]
18	1	4	22	306.314	309.130	A	says	so i think we need to erase .	[]	[]	[]	[SUGGEST_A(ADD(0, None))]
18	1	5	-1	307.225	307.225	A	removes	Basel-Neuchatel (0-7)	[]	[]	[DO_A(REMOVE(0, 7)), FREE_A(DO_A(REMOVE(0, 7)))]	[]
18	1	5	-1	308.007	308.007	B	presses	help (enabled)	[]	[]	[]	[]
18	1	5	-1	339.175	339.175	A	adds	Zurich-Davos (2-9)	[]	[]	[DO_A(ADD(2, 9)), FREE_A(DO_A(ADD(2, 9)))]	[]
18	1	6	-1	345.965	345.965	B	adds	Basel-Neuchatel (0-7)	[]	[]	[DO_B(ADD(0, 7)), FREE_B(DO_B(ADD(0, 7)))]	[]
18	1	6	-1	351.067	351.067	R	shows	observe gesture	[]	[]	[]	[]
18	1	6	-1	351.279	351.279	B	adds	Zurich-Gallen (2-8)	[]	[]	[DO_B(ADD(2, 8)), FREE_B(DO_B(ADD(2, 8)))]	[]
18	1	6	23	351.382	360.678	R	says	...	[]	[]	[]	[]
18	1	6	24	369.959	373.926	A	says	do you think this is good ?	[]	[]	[]	[]
18	1	6	25	375.097	375.880	B	says	um	[]	[]	[]	[]
18	1	6	26	379.466	381.380	B	says	yeah .	[]	[]	[]	[]
18	1	7	-1	387.809	387.809	B	presses	help (enabled)	[]	[]	[]	[]
18	1	7	27	433.045	435.887	B	says	um do we press the finish button ?	[]	[]	[]	[]
18	1	7	-1	436.998	436.998	A	presses	submit (enabled)	[]	[]	[]	[]
18	1	7	-1	437.105	437.105	T	submits	cost=32 (opt_cost=22)	[]	[]	[]	[]
18	1	7	-1	437.291	437.291	R	shows	talking emotion	[]	[]	[]	[]
18	1	7	-1	437.292	437.292	R	shows	up_left gesture	[]	[]	[]	[]
18	1	7	28	437.315	445.522	R	says	....	[]	[]	[]	[]
18	1	7	-1	437.408	437.408	R	says	you are not that far from the minimum; the difference is only 10 francs. i am sure you can do it.	[]	[]	[]	[]
18	1	7	-1	437.410	437.410	B	presses	submit (enabled)	[]	[]	[]	[]
18	1	7	-1	446.331	446.331	R	shows	point_front gesture	[]	[]	[]	[]
18	1	7	-1	446.331	446.331	R	shows	talking emotion	[]	[]	[]	[]
18	1	7	29	446.333	455.957	R	says	...	[]	[]	[]	[]
18	1	7	-1	446.445	446.445	R	says	by the way, you guys now also have the button on the bottom of your screen in the abstract view for comparing solutions.	[]	[]	[]	[]
18	1	7	-1	458.609	458.609	R	shows	observe gesture	[]	[]	[]	[]
18	2	7	-1	461.164	461.164	B	presses	compare (enabled)	[]	[]	[]	[]
18	2	7	-1	461.246	461.246	B	presses	compare (enabled)	[]	[]	[]	[]
18	2	7	-1	467.978	467.978	A	adds	Zermatt-Montreux (4-6)	[]	[]	[DO_A(ADD(4, 6)), FREE_A(DO_A(ADD(4, 6)))]	[]
18	2	7	-1	477.563	477.563	B	presses	compare (enabled)	[]	[]	[]	[]
18	2	7	-1	486.677	486.677	B	presses	compare (enabled)	[]	[]	[]	[]
18	2	7	-1	504.761	504.761	B	presses	compare (enabled)	[]	[]	[]	[]
18	2	7	-1	507.828	507.828	B	presses	apply (enabled)	[]	[]	[]	[]
18	2	7	-1	507.838	507.838	B	loads	[(0, 7), (1, 3), (1, 4), (2, 3), (2, 8), (2, 9), (4, 6), (4, 9), (5, 6), (5, 7)]	[]	[]	[]	[]
18	2	7	-1	509.777	509.777	B	presses	apply (enabled)	[]	[]	[]	[]
18	2	7	-1	509.787	509.787	B	loads	[(0, 7), (1, 3), (1, 4), (2, 3), (2, 8), (2, 9), (4, 6), (4, 9), (5, 6), (5, 7)]	[]	[]	[]	[]
18	2	7	-1	516.111	516.111	B	presses	submit (enabled)	[]	[]	[]	[]
18	2	7	-1	526.942	526.942	A	presses	help (enabled)	[]	[]	[]	[]
18	2	7	30	536.131	591.571	I	says	...	[]	[]	[]	[]
18	2	7	-1	558.245	558.245	B	presses	compare (enabled)	[]	[]	[]	[]
18	2	7	-1	568.346	568.346	B	presses	apply (enabled)	[]	[]	[]	[]
18	2	7	-1	568.356	568.356	B	loads	[(0, 7), (1, 3), (1, 4), (2, 3), (2, 8), (2, 9), (4, 6), (4, 9), (5, 6), (5, 7)]	[]	[]	[]	[]
18	2	7	-1	568.819	568.819	B	presses	apply (enabled)	[]	[]	[]	[]
18	2	7	-1	569.665	569.665	B	presses	apply (enabled)	[]	[]	[]	[]
18	2	7	-1	569.675	569.675	B	loads	[(0, 7), (1, 3), (1, 4), (2, 3), (2, 8), (2, 9), (4, 6), (4, 9), (5, 6), (5, 7)]	[]	[]	[]	[]
18	2	7	-1	578.609	578.609	R	shows	thinking gesture	[]	[]	[]	[]
18	2	7	-1	578.638	578.638	R	says	hmm, i see.	[]	[]	[]	[]
18	2	7	31	595.216	599.190	B	says	do i press this or	[]	[]	[]	[]
18	2	7	32	596.558	599.492	I	says	...	[]	[]	[]	[]
18	2	7	-1	598.747	598.747	B	presses	submit (enabled)	[]	[]	[]	[]
18	2	7	-1	600.443	600.443	A	presses	submit (enabled)	[]	[]	[]	[]
18	2	7	33	600.479	608.887	R	says	...	[]	[]	[]	[]
18	2	7	-1	600.529	600.529	T	submits	cost=32 (opt_cost=22)	[]	[]	[]	[]
18	2	7	-1	600.786	600.786	R	shows	talking emotion	[]	[]	[]	[]
18	2	7	-1	600.787	600.787	R	shows	up_left gesture	[]	[]	[]	[]
18	2	7	-1	600.865	600.865	R	says	you are not that far from the minimum; the difference is only 10 francs. i am sure you can do it.	[]	[]	[]	[]
18	3	7	-1	608.099	608.099	B	presses	compare (enabled)	[]	[]	[]	[]
18	3	7	34	613.243	615.085	A	says	so	[]	[]	[]	[]
18	3	7	35	616.875	620.901	B	says	oh what do i do here ?	[]	[]	[]	[]
18	3	7	36	620.703	630.939	I	says	...	[]	[]	[]	[]
18	3	7	37	631.597	634.386	B	says	like how	[]	[]	[]	[]
18	3	7	38	633.124	637.750	I	says	...	[]	[]	[]	[]
18	3	7	39	639.335	646.085	I	says	...	[]	[]	[]	[]
18	3	7	40	648.650	657.571	I	says	...	[]	[]	[]	[]
18	3	7	41	665.058	668.966	I	says	...	[]	[]	[]	[]
18	3	7	42	672.374	673.435	B	says	build what ?	[]	[]	[]	[]
18	3	7	43	673.519	675.782	I	says	...	[]	[]	[]	[]
18	3	7	44	676.414	686.360	B	says	um mount montreux and mount interlaken	[6, 5]	[ADD(6, 5)]	[SUGGEST_B(ADD(6, 5))]	[SUGGEST_B(ADD(6, 5))]
18	3	7	45	685.518	687.110	A	says	okay .	[]	[]	[]	[SUGGEST_B(ADD(6, 5))]
18	3	7	-1	686.745	686.745	A	adds	Interlaken-Montreux (5-6)	[]	[]	[DO_A(ADD(5, 6)), ACCEPT_A(SUGGEST_B(ADD(6, 5)))]	[]
18	3	7	46	688.590	692.471	A	says	and what what is the next one ?	[]	[]	[]	[]
18	3	7	47	692.340	697.431	B	says	and then mount neuchatel .	[7]	[ADD(7, None)]	[SUGGEST_B(ADD(7, None))]	[SUGGEST_B(ADD(7, None))]
18	3	7	48	706.037	708.629	A	says	like to the	[]	[]	[]	[SUGGEST_B(ADD(7, None))]
18	3	7	-1	717.361	717.361	A	adds	Interlaken-Neuchatel (5-7)	[]	[]	[DO_A(ADD(5, 7)), ACCEPT_A(SUGGEST_B(ADD(7, None)))]	[]
18	3	8	-1	725.694	725.694	A	presses	compare (enabled)	[]	[]	[]	[]
18	3	8	-1	729.598	729.598	B	adds	Basel-Neuchatel (0-7)	[]	[]	[DO_B(ADD(0, 7)), FREE_B(DO_B(ADD(0, 7)))]	[]
18	3	8	-1	734.292	734.292	A	presses	previous (enabled)	[]	[]	[]	[]
18	3	8	-1	736.072	736.072	B	adds	Basel-Bern (0-3)	[]	[]	[DO_B(ADD(0, 3)), FREE_B(DO_B(ADD(0, 3)))]	[]
18	3	8	49	744.014	744.830	A	says	so	[]	[]	[]	[]
18	3	8	50	744.580	747.632	B	says	um wait which one are you on ?	[]	[]	[]	[]
18	3	8	51	747.895	755.578	A	says	you need to do it like cost less , cost less .	[]	[]	[]	[]
18	3	8	52	762.514	766.356	B	says	um so	[]	[]	[]	[]
18	3	8	53	768.948	773.079	B	says	from mount bern to mount zurich , zurich .	[3, 2, 2]	[ADD(3, 2), ADD(2, None)]	[SUGGEST_B(ADD(3, 2)), SUGGEST_B(ADD(2, None))]	[SUGGEST_B(ADD(3, 2)), SUGGEST_B(ADD(2, None))]
18	3	8	54	773.882	776.829	A	says	mount mount	[]	[]	[]	[SUGGEST_B(ADD(3, 2)), SUGGEST_B(ADD(2, None))]
18	3	8	55	777.211	780.986	B	says	um mount bern ?	[3]	[ADD(3, None)]	[SUGGEST_B(ADD(3, None))]	[SUGGEST_B(ADD(3, 2)), SUGGEST_B(ADD(2, None)), SUGGEST_B(ADD(3, None))]
18	3	8	56	781.948	787.487	B	says	did you connect mount neuchatel to mount basel ?	[7, 0]	[ADD(7, 0)]	[SUGGEST_B(ADD(7, 0))]	[SUGGEST_B(ADD(3, 2)), SUGGEST_B(ADD(2, None)), SUGGEST_B(ADD(3, None)), SUGGEST_B(ADD(7, 0))]
18	3	8	57	787.737	789.777	A	says	mount basel ?	[0]	[ADD(0, None)]	[SUGGEST_A(ADD(0, None))]	[SUGGEST_B(ADD(3, 2)), SUGGEST_B(ADD(2, None)), SUGGEST_B(ADD(3, None)), SUGGEST_B(ADD(7, 0)), SUGGEST_A(ADD(0, None))]
18	3	8	58	790.250	792.382	B	says	mount basel its um	[0]	[ADD(0, None)]	[SUGGEST_B(ADD(0, None))]	[SUGGEST_B(ADD(3, 2)), SUGGEST_B(ADD(2, None)), SUGGEST_B(ADD(3, None)), SUGGEST_B(ADD(7, 0)), SUGGEST_A(ADD(0, None)), SUGGEST_B(ADD(0, None))]
18	3	8	59	794.895	795.684	B	says	the	[]	[]	[]	[SUGGEST_B(ADD(3, 2)), SUGGEST_B(ADD(2, None)), SUGGEST_B(ADD(3, None)), SUGGEST_B(ADD(7, 0)), SUGGEST_A(ADD(0, None)), SUGGEST_B(ADD(0, None))]
18	3	8	60	798.210	799.302	A	says	davos ?	[9]	[ADD(9, None)]	[SUGGEST_A(ADD(9, None))]	[SUGGEST_B(ADD(3, 2)), SUGGEST_B(ADD(2, None)), SUGGEST_B(ADD(3, None)), SUGGEST_B(ADD(7, 0)), SUGGEST_A(ADD(0, None)), SUGGEST_B(ADD(0, None)), SUGGEST_A(ADD(9, None))]
18	3	8	61	799.816	800.500	B	says	what ?	[]	[]	[]	[SUGGEST_B(ADD(3, 2)), SUGGEST_B(ADD(2, None)), SUGGEST_B(ADD(3, None)), SUGGEST_B(ADD(7, 0)), SUGGEST_A(ADD(0, None)), SUGGEST_B(ADD(0, None)), SUGGEST_A(ADD(9, None))]
18	3	8	62	801.225	802.357	A	says	which one ?	[]	[]	[]	[SUGGEST_B(ADD(3, 2)), SUGGEST_B(ADD(2, None)), SUGGEST_B(ADD(3, None)), SUGGEST_B(ADD(7, 0)), SUGGEST_A(ADD(0, None)), SUGGEST_B(ADD(0, None)), SUGGEST_A(ADD(9, None))]
18	3	8	63	802.528	803.896	B	says	mount basel .	[0]	[ADD(0, None)]	[SUGGEST_B(ADD(0, None))]	[SUGGEST_B(ADD(3, 2)), SUGGEST_B(ADD(2, None)), SUGGEST_B(ADD(3, None)), SUGGEST_B(ADD(7, 0)), SUGGEST_A(ADD(0, None)), SUGGEST_B(ADD(0, None)), SUGGEST_A(ADD(9, None)), SUGGEST_B(ADD(0, None))]
18	3	8	64	804.264	805.277	A	says	to	[]	[]	[]	[SUGGEST_B(ADD(3, 2)), SUGGEST_B(ADD(2, None)), SUGGEST_B(ADD(3, None)), SUGGEST_B(ADD(7, 0)), SUGGEST_A(ADD(0, None)), SUGGEST_B(ADD(0, None)), SUGGEST_A(ADD(9, None)), SUGGEST_B(ADD(0, None))]
18	3	8	65	806.343	811.579	B	says	um have you connected mount neuchatel to mount basel ?	[7, 0]	[ADD(7, 0)]	[SUGGEST_B(ADD(7, 0))]	[SUGGEST_B(ADD(3, 2)), SUGGEST_B(ADD(2, None)), SUGGEST_B(ADD(3, None)), SUGGEST_B(ADD(7, 0)), SUGGEST_A(ADD(0, None)), SUGGEST_B(ADD(0, None)), SUGGEST_A(ADD(9, None)), SUGGEST_B(ADD(0, None)), SUGGEST_B(ADD(7, 0))]
18	3	8	66	812.066	816.132	A	says	neuchatel ?	[7]	[ADD(7, None)]	[SUGGEST_A(ADD(7, None))]	[SUGGEST_B(ADD(3, 2)), SUGGEST_B(ADD(2, None)), SUGGEST_B(ADD(3, None)), SUGGEST_B(ADD(7, 0)), SUGGEST_A(ADD(0, None)), SUGGEST_B(ADD(0, None)), SUGGEST_A(ADD(9, None)), SUGGEST_B(ADD(0, None)), SUGGEST_B(ADD(7, 0)), SUGGEST_A(ADD(7, None))]
18	3	8	67	821.343	828.238	A	says	um to the mount , bern ?	[3]	[ADD(3, None)]	[SUGGEST_A(ADD(3, None))]	[SUGGEST_B(ADD(3, 2)), SUGGEST_B(ADD(2, None)), SUGGEST_B(ADD(3, None)), SUGGEST_B(ADD(7, 0)), SUGGEST_A(ADD(0, None)), SUGGEST_B(ADD(0, None)), SUGGEST_A(ADD(9, None)), SUGGEST_B(ADD(0, None)), SUGGEST_B(ADD(7, 0)), SUGGEST_A(ADD(7, None)), SUGGEST_A(ADD(3, None))]
18	3	8	68	829.053	834.434	B	says	mount bern yeah , no um no erase that one .	[3]	[REMOVE(3, None)]	[SUGGEST_B(REMOVE(3, None))]	[SUGGEST_B(ADD(3, 2)), SUGGEST_B(ADD(2, None)), SUGGEST_B(ADD(3, None)), SUGGEST_B(ADD(7, 0)), SUGGEST_A(ADD(0, None)), SUGGEST_B(ADD(0, None)), SUGGEST_A(ADD(9, None)), SUGGEST_B(ADD(0, None)), SUGGEST_B(ADD(7, 0)), SUGGEST_A(ADD(7, None)), SUGGEST_A(ADD(3, None)), SUGGEST_B(REMOVE(3, None))]
18	3	9	-1	829.559	829.559	A	adds	Neuchatel-Bern (7-3)	[]	[]	[DO_A(ADD(7, 3)), FREE_A(DO_A(ADD(7, 3)))]	[]
18	3	9	69	833.961	834.947	A	says	okay .	[]	[]	[]	[]
18	3	9	-1	834.846	834.846	A	removes	Neuchatel-Bern (7-3)	[]	[]	[DO_A(REMOVE(7, 3)), FREE_A(DO_A(REMOVE(7, 3)))]	[]
18	3	9	70	836.434	838.368	B	says	okay um .	[]	[]	[]	[]
18	3	10	-1	840.060	840.060	B	adds	Zurich-Bern (2-3)	[]	[]	[DO_B(ADD(2, 3)), FREE_B(DO_B(ADD(2, 3)))]	[]
18	3	10	-1	843.591	843.591	B	adds	Luzern-Zurich (1-2)	[]	[]	[DO_B(ADD(1, 2)), FREE_B(DO_B(ADD(1, 2)))]	[]
18	3	10	71	847.948	849.158	B	says	okay so	[]	[]	[]	[]
18	3	10	72	854.882	855.711	B	says	have you	[]	[]	[]	[]
18	3	10	73	858.658	870.026	B	says	wait , did you , you know did you erase the one from mount neuchatel to mount bern okay so then you go	[7, 3]	[REMOVE(7, 3)]	[SUGGEST_B(REMOVE(7, 3))]	[SUGGEST_B(REMOVE(7, 3))]
18	3	10	74	865.224	866.302	A	says	yes .	[]	[]	[]	[SUGGEST_B(REMOVE(7, 3))]
18	3	10	75	872.092	873.158	B	says	to	[]	[]	[]	[SUGGEST_B(REMOVE(7, 3))]
18	3	10	76	875.225	879.750	B	says	from mount zurich to mount saint gallen .	[2, 8]	[ADD(2, 8)]	[SUGGEST_B(ADD(2, 8))]	[SUGGEST_B(REMOVE(7, 3)), SUGGEST_B(ADD(2, 8))]
18	3	10	77	880.382	881.678	A	says	mount	[]	[]	[]	[SUGGEST_B(REMOVE(7, 3)), SUGGEST_B(ADD(2, 8))]
18	3	10	78	881.461	882.704	B	says	saint gallen .	[8]	[ADD(8, None)]	[SUGGEST_B(ADD(8, None))]	[SUGGEST_B(REMOVE(7, 3)), SUGGEST_B(ADD(2, 8)), SUGGEST_B(ADD(8, None))]
18	3	10	79	890.520	891.079	A	says	mount	[]	[]	[]	[SUGGEST_B(REMOVE(7, 3)), SUGGEST_B(ADD(2, 8)), SUGGEST_B(ADD(8, None))]
18	3	10	80	891.777	893.158	A	says	luzern ?	[1]	[ADD(1, None)]	[SUGGEST_A(ADD(1, None))]	[SUGGEST_B(REMOVE(7, 3)), SUGGEST_B(ADD(2, 8)), SUGGEST_B(ADD(8, None)), SUGGEST_A(ADD(1, None))]
18	3	10	81	894.869	895.540	B	says	um	[]	[]	[]	[SUGGEST_B(REMOVE(7, 3)), SUGGEST_B(ADD(2, 8)), SUGGEST_B(ADD(8, None)), SUGGEST_A(ADD(1, None))]
18	3	10	82	896.158	899.842	B	says	you can go from mount bern to mount luzern .	[3, 1]	[ADD(3, 1)]	[SUGGEST_B(ADD(3, 1))]	[SUGGEST_B(REMOVE(7, 3)), SUGGEST_B(ADD(2, 8)), SUGGEST_B(ADD(8, None)), SUGGEST_A(ADD(1, None)), SUGGEST_B(ADD(3, 1))]
18	3	10	83	899.967	902.244	A	says	mount bern to mount luzern .	[3, 1]	[ADD(3, 1)]	[SUGGEST_A(ADD(3, 1))]	[SUGGEST_B(REMOVE(7, 3)), SUGGEST_B(ADD(2, 8)), SUGGEST_B(ADD(8, None)), SUGGEST_A(ADD(1, None)), SUGGEST_B(ADD(3, 1)), SUGGEST_A(ADD(3, 1))]
18	3	11	-1	901.205	901.205	A	adds	Luzern-Bern (1-3)	[]	[]	[DO_A(ADD(1, 3)), FREE_A(DO_A(ADD(1, 3)))]	[]
18	3	11	84	901.803	907.020	B	says	and then from mount zurich you go to mount saint gallen .	[2, 8]	[ADD(2, 8)]	[SUGGEST_B(ADD(2, 8))]	[SUGGEST_B(ADD(2, 8))]
18	3	11	85	913.777	914.783	A	says	mount	[]	[]	[]	[SUGGEST_B(ADD(2, 8))]
18	3	11	86	915.303	916.849	B	says	from mount zurich	[2]	[ADD(2, None)]	[SUGGEST_B(ADD(2, None))]	[SUGGEST_B(ADD(2, 8)), SUGGEST_B(ADD(2, None))]
18	3	11	87	917.007	917.974	A	says	to	[]	[]	[]	[SUGGEST_B(ADD(2, 8)), SUGGEST_B(ADD(2, None))]
18	3	11	88	919.007	921.448	B	says	you go to mount saint gallen .	[8]	[ADD(8, None)]	[SUGGEST_B(ADD(8, None))]	[SUGGEST_B(ADD(2, 8)), SUGGEST_B(ADD(2, None)), SUGGEST_B(ADD(8, None))]
18	3	11	89	919.027	920.882	A	says	oh to	[]	[]	[]	[SUGGEST_B(ADD(2, 8)), SUGGEST_B(ADD(2, None)), SUGGEST_B(ADD(8, None))]
18	3	11	-1	925.313	925.313	A	adds	Zurich-Gallen (2-8)	[]	[]	[DO_A(ADD(2, 8)), ACCEPT_A(SUGGEST_B(ADD(8, None)))]	[]
18	3	11	90	926.376	929.027	B	says	okay and mount saint gallen .	[8]	[ADD(8, None)]	[SUGGEST_B(ADD(8, None))]	[SUGGEST_B(ADD(8, None))]
18	3	12	-1	937.680	937.680	A	presses	compare (enabled)	[]	[]	[]	[]
18	3	12	91	939.271	941.040	B	says	and	[]	[]	[]	[]
18	3	12	92	943.856	953.756	A	says	i think we should erase the one that mount montreux to the mount interlaken .	[6, 5]	[REMOVE(6, 5)]	[SUGGEST_A(REMOVE(6, 5))]	[SUGGEST_A(REMOVE(6, 5))]
18	3	12	93	950.804	951.711	B	says	mount	[]	[]	[]	[SUGGEST_A(REMOVE(6, 5))]
18	3	12	94	954.014	956.757	B	says	mount montreux what ?	[6]	[ADD(6, None)]	[SUGGEST_B(ADD(6, None))]	[SUGGEST_A(REMOVE(6, 5)), SUGGEST_B(ADD(6, None))]
18	3	12	95	957.829	960.480	B	says	mount montreux to mount what ?	[6]	[ADD(6, None)]	[SUGGEST_B(ADD(6, None))]	[SUGGEST_A(REMOVE(6, 5)), SUGGEST_B(ADD(6, None)), SUGGEST_B(ADD(6, None))]
18	3	12	96	961.034	963.409	A	says	interlaken .	[5]	[ADD(5, None)]	[SUGGEST_A(ADD(5, None))]	[SUGGEST_A(REMOVE(6, 5)), SUGGEST_B(ADD(6, None)), SUGGEST_B(ADD(6, None)), SUGGEST_A(ADD(5, None))]
18	3	12	97	964.685	965.731	A	says	i think we	[]	[]	[]	[SUGGEST_A(REMOVE(6, 5)), SUGGEST_B(ADD(6, None)), SUGGEST_B(ADD(6, None)), SUGGEST_A(ADD(5, None))]
18	3	12	98	965.001	967.724	B	says	and to mount interlaken ?	[5]	[ADD(5, None)]	[SUGGEST_B(ADD(5, None))]	[SUGGEST_A(REMOVE(6, 5)), SUGGEST_B(ADD(6, None)), SUGGEST_B(ADD(6, None)), SUGGEST_A(ADD(5, None)), SUGGEST_B(ADD(5, None))]
18	3	12	99	967.626	970.579	A	says	yes i think we should erase	[]	[]	[]	[SUGGEST_A(REMOVE(6, 5)), SUGGEST_B(ADD(6, None)), SUGGEST_B(ADD(6, None)), SUGGEST_A(ADD(5, None)), SUGGEST_B(ADD(5, None))]
18	3	12	100	968.981	970.520	B	says	right yeah okay .	[]	[]	[]	[SUGGEST_A(REMOVE(6, 5)), SUGGEST_B(ADD(6, None)), SUGGEST_B(ADD(6, None)), SUGGEST_A(ADD(5, None)), SUGGEST_B(ADD(5, None))]
18	3	12	-1	969.926	969.926	B	removes	Interlaken-Montreux (5-6)	[]	[]	[DO_B(REMOVE(5, 6)), ACCEPT_B(SUGGEST_A(REMOVE(6, 5)))]	[SUGGEST_A(REMOVE(6, 5))]
18	3	12	101	970.928	972.691	B	says	so that	[]	[]	[]	[SUGGEST_A(REMOVE(6, 5))]
18	3	12	102	974.507	974.882	B	says	uh	[]	[]	[]	[SUGGEST_A(REMOVE(6, 5))]
18	3	12	103	975.218	978.856	B	says	okay so tell me what to do .	[]	[]	[]	[SUGGEST_A(REMOVE(6, 5))]
18	3	12	-1	977.684	977.684	A	presses	compare (enabled)	[]	[]	[]	[SUGGEST_A(REMOVE(6, 5))]
18	3	12	104	978.316	979.362	A	says	and	[]	[]	[]	[SUGGEST_A(REMOVE(6, 5))]
18	3	12	105	982.889	984.027	A	says	um	[]	[]	[]	[SUGGEST_A(REMOVE(6, 5))]
18	3	12	106	984.837	987.942	A	says	mount luzern	[1]	[ADD(1, None)]	[SUGGEST_A(ADD(1, None))]	[SUGGEST_A(REMOVE(6, 5)), SUGGEST_A(ADD(1, None))]
18	3	12	107	988.251	989.330	B	says	mount luzern .	[1]	[ADD(1, None)]	[SUGGEST_B(ADD(1, None))]	[SUGGEST_A(REMOVE(6, 5)), SUGGEST_A(ADD(1, None)), SUGGEST_B(ADD(1, None))]
