team_no	attempt_no	turn_no	utterance_no	start	end	subject	verb	object
11	1	7	53	201.502	203.464	A	says	and then here , here .
11	1	7	-1	202.729	202.729	A	adds	Luzern-Zermatt (1-4)
11	1	7	54	204.497	205.171	A	says	ahh
11	1	7	55	204.587	205.186	B	says	okay .
11	1	7	56	209.238	210.197	B	says	go there .
11	1	8	-1	209.506	209.506	B	adds	Interlaken-Neuchatel (5-7)
11	1	8	57	211.941	213.693	A	says	i'm going to on the thing .
11	1	8	58	214.008	215.895	B	says	i can't i'll be going here .
11	1	8	-1	216.074	216.074	B	adds	Neuchatel-Bern (7-3)
11	1	8	59	216.545	217.294	B	says	okay there you go .
11	1	8	60	218.238	219.916	B	says	can you go from zurich to basel ?
11	1	8	61	220.370	220.960	A	says	uh
11	1	9	-1	221.288	221.288	A	adds	Zermatt-Montreux (4-6)
11	1	9	62	221.754	224.839	A	says	i guess i try and get as many as possible .
11	1	9	-1	223.280	223.280	A	adds	Luzern-Zurich (1-2)
11	1	10	-1	226.422	226.422	B	adds	Basel-Zurich (0-2)
11	1	10	63	227.022	228.864	A	says	i'm going to
11	1	10	64	227.771	229.463	B	says	i think that's everything we can do .
11	1	10	65	230.302	230.737	A	says	wait .
11	1	10	66	230.991	234.556	B	says	no can you go from , okay wait wait wait , let me try this , yeah .
11	1	10	-1	233.877	233.877	B	adds	Luzern-Interlaken (1-5)
11	1	10	67	235.672	236.810	A	says	oh my goodness .
11	1	10	68	236.616	238.683	B	says	okay that's everything , we can't go over .
11	1	10	69	239.573	240.891	B	says	yeah that's everything we can do .
11	1	10	70	240.805	241.719	A	says	so wait .
11	1	10	71	242.139	243.277	B	says	that's everything we can do .
11	1	10	72	243.726	244.895	B	says	can we go over ?
11	1	10	73	243.906	244.655	A	says	yeah .
11	1	11	-1	244.722	244.722	A	presses	submit (enabled)
11	1	11	74	245.288	247.310	B	says	well try to go from luzern to gallen .
11	1	11	75	246.786	247.310	A	says	no .
11	1	11	76	247.550	247.850	A	says	just
11	1	11	-1	248.117	248.117	T	submits	cost=64 (opt_cost=22)
11	1	11	77	248.149	248.823	A	says	press go .
11	1	11	78	248.149	249.124	B	says	yeah i'm submitting .
11	1	11	-1	248.282	248.282	R	shows	talking emotion
11	1	11	-1	248.283	248.283	R	shows	up_left gesture
11	1	11	-1	248.393	248.393	R	says	you are away from the minimum by 42 francs. let's try again.
11	1	11	-1	248.415	248.415	B	presses	submit (enabled)
11	1	11	79	248.539	254.549	R	says	you are away from the minimum by 42 francs let's try again.
11	1	11	80	254.549	265.752	R	says	by the way you guys now also have a button on the bottom of the screen in the abstract view for comparing solutions .
11	1	11	-1	254.955	254.955	R	shows	talking emotion
11	1	11	-1	254.956	254.956	R	shows	point_front gesture
11	1	11	-1	255.052	255.052	R	says	by the way, you guys now also have the button on the bottom of your screen in the abstract view for comparing solutions.
11	2	11	-1	267.131	267.131	B	presses	compare (enabled)
11	2	11	81	267.459	268.507	A	says	okay .
11	2	11	-1	270.498	270.498	B	presses	apply (enabled)
11	2	11	-1	270.508	270.508	B	loads	[(0, 2), (0, 3), (0, 7), (1, 2), (1, 3), (1, 4), (1, 5), (1, 9), (2, 3), (2, 8), (2, 9), (4, 5), (4, 6), (4, 9), (5, 3), (5, 6), (5, 7), (6, 7), (7, 3), (8, 9)]
11	2	11	-1	272.159	272.159	B	presses	apply (enabled)
11	2	11	-1	272.169	272.169	B	loads	[(0, 2), (0, 3), (0, 7), (1, 2), (1, 3), (1, 4), (1, 5), (1, 9), (2, 3), (2, 8), (2, 9), (4, 5), (4, 6), (4, 9), (5, 3), (5, 6), (5, 7), (6, 7), (7, 3), (8, 9)]
11	2	11	82	273.956	277.242	I	says	i've applied your solution , previous solution .
11	2	11	-1	274.007	274.007	B	presses	compare (enabled)
11	2	11	-1	274.339	274.339	B	presses	apply (enabled)
11	2	11	-1	274.349	274.349	B	loads	[(0, 2), (0, 3), (0, 7), (1, 2), (1, 3), (1, 4), (1, 5), (1, 9), (2, 3), (2, 8), (2, 9), (4, 5), (4, 6), (4, 9), (5, 3), (5, 6), (5, 7), (6, 7), (7, 3), (8, 9)]
11	2	11	83	277.167	277.661	B	says	what ?
11	2	11	84	278.021	293.629	I	says	so you applied by ....
11	2	11	-1	279.192	279.192	R	shows	observe gesture
11	2	11	-1	280.800	280.800	B	presses	compare (enabled)
11	2	11	85	282.505	283.224	B	says	yeah .
11	2	11	-1	283.422	283.422	A	removes	Zermatt-Davos (4-9)
11	2	11	-1	284.320	284.320	B	presses	compare (enabled)
11	2	11	-1	288.708	288.708	A	adds	Zermatt-Davos (4-9)
11	2	12	-1	291.265	291.265	A	presses	compare (enabled)
11	2	12	-1	294.795	294.795	B	removes	Luzern-Zermatt (1-4)
11	2	12	86	298.089	299.362	B	says	why i can't do that ?
11	2	12	-1	299.240	299.240	A	presses	apply (enabled)
11	2	12	-1	299.250	299.250	A	loads	[(0, 2), (0, 3), (0, 7), (1, 2), (1, 3), (1, 4), (1, 5), (1, 9), (2, 3), (2, 8), (2, 9), (4, 5), (4, 6), (4, 9), (5, 3), (5, 6), (5, 7), (6, 7), (7, 3), (8, 9)]
11	2	12	-1	300.489	300.489	A	presses	apply (enabled)
11	2	12	-1	300.679	300.679	A	presses	compare (enabled)
11	2	12	-1	322.144	322.144	B	removes	Zurich-Bern (2-3)
11	2	13	-1	323.980	323.980	B	removes	Luzern-Zurich (1-2)
11	2	13	87	324.479	329.257	B	says	take the uh one from mount davos to zurich take that one away .
11	2	14	-1	327.520	327.520	A	removes	Luzern-Bern (1-3)
11	2	14	88	328.284	329.692	A	says	i'm gonna start again .
11	2	14	-1	328.835	328.835	A	removes	Luzern-Interlaken (1-5)
11	2	15	-1	332.985	332.985	B	removes	Zurich-Davos (2-9)
11	2	15	-1	335.234	335.234	A	presses	compare (enabled)
11	2	15	-1	344.248	344.248	B	removes	Zermatt-Interlaken (4-5)
11	2	16	-1	354.552	354.552	A	adds	Zurich-Bern (2-3)
11	2	16	-1	360.889	360.889	A	adds	Luzern-Zurich (1-2)
11	2	17	-1	365.132	365.132	A	presses	submit (enabled)
11	2	17	89	375.622	376.970	A	says	how do we start again ?
11	2	17	90	377.951	389.658	I	says	you can submit it and then start again .
11	2	17	-1	381.386	381.386	A	presses	submit (enabled)
11	2	17	91	386.512	389.073	A	says	oh submit it um bob .
11	2	17	-1	388.116	388.116	B	removes	Luzern-Zermatt (1-4)
11	2	17	92	388.654	389.178	B	says	wait .
11	2	17	93	393.386	394.300	A	says	you submit it ?
11	2	17	94	394.764	395.783	B	says	no do one more .
11	2	17	-1	394.813	394.813	B	removes	Luzern-Davos (1-9)
11	2	17	95	396.846	397.850	B	says	go from
11	2	17	96	398.389	398.973	B	says	oh wait .
11	2	17	97	399.579	400.477	B	says	did you something ?
11	2	18	-1	400.113	400.113	A	adds	Zermatt-Interlaken (4-5)
11	2	18	98	400.373	401.870	A	says	i was gonna do it this way .
11	2	18	-1	401.719	401.719	A	adds	Luzern-Zermatt (1-4)
11	2	18	99	403.842	404.756	A	says	just submit it .
11	2	19	-1	404.917	404.917	B	presses	submit (enabled)
11	2	19	100	405.011	405.460	B	says	go .
11	2	19	101	405.640	406.853	A	says	and we start again .
11	2	19	-1	406.611	406.611	A	presses	submit (enabled)
11	2	19	-1	406.751	406.751	T	submits	cost=50 (opt_cost=22)
11	2	19	-1	406.926	406.926	R	shows	talking emotion
11	2	19	-1	406.926	406.926	R	shows	up_left gesture
11	2	19	-1	406.982	406.982	R	says	you are not that far from the minimum; the difference is only 28 francs. i am sure you can do it.
11	2	19	102	407.272	416.482	R	says	you are not that far from the minimum the difference is only 28 francs i am sure you can do it .
11	2	19	103	413.801	415.329	B	says	we need to get less .
11	2	19	104	416.332	418.519	B	says	and i think i know how to do it , okay wait .
11	2	19	105	418.504	419.298	A	says	okay .
11	2	19	106	420.007	426.141	B	says	that and that , just start by going the circle , and then we will do the inside , we will find out the inside .
11	3	19	-1	420.092	420.092	B	adds	Montreux-Neuchatel (6-7)
11	3	19	-1	421.340	421.340	B	adds	Basel-Neuchatel (0-7)
11	3	20	-1	426.795	426.795	A	adds	Zermatt-Montreux (4-6)
11	3	20	107	426.868	427.707	A	says	okay .
11	3	20	-1	428.847	428.847	A	adds	Zermatt-Davos (4-9)
11	3	21	-1	431.687	431.687	B	adds	Gallen-Davos (8-9)
11	3	21	-1	432.662	432.662	B	adds	Zurich-Gallen (2-8)
11	3	21	108	434.248	437.184	A	says	no wait , okay .
11	3	22	-1	436.177	436.177	A	adds	Basel-Zurich (0-2)
11	3	22	-1	438.648	438.648	A	adds	Zurich-Bern (2-3)
11	3	23	-1	443.032	443.032	B	adds	Interlaken-Bern (5-3)
11	3	23	109	448.370	456.519	A	says	i did a circle , and i want mount zurich to bern to mount interlaken
11	3	23	110	456.836	458.154	B	says	go there .
11	3	23	-1	457.159	457.159	B	adds	Zermatt-Interlaken (4-5)
11	3	24	-1	459.376	459.376	A	adds	Luzern-Zermatt (1-4)
11	3	24	111	459.562	460.730	B	says	should we submit ?
11	3	24	-1	460.493	460.493	A	adds	Luzern-Bern (1-3)
11	3	24	112	461.239	461.958	A	says	no .
11	3	24	113	461.748	464.385	B	says	we're we're twelve , we're two over .
11	3	24	114	466.456	469.631	B	says	yeah look at top left , we're already two over , we have ten .
11	3	24	115	471.080	474.974	A	says	i've twelve lines , and i've twelve circles but i don't wanna do that .
11	3	24	116	476.712	478.150	B	says	just try to submit .
11	3	24	117	479.089	480.977	A	says	no i won't try to submit .
11	3	24	118	481.246	482.325	A	says	i can do more .
11	3	24	119	482.624	484.781	B	says	no because i'm not gonna do way over .
11	3	24	120	487.167	488.905	A	says	okay submit .
11	3	25	-1	488.234	488.234	A	presses	submit (enabled)
11	3	25	-1	489.314	489.314	T	submits	cost=36 (opt_cost=22)
11	3	25	-1	489.492	489.492	R	shows	up_left gesture
11	3	25	-1	489.492	489.492	R	shows	talking emotion
11	3	25	-1	489.575	489.575	R	says	you are not that far from the minimum; the difference is only 14 francs. i am sure you can do it.
11	3	25	-1	489.651	489.651	B	presses	submit (enabled)
11	3	25	121	489.773	498.311	R	says	you are not that far from the minimum the difference is only 14 francs i am sure you can do it
11	3	25	122	499.569	501.696	B	says	now we're only gonna need to take two away .
11	3	25	123	502.565	504.153	B	says	so just do the same thing .
11	4	25	-1	503.427	503.427	B	adds	Montreux-Neuchatel (6-7)
11	4	25	-1	504.291	504.291	B	adds	Basel-Neuchatel (0-7)
11	4	25	124	505.698	507.345	A	says	i told you we could do more .
11	4	25	125	507.585	508.903	B	says	no we only have
11	4	26	-1	509.664	509.664	A	adds	Zermatt-Montreux (4-6)
11	4	26	126	514.255	517.281	B	says	the more we do the less money we have .
11	4	26	127	517.281	520.186	A	says	i've got ten mountains and then .
11	4	26	128	519.048	520.186	B	says	you've one more .
11	4	26	129	520.905	521.984	B	says	yo're one above .
11	4	26	-1	521.811	521.811	A	adds	Basel-Bern (0-3)
11	4	27	-1	526.303	526.303	B	adds	Zurich-Bern (2-3)
11	4	27	-1	528.594	528.594	B	adds	Zurich-Gallen (2-8)
11	4	28	-1	532.574	532.574	A	adds	Gallen-Davos (8-9)
11	4	28	-1	534.195	534.195	A	adds	Zermatt-Davos (4-9)
11	4	28	130	542.117	544.094	B	says	you've got it , one two
11	4	28	131	545.293	546.161	B	says	one .
11	4	28	132	545.532	549.816	A	says	i've got eight bars right now , how many bars did you use ?
11	4	29	-1	546.252	546.252	B	adds	Luzern-Davos (1-9)
11	4	29	133	548.113	553.865	B	says	two now go go from luzern to bern and then to interlaken , then we're done .
11	4	29	-1	548.689	548.689	B	adds	Luzern-Zermatt (1-4)
11	4	30	-1	549.249	549.249	A	presses	apply (enabled)
11	4	30	134	554.087	555.345	A	says	wait what ?
11	4	30	135	555.286	557.412	B	says	go from luzern to bern .
11	4	30	136	557.922	559.689	A	says	okay to bern .
11	4	30	-1	559.379	559.379	A	adds	Luzern-Bern (1-3)
11	4	30	137	559.689	561.517	B	says	and then down to interlaken .
11	4	30	138	565.189	566.207	A	says	can't .
11	4	30	139	566.956	567.945	B	says	can't ?
11	4	30	140	574.880	579.283	A	says	yeah , i've got it , i've got 12 bars and 10 circles
11	4	30	-1	575.139	575.139	A	adds	Interlaken-Bern (5-3)
11	4	31	-1	579.192	579.192	R	shows	thinking gesture
11	4	31	-1	579.210	579.210	R	says	hmm, i see.
11	4	31	141	579.223	581.410	B	says	yeah , we've both at the same .
11	4	31	142	580.721	581.560	R	says	i see .
11	4	31	143	582.279	583.148	A	says	submit ?
11	4	31	144	583.507	584.406	B	says	yeah .
11	4	31	145	583.957	584.706	A	says	go .
11	4	31	-1	584.621	584.621	A	presses	submit (enabled)
11	4	31	-1	585.082	585.082	B	presses	submit (enabled)
11	4	31	-1	585.149	585.149	T	submits	cost=35 (opt_cost=22)
11	4	31	-1	586.941	586.941	R	shows	talking emotion
11	4	31	-1	586.941	586.941	R	shows	up_left gesture
11	4	31	-1	587.019	587.019	R	says	you are away from the minimum by 13 francs. let's try again.
11	4	31	146	587.115	592.657	R	says	you are away from the minimum by 13 francs let's try again .
11	4	31	147	592.163	593.181	A	says	okay .
11	4	31	148	593.391	597.405	B	says	i think know how to do , so , i can do this .
11	5	31	-1	598.347	598.347	B	adds	Interlaken-Montreux (5-6)
11	5	31	-1	599.156	599.156	B	adds	Interlaken-Neuchatel (5-7)
11	5	31	149	600.581	602.708	B	says	then could do basel then bern .
11	5	31	150	602.708	606.063	A	says	i'm just gonna do a circle because circle is a good idea .
11	5	31	151	606.371	607.659	B	says	that's how we're supposed to do .
11	5	32	-1	607.082	607.082	A	adds	Basel-Neuchatel (0-7)
11	5	32	152	608.678	609.756	B	says	then go to bern .
11	5	32	153	610.664	611.832	A	says	okay wait .
11	5	32	154	611.832	612.880	B	says	go to bern .
11	5	32	-1	613.523	613.523	A	adds	Basel-Zurich (0-2)
11	5	32	155	614.862	616.000	B	says	oh you should've gone to bern .
11	5	32	156	616.030	617.618	A	says	okay i don't wanna go to bern .
11	5	33	-1	617.761	617.761	B	removes	Basel-Zurich (0-2)
11	5	33	-1	619.039	619.039	B	adds	Basel-Bern (0-3)
11	5	33	157	619.244	622.090	B	says	well now you go to zurich and saint gallen .
11	5	33	158	622.167	625.492	A	says	zurich , wait do i do this , the circle ?
11	5	33	159	626.032	627.559	B	says	yeah , just keep on going .
11	5	34	-1	627.916	627.916	A	adds	Basel-Zurich (0-2)
11	5	34	160	629.387	631.034	B	says	and then saint gallen yeah .
11	5	34	-1	629.681	629.681	A	adds	Zurich-Gallen (2-8)
11	5	34	161	631.124	632.622	A	says	but now i got six bars .
11	5	34	162	631.753	633.221	B	says	then i do this .
11	5	35	-1	632.981	632.981	B	adds	Gallen-Davos (8-9)
11	5	35	163	633.521	634.479	B	says	and this .
11	5	35	-1	634.462	634.462	B	adds	Zermatt-Davos (4-9)
11	5	35	164	634.809	637.355	B	says	then we've two more moves so go to
11	5	35	165	637.866	640.352	B	says	zermatt , go from zermatt
11	5	35	166	640.397	640.877	A	says	wait .
11	5	35	167	640.727	641.281	B	says	or no
11	5	36	-1	640.832	640.832	A	adds	Zermatt-Montreux (4-6)
11	5	36	168	641.610	643.063	B	says	yeah , and then
11	5	36	-1	642.910	642.910	A	adds	Luzern-Bern (1-3)
11	5	36	169	644.223	645.932	B	says	i think we're done , submit , submit .
11	5	36	170	644.268	645.586	A	says	right now i've got
11	5	36	171	646.425	648.028	B	says	because that was to have ten out of ten .
11	5	37	-1	649.149	649.149	A	presses	submit (enabled)
11	5	37	-1	649.229	649.229	T	submits	cost=32 (opt_cost=22)
11	5	37	-1	649.338	649.338	R	shows	talking emotion
11	5	37	-1	649.339	649.339	R	shows	up_left gesture
11	5	37	-1	649.415	649.415	B	presses	submit (enabled)
11	5	37	-1	649.429	649.429	R	says	you are away from the minimum by 10 francs. let's try again.
11	5	37	172	649.682	655.335	R	says	you are away from the minimum by 10 francs let's try again
11	5	37	173	655.664	657.237	B	says	it's impossible .
11	5	37	-1	655.734	655.734	R	shows	talking emotion
11	5	37	-1	655.735	655.735	R	shows	up_right gesture
11	5	37	-1	655.811	655.811	R	says	hey guys, maybe, it would be easier to solve the problem if you look at your previous solutions more.
11	5	37	174	655.824	665.505	R	says	hey guys maybe it would be easier to solve the problem if you look at your previous solutions more .
11	6	37	-1	665.480	665.480	A	presses	compare (enabled)
11	6	37	175	665.813	666.966	A	says	okay .
11	6	37	-1	667.041	667.041	A	presses	compare (enabled)
11	6	37	176	669.876	670.550	B	says	i can't .
11	6	37	177	670.086	671.539	A	says	we were at
11	6	37	-1	671.725	671.725	A	presses	previous (enabled)
11	6	37	178	673.196	678.529	A	says	price 35 the first one we were at price 50 .
11	6	37	-1	674.960	674.960	A	presses	previous (enabled)
11	6	37	-1	675.665	675.665	A	presses	previous (enabled)
11	6	37	-1	676.816	676.816	A	presses	previous (enabled)
11	6	37	179	679.292	683.101	A	says	uh price 34 then we've we've got price 50 then we've got
11	6	37	-1	680.632	680.632	A	presses	compare (enabled)
11	6	37	-1	680.644	680.644	A	presses	next (enabled)
11	6	37	-1	681.881	681.881	A	presses	compare (enabled)
11	6	37	-1	681.891	681.891	A	presses	next (enabled)
11	6	37	-1	682.795	682.795	A	presses	compare (enabled)
11	6	37	-1	682.811	682.811	A	presses	next (enabled)
11	6	37	-1	683.470	683.470	A	presses	compare (enabled)
11	6	37	-1	683.496	683.496	A	presses	next (enabled)
11	6	37	-1	684.030	684.030	A	presses	compare (enabled)
11	6	37	-1	684.786	684.786	A	presses	compare (enabled)
11	6	37	180	685.584	686.722	A	says	okay .
11	6	37	-1	699.193	699.193	B	adds	Interlaken-Bern (5-3)
11	6	37	-1	700.199	700.199	B	adds	Interlaken-Montreux (5-6)
11	6	37	181	700.372	702.783	B	says	go from bern to zurich and then to basel .
11	6	37	182	702.274	704.700	A	says	wait wait wait , i'm gonna do the circle .
11	6	37	183	703.892	705.929	B	says	go from bern to zurich then but probably yeah.
11	6	38	-1	704.299	704.299	A	adds	Zermatt-Montreux (4-6)
11	6	38	184	705.545	707.387	A	says	wait wait wait i'm doing the circle .
11	6	38	-1	705.840	705.840	A	adds	Zermatt-Davos (4-9)
11	6	39	-1	709.464	709.464	B	adds	Zurich-Bern (2-3)
11	6	39	-1	710.372	710.372	B	adds	Basel-Zurich (0-2)
11	6	40	-1	713.101	713.101	A	adds	Basel-Neuchatel (0-7)
11	6	40	185	715.131	719.582	A	says	i've got seven and eight i've got ten circles and eight lines .
11	6	40	-1	715.345	715.345	A	adds	Montreux-Neuchatel (6-7)
11	6	40	186	720.211	721.739	B	says	i'm taking that away .
11	6	41	-1	721.696	721.696	B	removes	Montreux-Neuchatel (6-7)
11	6	41	187	722.837	723.920	B	says	putting that one there .
11	6	41	-1	723.875	723.875	B	adds	Zurich-Gallen (2-8)
11	6	41	188	724.100	726.167	B	says	go from saint gallen to davos .
11	6	41	189	726.347	726.826	A	says	wait .
11	6	41	190	727.066	729.088	B	says	just go from saint gallen to davos ?
11	6	42	-1	729.029	729.029	A	adds	Gallen-Davos (8-9)
11	6	42	191	729.725	733.200	A	says	saint gallen to
11	6	42	-1	734.016	734.016	A	adds	Montreux-Neuchatel (6-7)
11	6	42	192	735.432	735.807	B	says	there .
11	6	42	193	735.852	740.420	A	says	but where's saint gallen to davos , i've got it , then
11	6	42	194	736.706	739.057	B	says	and then i need to do this somehow .
11	6	42	195	741.139	744.944	A	says	i've got ten so we need could do it two more try with doing two more .
11	6	42	196	745.550	751.919	A	says	go to mount davos to mount luzern to mount luzern and mount luzern to zermatt .
11	6	42	197	750.948	752.146	B	says	mount luzern ?
11	6	42	198	755.272	756.799	B	says	way to mount luzern .
11	6	42	199	757.279	757.908	A	says	yes .
11	6	42	200	758.447	760.080	A	says	then we will be at eight point .
11	6	42	201	759.795	761.203	B	says	there you go , submit .
11	6	43	-1	759.913	759.913	B	adds	Luzern-Zermatt (1-4)
11	6	43	-1	761.380	761.380	B	presses	submit (enabled)
11	6	43	202	765.995	768.511	A	says	then go to mount davos to luzern .
11	6	43	203	766.999	767.538	B	says	submit .
11	6	43	204	768.646	769.785	A	says	oh you want to submit ?
11	6	43	205	769.245	769.904	B	says	yeah .
11	6	43	206	769.785	770.174	A	says	okay .
11	6	43	-1	769.968	769.968	A	presses	submit (enabled)
11	6	43	-1	770.015	770.015	T	submits	cost=35 (opt_cost=22)
11	6	43	207	770.174	770.608	B	says	try .
11	6	43	-1	770.336	770.336	R	shows	up_left gesture
11	6	43	-1	770.336	770.336	R	shows	talking emotion
11	6	43	-1	770.393	770.393	R	says	you are not that far from the minimum; the difference is only 13 francs. i am sure you can do it.
11	6	43	208	770.577	779.219	R	says	you are not that far from the minimum the difference is only 13 francs i am sure you can do it
11	6	43	209	775.759	776.598	B	says	again ?
11	6	43	210	779.496	780.230	A	says	okay .
11	6	43	211	785.691	786.320	B	says	okay .
11	6	43	212	787.548	788.357	B	says	let's see .
11	6	43	213	789.645	791.008	B	says	let's do this .
11	7	43	-1	792.183	792.183	B	adds	Interlaken-Neuchatel (5-7)
11	7	43	-1	793.273	793.273	B	adds	Luzern-Interlaken (1-5)
11	7	43	214	795.668	798.274	B	says	go let's not try to do the circle now this is
11	7	44	-1	796.942	796.942	A	adds	Montreux-Neuchatel (6-7)
11	7	44	215	798.723	800.012	A	says	no because in the circle we
11	7	44	217	800.775	802.123	B	says	just , just trust me .
11	7	44	216	800.775	801.180	A	says	okay .
11	7	44	-1	805.714	805.714	A	adds	Zermatt-Montreux (4-6)
11	7	44	218	807.319	807.963	A	says	i've got
11	7	45	-1	809.461	809.461	B	adds	Neuchatel-Bern (7-3)
11	7	45	219	811.341	813.617	A	says	we're ten out of ten before wait
11	7	45	220	811.655	812.045	B	says	wait .
11	7	45	-1	812.869	812.869	A	presses	compare (enabled)
11	7	45	221	813.048	816.059	B	says	then , six seven eight nine .
11	7	45	222	813.617	815.610	A	says	we were price 35 .
11	7	45	223	816.046	817.848	A	says	before we were price 32 .
11	7	45	-1	816.349	816.349	A	presses	previous (enabled)
11	7	45	224	818.507	819.466	B	says	six .
11	7	45	-1	819.438	819.438	B	adds	Basel-Bern (0-3)
11	7	45	225	820.596	824.206	B	says	go from basel to zurich and then from zurich to saint gallen .
11	7	45	226	823.937	825.919	A	says	okay so basel to zurich .
11	7	46	-1	825.785	825.785	A	adds	Basel-Zurich (0-2)
11	7	46	227	826.249	827.851	B	says	then zurich to saint gallen .
11	7	46	228	826.249	827.926	A	says	zurich to saint gallen .
11	7	46	-1	827.501	827.501	A	adds	Zurich-Gallen (2-8)
11	7	46	229	828.885	830.491	A	says	then we're at eight .
11	7	46	230	828.933	830.656	B	says	and then i'll do this .
11	7	47	-1	830.552	830.552	B	adds	Gallen-Davos (8-9)
11	7	47	231	830.746	832.363	A	says	and then the price was 32 .
11	7	47	232	831.974	832.753	B	says	okay let's try .
