Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	2	now i	249	B	137, 385
2	2	now you	34	B	233, 266
2	2	oh yes	2	B	279, 280
2	2	okay i	358	B	183, 540
2	2	okay let	123	B	418, 540
2	2	okay now	267	B	119, 385
2	2	on it	4	B	196, 199
2	2	one .	28	B	69, 96
2	2	ones .	74	B	464, 537
2	2	or something	367	B	90, 456
2	2	put .	77	B	167, 243
2	2	so .	452	B	77, 528
2	2	so the	8	B	450, 457
2	2	something .	251	B	290, 540
2	2	that is	13	B	58, 70
2	2	there 's	451	B	87, 537
2	2	this one	73	B	227, 299
2	2	to .	35	B	269, 303
2	2	uh .	35	B	58, 92
2	2	wait ,	55	B	243, 297
2	2	we are	96	B	58, 153
2	2	we got	348	B	181, 528
2	2	what i	259	B	11, 269
2	2	what what	170	B	388, 557
2	2	when you	36	B	164, 199
2	2	where i	140	B	117, 256
2	2	where is	46	B	347, 392
2	2	yes .	57	B	279, 335
2	2	you .	131	B	184, 314
2	2	you are	130	B	464, 593
57	1	okay	602	B	4, 27, 38, 81, 96, 100, 111, 119, 127, 131, 165, 180, 183, 184, 240, 242, 251, 256, 262, 272, 280, 294, 299, 312, 317, 319, 321, 327, 333, 336, 350, 369, 373, 378, 383, 385, 418, 423, 457, 479, 488, 495, 501, 503, 523, 533, 536, 540, 549, 555, 558, 566, 571, 588, 599, 602, 605
56	1	i	564	B	3, 6, 7, 11, 14, 18, 32, 38, 42, 50, 58, 83, 96, 104, 106, 117, 125, 137, 139, 142, 143, 146, 183, 184, 189, 199, 200, 203, 210, 211, 237, 244, 247, 256, 269, 284, 286, 290, 319, 344, 349, 350, 353, 359, 378, 385, 408, 412, 443, 467, 479, 483, 495, 533, 540, 566
50	1	to	561	B	33, 35, 38, 42, 44, 75, 94, 231, 235, 256, 259, 266, 269, 284, 286, 290, 294, 303, 317, 319, 323, 344, 345, 350, 356, 359, 391, 398, 399, 408, 412, 443, 461, 464, 469, 490, 499, 504, 507, 508, 537, 539, 541, 555, 568, 576, 578, 579, 591, 593
46	1	do	577	B	3, 7, 11, 18, 24, 33, 42, 44, 50, 83, 94, 96, 107, 134, 137, 139, 142, 157, 161, 189, 199, 200, 203, 210, 211, 237, 247, 284, 294, 304, 306, 307, 350, 365, 376, 385, 432, 464, 467, 469, 483, 495, 533, 540, 566, 579
41	1	mount	361	B	231, 235, 256, 259, 266, 270, 272, 273, 275, 284, 286, 317, 319, 323, 327, 328, 330, 332, 345, 356, 359, 380, 388, 392, 399, 407, 408, 412, 482, 499, 504, 507, 508, 539, 541, 557, 568, 576, 578, 582, 591
39	1	go	563	B	16, 42, 108, 116, 117, 118, 148, 164, 192, 195, 196, 235, 256, 266, 284, 286, 319, 353, 359, 378, 398, 399, 408, 412, 443, 483, 488, 495, 499, 504, 507, 508, 533, 539, 541, 555, 566, 576, 578
36	1	we	561	B	33, 38, 40, 58, 60, 65, 67, 75, 118, 134, 148, 153, 164, 181, 211, 268, 294, 299, 301, 303, 307, 313, 428, 448, 449, 454, 461, 464, 467, 469, 490, 528, 553, 555, 579, 593
35	1	just	524	B	81, 83, 100, 137, 164, 167, 168, 170, 172, 174, 192, 197, 199, 201, 239, 294, 299, 301, 304, 307, 312, 408, 432, 512, 514, 520, 523, 528, 543, 563, 576, 578, 579, 593, 604
35	1	yeah	552	B	9, 38, 40, 53, 55, 58, 63, 65, 67, 100, 102, 108, 111, 114, 117, 118, 127, 129, 188, 211, 266, 269, 310, 345, 349, 361, 368, 383, 403, 428, 447, 452, 479, 504, 560
32	1	oh	576	B	4, 16, 19, 38, 55, 60, 104, 123, 148, 157, 177, 195, 211, 251, 254, 279, 280, 290, 303, 313, 353, 368, 408, 415, 443, 452, 498, 503, 545, 551, 553, 579
30	1	you	583	B	11, 16, 94, 108, 116, 157, 164, 183, 184, 186, 187, 192, 195, 196, 197, 199, 233, 240, 266, 314, 359, 365, 398, 403, 464, 469, 474, 523, 539, 593
28	1	it	577	B	3, 22, 33, 42, 44, 48, 53, 55, 73, 88, 90, 178, 183, 196, 199, 200, 215, 240, 292, 294, 299, 349, 350, 455, 474, 490, 565, 579
25	1	check	509	B	96, 121, 168, 170, 172, 174, 193, 201, 251, 277, 299, 301, 303, 307, 312, 333, 370, 419, 510, 512, 514, 520, 549, 602, 604
25	1	is	580	B	3, 19, 44, 53, 58, 70, 87, 90, 96, 153, 183, 209, 215, 244, 347, 392, 397, 410, 434, 445, 457, 459, 462, 479, 582
25	1	the	528	B	18, 35, 37, 44, 78, 96, 117, 134, 137, 139, 144, 146, 147, 210, 256, 402, 428, 432, 445, 450, 457, 459, 462, 528, 545
24	1	's	518	B	48, 55, 73, 87, 88, 98, 100, 125, 164, 180, 202, 215, 269, 292, 402, 418, 423, 437, 445, 455, 467, 474, 537, 565
23	1	and	535	B	44, 108, 117, 161, 196, 197, 235, 270, 299, 307, 325, 359, 378, 412, 432, 449, 461, 463, 483, 504, 508, 528, 578
23	1	so	535	B	19, 75, 77, 102, 107, 201, 256, 268, 301, 307, 319, 353, 428, 447, 450, 453, 455, 457, 461, 464, 479, 528, 553
21	1	that	503	B	58, 70, 92, 98, 108, 160, 164, 177, 180, 181, 192, 197, 202, 269, 403, 414, 423, 437, 456, 467, 560
18	1	what	551	B	7, 11, 30, 46, 78, 79, 83, 247, 269, 302, 304, 350, 365, 371, 385, 388, 445, 557
16	1	have	505	B	75, 137, 164, 256, 268, 290, 294, 303, 398, 461, 464, 467, 469, 537, 555, 579
16	1	then	471	B	108, 117, 161, 270, 299, 307, 325, 359, 432, 454, 483, 504, 507, 508, 533, 578
16	1	this	461	B	19, 87, 153, 161, 181, 209, 211, 221, 227, 244, 299, 397, 410, 418, 434, 479
15	1	like	579	B	15, 35, 37, 44, 92, 108, 164, 192, 197, 210, 445, 456, 469, 555, 593
14	1	now	560	B	7, 44, 55, 73, 83, 119, 134, 137, 165, 233, 235, 266, 385, 566
13	1	wait	484	B	78, 79, 243, 297, 302, 344, 365, 388, 490, 543, 545, 557, 561
12	1	no	559	B	24, 153, 180, 190, 273, 297, 397, 415, 437, 539, 561, 582
11	1	alright	510	B	71, 149, 167, 233, 264, 283, 315, 358, 402, 405, 580
11	1	where	475	B	117, 256, 347, 378, 392, 483, 495, 533, 566, 568, 591
10	1	not	290	B	3, 11, 44, 48, 53, 70, 116, 153, 284, 292
9	1	a	354	B	70, 75, 87, 137, 142, 178, 403, 408, 423
9	1	because	539	B	44, 151, 164, 180, 192, 199, 470, 555, 582
9	1	press	440	B	165, 197, 201, 307, 333, 370, 549, 602, 604
9	1	yes	316	B	164, 183, 243, 244, 279, 280, 335, 422, 479
8	1	but	485	B	53, 58, 129, 134, 397, 428, 465, 537
8	1	did	554	B	40, 117, 146, 313, 443, 490, 528, 593
8	1	was	384	B	177, 178, 181, 269, 414, 467, 528, 560
7	1	can	192	B	116, 164, 192, 211, 299, 301, 307
7	1	from	425	B	117, 332, 353, 408, 412, 539, 541
7	1	there	522	B	16, 87, 96, 118, 148, 164, 537
6	1	all	62	B	33, 81, 83, 87, 92, 94
6	1	are	536	B	58, 92, 153, 464, 545, 593
6	1	connect	458	B	33, 38, 75, 134, 157, 490
6	1	how	441	B	3, 42, 134, 139, 211, 443
6	1	interlaken	269	B	231, 275, 356, 408, 474, 499
6	1	let	441	B	100, 125, 350, 402, 418, 540
6	1	or	446	B	11, 75, 90, 231, 284, 456
6	1	understand	104	B	3, 6, 38, 50, 104, 106
5	1	montreux	244	B	325, 380, 407, 408, 568
5	1	one	231	B	69, 96, 164, 227, 299
5	1	why	469	B	22, 58, 157, 187, 490
4	1	again	481	B	125, 294, 593, 605
4	1	erase	131	B	160, 200, 240, 290
4	1	everything	30	B	38, 60, 65, 67
4	1	me	298	B	53, 256, 292, 350
4	1	right	421	B	44, 215, 244, 464
4	1	see	177	B	11, 14, 186, 187
4	1	two	487	B	69, 75, 96, 555
4	1	uh	293	B	58, 92, 117, 350
4	1	weird	278	B	19, 87, 98, 296
3	1	bad	290	B	178, 202, 467
3	1	doing	583	B	11, 58, 593
3	1	good	299	B	181, 202, 479
3	1	got	375	B	181, 528, 555
3	1	gray	30	B	15, 22, 44
3	1	on	83	B	117, 196, 199
3	1	small	42	B	428, 464, 469
3	1	um	402	B	27, 323, 428
2	1	better	134	B	180, 313
2	1	contour	162	B	432, 593
2	1	even	456	B	35, 490
2	1	found	60	B	349, 408
2	1	glitching	3	B	88, 90
2	1	if	228	B	240, 467
2	1	last	2	B	447, 448
2	1	really	253	B	162, 414
2	1	should	136	B	428, 563
2	1	sometimes	8	B	15, 22
2	1	submit	142	B	24, 165
2	1	track	6	B	142, 147
2	1	turn	52	B	22, 73
2	1	want	223	B	18, 240
2	1	way	147	B	75, 221
2	1	well	291	B	292, 582
2	1	whatever	301	B	307, 607

