Freq.	Free Freq.	Size	Surface Form	Establishment turn	Spanning	Priming	First Speaker	Turns
10	10	2	yeah .	82	196	1	B	39, 82, 101, 102, 149, 175, 194, 199, 206, 234
9	9	2	i have	270	269	7	B	9, 76, 114, 115, 146, 148, 192, 270, 277
9	7	2	submit .	68	267	1	B	67, 68, 71, 142, 143, 188, 189, 332, 333
9	1	2	the same	105	130	1	B	57, 105, 107, 108, 109, 120, 183, 184, 186
8	1	2	bern .	321	303	1	A	19, 217, 226, 228, 233, 298, 308, 321
8	8	2	is that	242	140	3	B	179, 209, 240, 242, 278, 281, 316, 318
8	2	2	same .	124	130	1	B	57, 107, 120, 124, 126, 183, 184, 186
8	3	2	to basel	162	308	1	A	24, 99, 100, 162, 163, 272, 329, 331
8	4	2	zurich to	154	297	5	A	12, 16, 19, 134, 136, 154, 233, 308
7	1	2	basel .	273	311	2	A	21, 24, 154, 163, 273, 329, 331
7	5	2	mount basel	32	134	1	A	21, 32, 33, 47, 49, 116, 154
6	6	2	, i	74	173	1	B	53, 74, 87, 110, 221, 225
6	1	2	, it	331	206	3	A	126, 131, 286, 294, 295, 331
6	3	2	basel to	103	178	2	B	47, 49, 103, 116, 154, 224
6	1	2	much that	259	74	1	B	192, 242, 244, 253, 259, 265
6	2	2	no no	301	158	3	A	174, 178, 180, 301, 330, 331
6	6	2	oh yeah	271	234	4	A	82, 141, 157, 175, 271, 315
6	2	2	okay ,	67	88	1	A	0, 9, 40, 67, 73, 87
6	4	2	yeah i	104	207	2	A	61, 65, 104, 110, 137, 267
5	1	2	, so	133	134	1	A	0, 9, 40, 73, 133
5	2	2	, to	119	189	1	A	5, 119, 123, 133, 193
5	5	2	i 'll	274	242	3	A	42, 74, 229, 274, 283
5	3	2	luzern .	64	165	2	A	28, 30, 64, 89, 192
5	1	2	mount davos	78	96	2	A	44, 45, 62, 78, 139
5	4	2	to luzern	192	251	2	A	28, 35, 192, 193, 278
5	5	2	uh mount	34	262	2	A	21, 28, 34, 121, 282
5	5	2	we have	286	286	4	B	1, 119, 122, 127, 286
4	4	2	's 3	228	82	1	A	212, 228, 237, 293
4	4	2	's the	131	125	1	B	62, 131, 183, 186
4	4	2	do n't	156	195	2	A	56, 63, 156, 250
4	2	2	mount luzern	42	249	1	B	34, 42, 64, 282
3	1	2	, no	311	134	1	A	178, 301, 311
3	3	2	check .	283	269	2	B	15, 243, 283
3	3	2	from mount	64	60	2	A	5, 12, 64
3	3	2	i can	269	160	2	B	110, 116, 269
3	1	2	i know	221	161	2	A	61, 117, 221
3	3	2	is it	105	117	1	B	50, 105, 166
3	3	2	just go	54	211	1	A	5, 54, 215
3	2	2	mount interlaken	123	111	1	B	58, 123, 168
3	1	2	to bern	308	76	2	A	233, 298, 308
3	3	2	to montreux	169	52	1	B	119, 169, 170
3	3	2	to zurich	229	212	1	B	89, 229, 300
3	3	2	we can	133	66	2	A	68, 72, 133
3	3	2	what ?	29	197	1	A	14, 29, 210
3	3	2	you can	111	78	1	B	99, 111, 176
2	2	2	, then	228	191	1	A	38, 228
2	2	2	4 too	319	45	1	B	275, 319
2	2	2	and luzern	174	86	1	B	89, 174
2	2	2	can erase	116	45	1	A	72, 116
2	2	2	did the	211	103	1	A	109, 211
2	2	2	go ,	217	213	1	A	5, 217
2	2	2	just ,	223	212	1	A	12, 223
2	2	2	neuchatel to	215	5	1	B	211, 215
2	2	2	oh you	83	9	1	A	75, 83
2	2	2	tell me	83	74	1	A	10, 83
2	2	2	the best	198	68	1	A	131, 198
2	2	2	uh i	283	208	1	B	76, 283
2	2	2	uh no	311	156	1	B	156, 311
2	2	2	uh zurich	308	175	1	A	134, 308
2	2	2	we just	328	255	1	A	74, 328
2	2	2	yeah yeah	141	38	1	B	104, 141
86	15	1	to	5	331	1	B	1, 5, 9, 12, 16, 19, 21, 24, 28, 29, 34, 35, 42, 44, 45, 47, 49, 58, 62, 76, 83, 87, 89, 91, 98, 99, 100, 103, 114, 115, 116, 117, 118, 119, 122, 123, 131, 133, 134, 136, 139, 154, 162, 163, 165, 168, 169, 170, 174, 192, 193, 197, 203, 211, 215, 217, 224, 226, 228, 229, 233, 251, 257, 263, 264, 272, 278, 282, 283, 285, 286, 288, 291, 297, 298, 300, 308, 310, 311, 312, 313, 314, 320, 328, 329, 331
58	16	1	that	157	298	13	B	25, 31, 37, 50, 66, 91, 104, 106, 116, 122, 137, 140, 156, 157, 158, 167, 171, 176, 177, 179, 185, 192, 195, 197, 198, 200, 202, 205, 207, 209, 213, 217, 218, 225, 227, 228, 238, 239, 240, 242, 244, 245, 252, 253, 259, 260, 261, 262, 265, 267, 269, 278, 281, 288, 316, 318, 319, 322
57	15	1	i	7	311	1	A	4, 7, 9, 12, 13, 16, 20, 37, 42, 46, 50, 53, 54, 56, 57, 61, 63, 64, 65, 66, 69, 74, 76, 78, 86, 87, 104, 110, 112, 114, 115, 116, 117, 133, 137, 139, 140, 146, 148, 158, 192, 196, 211, 221, 225, 229, 231, 250, 267, 269, 270, 274, 277, 278, 283, 313, 314
48	3	1	's	192	265	1	A	61, 62, 104, 106, 107, 113, 126, 131, 141, 156, 157, 171, 183, 185, 186, 192, 198, 201, 205, 212, 213, 214, 218, 220, 228, 237, 245, 259, 260, 261, 265, 267, 268, 269, 286, 288, 293, 294, 295, 302, 304, 305, 314, 315, 317, 319, 322, 325
48	18	1	okay	2	328	1	A	0, 2, 3, 6, 9, 23, 37, 40, 43, 51, 52, 67, 70, 73, 74, 77, 78, 79, 80, 81, 84, 87, 92, 130, 138, 145, 146, 148, 152, 188, 191, 196, 214, 221, 226, 235, 243, 246, 255, 262, 276, 280, 286, 295, 299, 315, 320, 327
37	14	1	and	53	312	4	A	17, 21, 28, 43, 53, 58, 62, 70, 72, 89, 99, 103, 118, 119, 120, 132, 161, 162, 164, 165, 168, 172, 173, 174, 177, 217, 240, 272, 281, 285, 287, 288, 296, 308, 309, 320, 328
37	9	1	it	133	282	1	B	50, 61, 105, 107, 113, 126, 131, 133, 141, 151, 166, 173, 183, 184, 186, 201, 208, 212, 214, 219, 220, 237, 274, 286, 293, 294, 295, 302, 304, 305, 314, 315, 317, 320, 323, 325, 331
36	22	1	go	46	327	3	A	5, 16, 28, 46, 53, 54, 58, 76, 83, 86, 87, 99, 112, 114, 115, 122, 135, 139, 150, 161, 170, 203, 215, 217, 225, 227, 228, 229, 256, 268, 278, 288, 308, 312, 320, 331
36	4	1	mount	23	278	5	A	5, 12, 16, 19, 21, 23, 28, 32, 33, 34, 35, 42, 44, 45, 47, 49, 53, 58, 62, 64, 76, 78, 87, 99, 116, 121, 123, 139, 154, 168, 217, 224, 226, 228, 251, 282
35	12	1	then	95	312	4	A	17, 21, 28, 38, 53, 58, 62, 72, 95, 99, 103, 118, 119, 132, 161, 164, 165, 173, 177, 200, 202, 203, 207, 217, 228, 236, 265, 272, 287, 296, 308, 310, 312, 323, 328
35	16	1	yeah	36	322	2	A	10, 21, 36, 38, 39, 58, 61, 65, 72, 82, 101, 102, 104, 109, 110, 111, 125, 137, 141, 149, 157, 175, 183, 194, 199, 206, 234, 267, 271, 292, 299, 306, 315, 325, 331
28	11	1	we	108	328	1	B	1, 16, 46, 53, 68, 72, 74, 86, 87, 108, 109, 110, 119, 122, 127, 133, 147, 173, 192, 196, 207, 249, 252, 286, 297, 299, 323, 328
27	2	1	bern	23	311	2	A	19, 21, 23, 28, 34, 35, 58, 87, 99, 100, 113, 117, 118, 163, 168, 217, 224, 226, 228, 233, 298, 308, 310, 311, 320, 321, 329
25	15	1	uh	20	300	2	A	12, 18, 20, 21, 28, 34, 70, 76, 86, 89, 94, 103, 117, 121, 133, 134, 156, 234, 256, 282, 283, 284, 299, 308, 311
24	16	1	oh	75	308	3	B	8, 22, 60, 75, 77, 82, 83, 116, 127, 141, 155, 157, 175, 187, 202, 221, 237, 247, 248, 260, 271, 286, 298, 315
23	6	1	basel	48	311	2	A	21, 24, 32, 33, 47, 48, 49, 88, 89, 97, 99, 100, 103, 116, 154, 162, 163, 222, 224, 272, 273, 329, 331
22	2	1	luzern	279	287	2	A	28, 30, 34, 35, 42, 45, 64, 89, 131, 174, 192, 193, 226, 278, 279, 282, 283, 284, 298, 300, 312, 314
22	9	1	the	105	270	4	B	1, 57, 62, 83, 105, 107, 108, 109, 110, 120, 124, 131, 150, 153, 162, 183, 184, 186, 198, 211, 223, 270
20	6	1	is	105	269	2	B	50, 55, 105, 120, 124, 166, 179, 192, 198, 209, 225, 230, 240, 242, 278, 280, 281, 284, 316, 318
19	4	1	interlaken	98	263	2	B	58, 89, 98, 117, 118, 119, 123, 168, 192, 193, 196, 211, 217, 257, 310, 312, 313, 314, 320
19	2	1	much	242	294	9	B	25, 104, 179, 192, 195, 209, 225, 230, 240, 242, 244, 253, 259, 265, 275, 278, 281, 316, 318
18	4	1	have	128	328	8	B	1, 9, 76, 114, 115, 119, 122, 127, 128, 146, 148, 192, 208, 249, 270, 277, 286, 328
17	1	1	how	242	312	9	B	7, 25, 104, 179, 192, 209, 225, 230, 240, 242, 244, 253, 265, 278, 281, 316, 318
17	12	1	so	1	263	1	A	0, 1, 3, 9, 40, 62, 66, 73, 81, 93, 122, 129, 133, 190, 192, 226, 262
16	2	1	neuchatel	103	218	3	B	47, 49, 53, 103, 114, 115, 116, 119, 123, 165, 203, 204, 211, 215, 263, 264
15	7	1	no	126	278	1	B	54, 126, 156, 167, 174, 178, 180, 201, 269, 299, 301, 311, 314, 330, 331
14	7	1	do	56	244	1	B	7, 56, 63, 66, 72, 83, 108, 133, 140, 156, 173, 176, 196, 250
14	14	1	like	107	198	1	B	91, 107, 122, 133, 147, 173, 177, 200, 208, 225, 227, 238, 239, 288
13	8	1	you	66	286	1	A	21, 66, 75, 83, 99, 111, 128, 131, 168, 171, 176, 256, 306
13	2	1	zurich	89	304	4	A	5, 12, 16, 19, 89, 134, 136, 154, 229, 230, 233, 300, 308
11	4	1	just	15	327	2	A	5, 12, 15, 54, 74, 137, 151, 215, 223, 328, 331
11	1	1	same	126	130	1	B	57, 105, 107, 108, 109, 120, 124, 126, 183, 184, 186
11	8	1	this	41	252	2	B	7, 20, 41, 120, 124, 148, 173, 180, 181, 198, 258
11	11	1	um	97	241	3	B	11, 46, 96, 97, 129, 132, 138, 147, 180, 197, 251
10	2	1	can	110	202	2	A	68, 72, 99, 110, 111, 116, 133, 176, 256, 269
10	1	1	davos	291	248	2	A	44, 45, 62, 78, 139, 282, 283, 285, 286, 291
10	1	1	submit	78	267	1	B	67, 68, 71, 78, 142, 143, 188, 189, 332, 333
9	8	1	erase	110	124	2	A	72, 74, 110, 116, 158, 159, 180, 181, 195
9	5	1	n't	56	238	1	B	13, 56, 63, 112, 156, 208, 225, 249, 250
8	6	1	montreux	59	256	1	B	58, 59, 119, 169, 170, 251, 264, 313
7	4	1	from	64	109	4	A	5, 12, 18, 28, 64, 85, 113
7	4	1	know	221	195	5	A	56, 61, 63, 117, 131, 221, 250
7	4	1	what	62	197	1	A	14, 29, 62, 83, 86, 207, 210
7	5	1	zermatt	285	283	4	A	42, 131, 174, 251, 285, 286, 324
6	4	1	did	109	187	3	B	25, 37, 108, 109, 110, 211
5	3	1	me	15	158	1	A	10, 15, 83, 137, 167
5	5	1	not	126	174	1	B	99, 126, 148, 223, 272
5	3	1	too	286	125	3	B	195, 259, 275, 286, 319
4	4	1	all	74	153	1	B	1, 74, 150, 153
4	4	1	way	131	92	1	B	62, 131, 150, 153
3	3	1	because	208	159	2	B	50, 198, 208
3	3	1	first	224	135	2	B	90, 99, 224
3	3	1	for	258	190	2	B	69, 78, 258
3	3	1	on	201	204	1	B	20, 201, 223
3	3	1	one	258	240	1	B	50, 258, 289
3	3	1	remember	269	78	2	B	192, 267, 269
3	3	1	submitted	75	10	1	B	69, 75, 78
3	1	1	tell	10	75	1	B	9, 10, 83
3	3	1	which	289	235	2	B	55, 249, 289
3	3	1	your	220	152	2	B	69, 78, 220
2	2	1	again	167	96	1	A	72, 167
2	2	1	anything	208	196	1	B	13, 208

