Freq.	Free Freq.	Size	Surface Form	Establishment turn	Spanning	Priming	First Speaker	Turns
2	2	4	i know i know	339	234	1	B	106, 339
2	2	4	it 's not .	292	79	1	A	214, 292
2	2	4	just do the contour	432	307	1	A	126, 432
2	2	4	no , do n't	26	3	1	B	24, 26
2	2	4	two , one .	69	2	1	A	68, 69
2	2	4	we have to connect	76	2	1	B	75, 76
2	2	4	you go to mount	395	130	1	B	266, 395
2	2	4	you need to do	340	247	1	B	94, 340
2	2	4	you see what i	13	3	1	B	11, 13
24	4	3	go to mount	286	344	1	B	235, 258, 263, 266, 284, 286, 308, 309, 319, 364, 381, 387, 395, 399, 400, 408, 413, 417, 491, 504, 507, 508, 576, 578
13	7	3	mount saint gallen	508	329	7	A	258, 287, 316, 364, 366, 395, 492, 508, 535, 556, 557, 585, 586
11	11	3	i do n't	66	450	2	B	18, 50, 66, 83, 96, 189, 199, 203, 210, 237, 467
11	9	3	mount interlaken .	408	372	5	A	230, 232, 274, 331, 355, 408, 427, 473, 477, 547, 601
10	10	3	go from mount	539	175	6	A	427, 473, 480, 496, 500, 502, 539, 541, 546, 601
10	1	3	mount davos to	289	330	1	A	258, 259, 287, 289, 316, 317, 539, 541, 559, 587
10	1	3	to mount davos	585	329	1	A	258, 284, 417, 491, 492, 507, 535, 556, 585, 586
9	9	3	just check .	311	353	4	B	168, 170, 172, 174, 311, 312, 512, 514, 520
9	5	3	press check .	446	404	3	B	201, 333, 370, 446, 489, 549, 581, 602, 604
8	4	3	i ca n't	29	187	1	B	14, 29, 91, 137, 142, 143, 146, 200
8	2	3	mount davos .	417	314	1	B	273, 417, 492, 506, 507, 535, 556, 586
8	4	3	mount zermatt .	328	317	2	A	271, 326, 328, 400, 504, 505, 559, 587
8	3	3	mount zurich .	319	322	2	A	263, 318, 319, 343, 393, 500, 541, 584
8	2	3	saint gallen .	508	251	7	A	258, 261, 287, 316, 364, 366, 395, 508
8	6	3	we have to	294	505	1	B	75, 76, 294, 303, 461, 464, 469, 579
7	2	3	mount bern .	382	243	1	B	356, 381, 382, 472, 499, 576, 598
7	1	3	to mount zurich	539	279	1	A	263, 319, 343, 345, 500, 539, 541
6	3	3	mount montreux .	407	230	2	A	267, 379, 380, 407, 476, 496
6	1	3	to mount zermatt	400	357	2	B	231, 259, 400, 504, 559, 587
6	2	3	we need to	554	523	1	B	33, 34, 38, 41, 554, 555
5	1	3	just press check	489	404	2	B	201, 307, 489, 581, 604
5	1	3	need to connect	101	69	1	B	33, 34, 38, 41, 101
5	1	3	to mount luzern	411	217	3	B	286, 359, 399, 411, 502
5	5	3	to mount neuchatel	346	302	1	B	266, 346, 387, 480, 567
4	1	3	're gon na	295	121	1	A	175, 186, 187, 295
4	4	3	do this .	161	430	1	A	135, 161, 211, 564
4	4	3	from mount bern	473	215	1	B	332, 473, 500, 546
4	3	3	it 's not	175	245	1	B	48, 175, 214, 292
4	1	3	mount luzern .	411	173	2	B	330, 399, 411, 502
4	2	3	need to do	351	461	1	B	94, 340, 351, 554
4	4	3	oh my god	93	316	1	B	19, 93, 157, 334
4	4	3	oh yeah .	368	302	1	A	185, 368, 452, 486
3	3	3	, you go	416	432	1	B	108, 416, 539
3	3	3	erase it .	223	39	1	B	200, 223, 238
3	1	3	from mount interlaken	408	101	1	A	377, 408, 477
3	3	3	i did n't	550	405	2	B	146, 443, 550
3	1	3	just do the	432	307	2	A	126, 208, 432
3	1	3	mount montreux ,	427	161	1	A	267, 380, 427
3	3	3	mount montreux to	568	37	2	A	532, 567, 568
3	3	3	n't do a	137	38	1	A	105, 137, 142
3	1	3	no , do	291	268	1	B	24, 26, 291
3	3	3	okay let 's	418	351	2	A	68, 99, 418
3	1	3	to mount .	578	344	1	B	235, 308, 578
3	3	3	wasting money .	153	5	1	A	152, 153, 156
3	1	3	you go to	394	130	1	B	266, 394, 395
2	2	3	, no .	484	188	1	B	297, 484
2	2	3	, yeah .	126	19	1	B	108, 126
2	2	3	and then i	364	6	1	B	359, 364
2	2	3	and then mount	271	2	1	B	270, 271
2	2	3	did n't .	550	511	1	B	40, 550
2	2	3	do it ,	44	14	1	A	31, 44
2	2	3	do it .	600	22	1	B	579, 600
2	2	3	do it again	295	2	1	B	294, 295
2	2	3	do n't do	105	82	1	B	24, 105
2	2	3	do what ?	385	343	1	A	43, 385
2	2	3	from , mount	412	20	1	A	393, 412
2	2	3	go , from	559	443	1	B	117, 559
2	2	3	go mount interlaken	499	4	1	A	496, 499
2	2	3	i am doing	11	11	1	A	1, 11
2	2	3	i found it	529	181	1	B	349, 529
2	1	3	i know i	339	234	1	B	106, 339
2	2	3	i think we	58	10	1	A	49, 58
2	2	3	mount luzern to	601	190	1	B	412, 601
2	2	3	mount neuchatel to	591	2	1	A	590, 591
2	2	3	no , you	539	504	1	A	36, 539
2	2	3	no mount davos	287	15	1	B	273, 287
2	2	3	oh i have	409	120	1	B	290, 409
2	2	3	oh we have	579	160	1	A	420, 579
2	2	3	small ones .	464	125	1	A	340, 464
2	2	3	thank you .	396	83	1	B	314, 396
2	2	3	the big buildings	36	2	1	B	35, 36
2	2	3	to mount montreux	476	69	1	B	408, 476
2	2	3	two of them	411	337	1	B	75, 411
2	2	3	uh let me	350	285	1	A	66, 350
2	2	3	we are doing	58	2	1	A	57, 58
2	2	3	we did .	593	440	1	A	154, 593
2	2	3	we did n't	490	452	1	A	39, 490
2	2	3	why does it	22	2	1	A	21, 22
2	2	3	yeah this is	479	38	1	A	442, 479
2	2	3	you are just	593	296	1	A	298, 593
2	2	3	your turn .	112	40	1	B	73, 112
60	6	2	to mount	232	371	1	B	231, 232, 235, 258, 259, 260, 263, 266, 284, 286, 287, 308, 309, 316, 317, 319, 343, 345, 346, 356, 359, 364, 381, 387, 395, 399, 400, 408, 411, 413, 417, 427, 473, 476, 480, 491, 492, 499, 500, 502, 504, 507, 508, 532, 535, 539, 541, 546, 547, 556, 559, 567, 576, 578, 585, 586, 587, 590, 598, 601
35	35	2	okay .	4	600	1	A	0, 4, 10, 17, 20, 52, 127, 131, 179, 242, 251, 262, 265, 272, 317, 321, 322, 327, 336, 369, 372, 373, 374, 424, 426, 429, 444, 458, 501, 503, 536, 558, 571, 588, 599
28	4	2	go to	235	350	1	A	229, 235, 258, 263, 266, 284, 286, 308, 309, 319, 341, 364, 381, 387, 394, 395, 398, 399, 400, 408, 413, 417, 491, 504, 507, 508, 576, 578
27	9	2	check .	121	510	1	A	95, 121, 168, 170, 172, 174, 201, 249, 276, 277, 311, 312, 333, 370, 401, 419, 446, 451, 489, 510, 512, 514, 520, 549, 581, 602, 604
24	3	2	mount davos	328	330	1	A	258, 259, 273, 284, 287, 289, 316, 317, 328, 364, 417, 491, 492, 506, 507, 531, 535, 539, 541, 556, 559, 585, 586, 587
20	6	2	mount interlaken	231	372	1	A	230, 231, 232, 274, 275, 331, 355, 356, 377, 408, 427, 473, 477, 496, 497, 499, 532, 546, 547, 601
19	13	2	yeah .	126	424	3	B	63, 108, 111, 126, 132, 185, 188, 248, 266, 305, 310, 320, 345, 361, 368, 383, 441, 452, 486
18	4	2	do n't	107	555	2	B	18, 24, 26, 50, 66, 83, 96, 105, 107, 130, 145, 189, 199, 203, 210, 237, 467, 572
17	4	2	i do	7	465	1	B	3, 5, 7, 12, 18, 50, 66, 83, 96, 189, 199, 203, 210, 237, 247, 385, 467
17	13	2	it 's	48	538	1	A	28, 48, 55, 56, 73, 74, 88, 175, 214, 215, 292, 386, 455, 474, 527, 530, 565
16	1	2	from mount	492	270	1	B	332, 377, 408, 427, 473, 477, 480, 492, 496, 500, 502, 539, 541, 546, 559, 601
15	11	2	and then	271	471	4	B	108, 117, 161, 270, 271, 299, 307, 325, 359, 364, 432, 483, 504, 508, 578
13	10	2	let 's	100	394	4	A	25, 31, 68, 99, 100, 124, 125, 133, 179, 206, 207, 402, 418
13	8	2	mount basel	345	256	1	A	343, 345, 346, 387, 388, 389, 390, 411, 413, 480, 590, 592, 598
13	3	2	mount zermatt	272	357	2	B	231, 259, 271, 272, 326, 327, 328, 362, 400, 504, 505, 559, 587
13	8	2	no ,	24	517	1	A	23, 24, 26, 36, 150, 163, 260, 274, 291, 386, 413, 484, 539
13	7	2	to do	44	538	1	B	42, 43, 44, 94, 101, 294, 340, 350, 351, 464, 469, 554, 579
12	2	2	go from	427	249	2	B	353, 412, 427, 473, 480, 496, 500, 502, 539, 541, 546, 601
12	4	2	have to	256	505	1	B	75, 76, 256, 290, 294, 303, 398, 461, 464, 469, 537, 579
12	1	2	mount montreux	380	302	3	A	267, 324, 379, 380, 407, 408, 427, 476, 496, 532, 567, 568
12	3	2	we have	268	505	1	B	75, 76, 268, 294, 303, 420, 461, 464, 467, 469, 555, 579
11	3	2	ca n't	36	290	1	B	14, 29, 36, 91, 137, 142, 143, 146, 147, 200, 303
11	11	2	go .	124	518	2	B	16, 118, 124, 148, 195, 196, 282, 443, 488, 493, 533
11	1	2	mount zurich	502	322	2	A	263, 318, 319, 343, 345, 393, 500, 502, 539, 541, 584
11	1	2	need to	344	523	1	B	33, 34, 38, 41, 94, 101, 340, 344, 351, 554, 555
11	11	2	no !	190	422	1	A	182, 190, 222, 234, 236, 278, 337, 406, 415, 485, 603
11	1	2	press check	466	404	4	B	201, 307, 333, 370, 446, 466, 489, 549, 581, 602, 604
11	5	2	you go	394	524	7	B	16, 108, 116, 195, 196, 266, 359, 394, 395, 416, 539
10	7	2	money .	153	426	2	A	105, 152, 153, 155, 156, 252, 255, 293, 298, 530
10	2	2	mount luzern	582	321	4	B	286, 330, 359, 399, 411, 412, 502, 582, 601, 606
10	3	2	mount neuchatel	482	326	1	B	266, 346, 387, 480, 482, 497, 567, 569, 590, 591
10	8	2	this is	442	461	8	B	19, 87, 153, 209, 244, 397, 410, 434, 442, 479
10	8	2	we are	152	521	1	A	57, 58, 152, 153, 433, 435, 436, 460, 575, 577
9	4	2	, mount	389	269	2	A	267, 379, 380, 389, 393, 411, 412, 531, 535
9	9	2	alright .	72	510	1	B	71, 72, 149, 264, 283, 315, 358, 405, 580
9	3	2	do it	42	570	1	A	31, 42, 44, 56, 294, 295, 350, 579, 600
9	7	2	oh we	57	563	1	B	38, 57, 60, 303, 313, 420, 553, 579, 600
8	8	2	do you	23	355	1	B	11, 23, 157, 166, 169, 191, 194, 365
8	4	2	gon na	183	363	1	A	175, 183, 186, 187, 225, 238, 295, 537
8	3	2	it .	250	401	1	B	200, 223, 238, 250, 299, 349, 579, 600
8	6	2	no .	297	534	3	A	61, 212, 213, 297, 421, 484, 546, 594
8	4	2	oh yeah	185	432	1	B	55, 185, 211, 368, 395, 442, 452, 486
8	6	2	what ?	43	359	1	B	30, 43, 46, 79, 82, 302, 385, 388
7	3	2	, go	408	281	2	A	216, 400, 408, 413, 491, 493, 496
7	1	2	did n't	85	512	1	A	39, 40, 85, 146, 443, 490, 550
7	7	2	how do	166	153	3	B	42, 134, 139, 166, 169, 191, 194
7	7	2	it is	21	528	1	B	3, 21, 44, 53, 183, 215, 530
7	4	2	just do	304	454	4	A	126, 140, 208, 300, 304, 432, 579
7	3	2	this .	161	564	2	A	1, 135, 161, 211, 226, 471, 564
6	2	2	's not	48	268	2	A	25, 31, 48, 175, 214, 292
6	6	2	, i	409	285	5	B	125, 146, 184, 244, 408, 409
6	6	2	, okay	175	530	1	B	4, 175, 183, 262, 280, 533
6	2	2	, you	108	504	2	A	36, 101, 108, 175, 416, 539
6	3	2	erase it	200	147	1	A	145, 200, 223, 238, 240, 291
6	4	2	go ,	117	492	1	A	68, 117, 164, 400, 491, 559
6	4	2	i know	128	245	1	B	106, 128, 211, 339, 340, 350
6	6	2	understand .	6	102	1	A	5, 6, 38, 50, 104, 106
6	6	2	yes .	357	270	2	B	279, 335, 357, 360, 478, 548
6	4	2	you .	184	312	1	A	176, 184, 225, 314, 396, 487
5	3	2	, no	267	332	1	B	153, 267, 274, 297, 484
5	5	2	, to	249	395	2	B	33, 44, 249, 260, 427
5	5	2	a lot	101	354	1	B	70, 101, 105, 110, 423
5	2	2	do the	432	307	4	A	126, 136, 179, 208, 432
5	1	2	do this	161	430	2	A	135, 150, 161, 211, 564
5	2	2	i did	117	538	1	A	13, 117, 146, 443, 550
5	3	2	i think	49	448	1	B	32, 49, 58, 244, 479
5	5	2	just go	164	449	1	A	130, 164, 192, 576, 578
5	1	2	luzern .	330	174	1	A	329, 330, 399, 411, 502
5	1	2	my god	295	316	1	B	19, 93, 157, 295, 334
5	5	2	okay ,	184	255	2	A	124, 175, 184, 262, 378
5	3	2	one .	96	342	1	A	68, 69, 96, 367, 409
5	3	2	ones .	534	199	1	A	340, 464, 534, 537, 538
5	3	2	turn .	74	314	1	B	73, 74, 112, 224, 386
5	5	2	we can	211	259	1	A	49, 211, 299, 301, 307
5	1	2	we did	313	555	2	A	39, 154, 313, 490, 593
5	5	2	you just	197	423	1	A	101, 197, 199, 351, 523
4	4	2	, and	411	304	3	B	108, 359, 378, 411
4	1	2	, do	135	268	1	B	24, 26, 135, 291
4	2	2	, one	69	62	2	A	23, 68, 69, 84
4	2	2	and now	393	182	1	B	235, 263, 393, 416
4	4	2	connected .	89	502	1	B	81, 89, 94, 582
4	1	2	do a	137	42	2	A	101, 105, 137, 142
4	4	2	everything .	65	66	1	A	34, 65, 67, 99
4	4	2	i 'll	125	446	1	A	95, 125, 364, 540
4	2	2	i am	183	184	1	A	1, 11, 183, 184
4	2	2	i have	256	205	1	A	205, 256, 290, 409
4	2	2	it ,	33	16	2	A	29, 31, 33, 44
4	4	2	know .	339	286	2	B	189, 203, 339, 474
4	2	2	let me	509	446	1	A	66, 350, 509, 511
4	2	2	n't .	550	511	3	B	40, 143, 146, 550
4	2	2	no mount	273	21	1	A	267, 273, 274, 287
4	2	2	now go	235	361	1	A	113, 235, 263, 473
4	4	2	oh .	204	376	1	B	123, 204, 254, 498
4	2	2	oh i	409	340	2	B	104, 290, 409, 443
4	1	2	okay let	540	473	2	A	68, 99, 418, 540
4	4	2	okay so	256	413	1	A	45, 256, 319, 457
4	4	2	okay we	294	263	1	A	293, 294, 299, 555
4	4	2	this time	377	314	1	B	181, 377, 430, 494
4	4	2	to the	44	185	1	A	36, 44, 216, 220
4	4	2	when you	252	92	2	B	164, 199, 252, 255
4	4	2	yeah i	38	338	1	A	12, 38, 211, 349
4	3	2	you are	464	493	2	A	101, 298, 464, 593
4	4	2	you do	199	460	2	A	105, 150, 199, 564
3	3	2	and i	411	35	1	B	378, 411, 412
3	3	2	and we	460	80	1	B	449, 460, 528
3	1	2	connect everything	39	6	1	A	34, 38, 39
3	3	2	connect it	281	458	1	B	33, 281, 490
3	3	2	do .	350	339	2	A	12, 207, 350
3	1	2	do not	291	289	1	B	3, 5, 291
3	3	2	from uh	219	222	1	B	117, 219, 338
3	1	2	go mount	496	141	1	B	359, 496, 499
3	3	2	is so	21	513	1	B	19, 21, 531
3	3	2	is the	442	350	1	B	96, 442, 445
3	3	2	look .	344	182	2	A	163, 253, 344
3	3	2	mount ,	359	230	1	A	267, 359, 496
3	1	2	of them	101	337	1	B	75, 101, 411
3	3	2	oh no	415	559	1	A	23, 415, 581
3	3	2	okay now	554	436	2	B	119, 385, 554
3	3	2	restart .	301	8	1	A	300, 301, 307
3	1	2	small ones	469	130	1	A	340, 464, 469
3	1	2	submit .	25	3	1	B	24, 25, 26
3	3	2	to ,	576	361	2	A	216, 389, 576
3	3	2	to .	269	75	1	A	229, 269, 303
3	3	2	track .	142	58	1	A	141, 142, 198
3	1	2	what i	269	259	1	B	11, 13, 269
3	3	2	you want	240	283	1	A	23, 240, 305
2	2	2	's the	445	390	1	A	56, 445
2	2	2	, press	446	250	1	B	197, 446
2	2	2	, we	428	294	1	A	135, 428
2	2	2	again .	605	311	1	A	295, 605
2	2	2	because you	596	405	1	B	192, 596
2	2	2	check and	300	2	1	B	299, 300
2	2	2	check we	466	164	1	B	303, 466
2	2	2	connect the	411	278	1	B	134, 411
2	2	2	do just	579	374	1	A	206, 579
2	2	2	go go	488	374	1	A	115, 488
2	2	2	going to	269	169	1	A	101, 269
2	2	2	idea .	205	28	1	B	178, 205
2	2	2	it ?	281	240	1	B	42, 281
2	2	2	just wait	543	493	1	A	51, 543
2	2	2	know you	340	142	1	B	199, 340
2	2	2	no we	153	113	1	A	41, 153
2	2	2	oh !	552	2	1	B	551, 552
2	2	2	okay mount	585	269	1	B	317, 585
2	2	2	okay um	126	100	1	B	27, 126
2	2	2	on the	117	71	1	A	47, 117
2	2	2	see .	186	121	1	A	66, 186
2	2	2	the track	198	52	1	B	147, 198
2	2	2	this way	221	3	1	A	219, 221
2	2	2	three two	96	17	1	A	80, 96
2	2	2	times .	403	359	1	A	45, 403
2	2	2	to erase	290	120	1	A	171, 290
2	2	2	we already	583	156	1	B	428, 583
2	2	2	we just	528	229	1	A	300, 528
2	2	2	why .	187	60	1	A	128, 187
2	2	2	yeah ,	108	25	1	A	84, 108
2	2	2	yeah you	403	9	1	A	395, 403
2	2	2	you connect	281	125	1	B	157, 281
2	2	2	yours .	56	43	1	B	14, 56
112	12	1	to	33	579	1	A	23, 33, 34, 35, 36, 38, 41, 42, 43, 44, 75, 76, 94, 101, 171, 216, 220, 229, 231, 232, 235, 249, 256, 258, 259, 260, 263, 266, 269, 284, 286, 287, 289, 290, 294, 303, 308, 309, 316, 317, 319, 323, 340, 341, 343, 344, 345, 346, 350, 351, 356, 359, 363, 364, 381, 387, 389, 391, 394, 395, 398, 399, 400, 408, 411, 412, 413, 417, 427, 443, 461, 464, 469, 473, 476, 480, 490, 491, 492, 494, 499, 500, 502, 504, 507, 508, 532, 534, 535, 537, 539, 541, 546, 547, 554, 555, 556, 559, 567, 568, 576, 578, 579, 585, 586, 587, 590, 591, 593, 596, 598, 601
110	7	1	mount	231	377	1	A	230, 231, 232, 235, 256, 258, 259, 260, 263, 266, 267, 270, 271, 272, 273, 274, 275, 284, 286, 287, 289, 308, 309, 316, 317, 318, 319, 323, 324, 326, 327, 328, 330, 331, 332, 343, 345, 346, 355, 356, 359, 362, 364, 366, 377, 379, 380, 381, 382, 387, 388, 389, 390, 392, 393, 395, 399, 400, 407, 408, 411, 412, 413, 417, 427, 472, 473, 476, 477, 480, 482, 491, 492, 496, 497, 499, 500, 502, 504, 505, 506, 507, 508, 531, 532, 535, 539, 541, 546, 547, 556, 557, 559, 567, 568, 569, 576, 578, 582, 584, 585, 586, 587, 589, 590, 591, 592, 598, 601, 606
85	28	1	okay	38	606	1	A	0, 4, 10, 17, 20, 27, 38, 45, 52, 57, 68, 80, 81, 96, 99, 100, 111, 112, 119, 124, 126, 127, 131, 165, 175, 179, 180, 183, 184, 240, 242, 251, 256, 262, 265, 272, 280, 293, 294, 299, 312, 317, 319, 321, 322, 327, 333, 336, 350, 369, 372, 373, 374, 378, 383, 385, 404, 418, 423, 424, 426, 429, 444, 457, 458, 479, 488, 495, 501, 503, 523, 533, 536, 540, 549, 554, 555, 558, 566, 571, 585, 588, 599, 602, 605
82	13	1	do	7	598	1	B	3, 5, 7, 11, 12, 18, 23, 24, 26, 31, 33, 42, 43, 44, 50, 56, 66, 83, 91, 94, 96, 101, 105, 107, 126, 130, 134, 135, 136, 137, 139, 140, 142, 145, 150, 157, 161, 166, 169, 179, 189, 191, 194, 199, 200, 203, 206, 207, 208, 210, 211, 237, 247, 252, 284, 291, 294, 295, 300, 304, 306, 307, 340, 350, 351, 365, 376, 385, 432, 464, 467, 469, 483, 495, 533, 540, 554, 564, 566, 572, 579, 600
80	15	1	go	130	586	2	B	16, 42, 43, 68, 108, 113, 115, 116, 117, 118, 124, 130, 148, 164, 192, 195, 196, 216, 220, 229, 235, 245, 256, 258, 263, 266, 276, 282, 284, 286, 308, 309, 319, 338, 341, 353, 354, 359, 364, 378, 381, 387, 394, 395, 398, 399, 400, 408, 412, 413, 416, 417, 427, 430, 443, 473, 475, 480, 483, 488, 491, 493, 495, 496, 499, 500, 502, 504, 507, 508, 533, 539, 541, 546, 555, 559, 566, 576, 578, 601
78	21	1	i	3	566	2	A	1, 2, 3, 5, 6, 7, 11, 12, 13, 14, 18, 29, 32, 38, 42, 49, 50, 58, 66, 83, 91, 95, 96, 104, 106, 117, 125, 128, 137, 139, 142, 143, 146, 171, 183, 184, 189, 199, 200, 203, 205, 210, 211, 225, 237, 238, 244, 247, 256, 269, 284, 286, 290, 319, 339, 340, 344, 349, 350, 353, 359, 364, 378, 385, 408, 409, 411, 412, 443, 467, 479, 483, 495, 529, 533, 540, 550, 566
60	14	1	we	40	568	1	B	33, 34, 38, 39, 40, 41, 49, 56, 57, 58, 60, 65, 67, 75, 76, 118, 134, 135, 148, 152, 153, 154, 164, 181, 211, 268, 293, 294, 295, 299, 300, 301, 303, 307, 313, 420, 428, 433, 435, 436, 448, 449, 454, 460, 461, 464, 466, 467, 469, 490, 528, 553, 554, 555, 575, 577, 579, 583, 593, 600
58	9	1	you	175	586	1	B	11, 13, 16, 23, 36, 94, 101, 105, 108, 116, 150, 157, 164, 166, 169, 175, 176, 183, 184, 186, 187, 191, 192, 194, 195, 196, 197, 199, 225, 233, 240, 246, 252, 255, 266, 281, 298, 305, 314, 340, 351, 359, 365, 394, 395, 396, 398, 403, 416, 464, 469, 474, 487, 523, 539, 564, 593, 596
53	17	1	just	81	554	1	A	51, 81, 83, 100, 101, 126, 130, 137, 140, 164, 167, 168, 169, 170, 172, 174, 192, 197, 199, 201, 206, 207, 208, 239, 294, 298, 299, 300, 301, 304, 307, 311, 312, 342, 348, 351, 408, 432, 489, 512, 514, 520, 523, 528, 531, 543, 563, 576, 578, 579, 581, 593, 604
51	18	1	oh	23	597	3	B	4, 16, 19, 23, 38, 55, 56, 57, 60, 80, 93, 104, 123, 148, 157, 177, 185, 195, 204, 211, 251, 254, 279, 280, 290, 303, 313, 334, 338, 353, 368, 395, 408, 409, 415, 420, 424, 438, 442, 443, 452, 486, 498, 503, 545, 551, 552, 553, 579, 581, 600
50	6	1	it	54	598	1	B	3, 21, 22, 28, 29, 31, 33, 42, 44, 48, 53, 54, 55, 56, 73, 74, 88, 90, 145, 175, 178, 183, 196, 199, 200, 214, 215, 223, 238, 240, 250, 281, 291, 292, 294, 295, 299, 349, 350, 386, 455, 474, 490, 527, 529, 530, 531, 565, 579, 600
50	23	1	yeah	12	552	1	B	9, 12, 38, 40, 53, 55, 58, 63, 65, 67, 84, 95, 100, 102, 108, 111, 114, 117, 118, 126, 127, 129, 132, 185, 188, 211, 248, 266, 269, 300, 305, 310, 311, 320, 345, 349, 361, 368, 383, 395, 403, 428, 441, 442, 447, 452, 479, 486, 504, 560
49	15	1	no	24	581	1	A	23, 24, 26, 29, 36, 41, 61, 145, 150, 153, 163, 171, 180, 182, 190, 212, 213, 222, 234, 236, 260, 267, 273, 274, 278, 287, 291, 297, 298, 337, 386, 397, 406, 413, 415, 421, 437, 484, 485, 538, 539, 546, 561, 562, 572, 581, 582, 594, 603
45	27	1	the	36	528	2	B	18, 35, 36, 37, 41, 44, 47, 56, 78, 96, 117, 126, 130, 134, 136, 137, 139, 144, 146, 147, 179, 198, 206, 207, 208, 210, 216, 219, 220, 255, 256, 367, 402, 411, 428, 432, 433, 442, 445, 450, 457, 459, 462, 528, 545
41	10	1	's	87	541	3	A	25, 28, 31, 48, 55, 56, 68, 73, 74, 87, 88, 98, 99, 100, 124, 125, 133, 164, 175, 179, 180, 202, 206, 207, 214, 215, 269, 292, 386, 402, 418, 423, 437, 445, 455, 467, 474, 527, 530, 537, 565
41	16	1	and	198	535	6	B	44, 108, 117, 161, 196, 197, 198, 206, 207, 235, 263, 270, 271, 299, 300, 307, 325, 346, 359, 364, 378, 381, 393, 411, 412, 416, 417, 432, 449, 460, 461, 463, 475, 480, 483, 497, 502, 504, 508, 528, 578
37	7	1	check	96	510	1	A	95, 96, 121, 168, 170, 172, 174, 193, 201, 249, 251, 276, 277, 299, 300, 301, 303, 307, 311, 312, 333, 370, 401, 419, 446, 451, 466, 489, 493, 510, 512, 514, 520, 549, 581, 602, 604
32	25	1	so	54	535	1	B	19, 21, 45, 54, 59, 75, 77, 102, 103, 107, 201, 256, 268, 301, 307, 319, 353, 428, 444, 447, 450, 453, 455, 457, 461, 464, 468, 479, 528, 531, 535, 553
30	11	1	is	44	580	2	B	3, 19, 21, 44, 53, 58, 70, 87, 90, 96, 153, 183, 209, 215, 244, 347, 392, 397, 410, 434, 442, 445, 457, 459, 462, 479, 530, 531, 532, 582
27	3	1	this	227	564	1	A	1, 19, 87, 135, 150, 153, 161, 181, 209, 211, 219, 221, 226, 227, 244, 299, 377, 397, 410, 418, 430, 434, 442, 471, 479, 494, 564
25	3	1	from	217	485	1	B	117, 217, 219, 332, 338, 342, 353, 377, 393, 408, 412, 427, 473, 477, 480, 492, 496, 500, 502, 526, 539, 541, 546, 559, 601
23	14	1	now	56	560	3	B	7, 44, 55, 56, 73, 83, 113, 119, 133, 134, 135, 137, 165, 233, 235, 263, 266, 385, 393, 416, 473, 554, 566
23	13	1	what	13	551	2	B	7, 11, 13, 30, 43, 46, 66, 78, 79, 82, 83, 86, 247, 269, 302, 304, 350, 365, 371, 385, 388, 445, 557
22	4	1	have	75	551	1	A	29, 75, 76, 137, 164, 205, 255, 256, 268, 290, 294, 303, 398, 409, 420, 461, 464, 467, 469, 537, 555, 579
21	1	1	interlaken	474	372	1	A	230, 231, 232, 274, 275, 331, 355, 356, 377, 408, 427, 473, 474, 477, 496, 497, 499, 532, 546, 547, 601
