Freq.	Size	Surface Form	Spanning	First Speaker	Turns
17	1	mount	519	A	5, 7, 10, 34, 100, 182, 188, 228, 235, 259, 282, 296, 329, 335, 368, 380, 523
16	1	then	390	A	14, 28, 33, 50, 117, 165, 179, 186, 188, 214, 216, 226, 261, 305, 319, 403
15	1	so	516	A	7, 10, 67, 181, 211, 221, 249, 274, 335, 368, 409, 427, 445, 453, 522
14	1	n't	484	A	21, 48, 106, 108, 128, 144, 278, 337, 343, 345, 347, 349, 479, 504
13	1	've	399	A	106, 117, 122, 130, 158, 165, 171, 179, 181, 203, 228, 501, 504
13	1	bern	432	A	5, 7, 10, 32, 100, 126, 144, 259, 308, 323, 356, 434, 436
13	1	that	418	A	106, 365, 418, 424, 430, 447, 450, 469, 477, 484, 486, 489, 523
13	1	um	441	A	83, 237, 292, 376, 380, 390, 392, 395, 429, 432, 447, 465, 523
13	1	you	472	A	48, 85, 114, 122, 190, 226, 228, 247, 379, 407, 489, 491, 519
12	1	no	508	A	21, 48, 72, 99, 103, 108, 200, 313, 330, 465, 513, 528
11	1	now	377	A	122, 149, 158, 233, 257, 297, 318, 397, 446, 471, 498
11	1	yeah	482	A	23, 70, 130, 232, 301, 351, 382, 403, 455, 465, 504
11	1	zurich	517	A	7, 100, 146, 211, 213, 259, 298, 301, 307, 453, 523
10	1	basel	511	A	13, 32, 211, 323, 335, 368, 423, 434, 436, 523
10	1	oh	485	A	25, 48, 64, 83, 190, 246, 342, 473, 504, 509
10	1	the	360	A	54, 146, 164, 168, 170, 200, 216, 224, 351, 413
9	1	francs	203	A	333, 354, 365, 407, 431, 450, 455, 484, 535
9	1	gallen	332	A	177, 179, 213, 228, 274, 276, 296, 477, 508
8	1	interlaken	469	A	18, 32, 100, 357, 380, 417, 450, 486
8	1	my	499	A	41, 64, 246, 284, 312, 357, 411, 539
8	1	saint	331	A	177, 179, 213, 228, 274, 276, 477, 507
8	1	uh	448	A	58, 165, 218, 232, 235, 294, 361, 505
7	1	's	291	A	179, 233, 339, 365, 411, 431, 469
7	1	have	248	A	226, 247, 254, 337, 429, 441, 473
7	1	how	436	A	82, 122, 386, 418, 424, 471, 517
7	1	was	270	A	90, 216, 249, 286, 288, 290, 359
6	1	but	442	A	45, 106, 149, 179, 339, 486
6	1	circle	101	A	100, 138, 146, 168, 170, 200
6	1	montreux	215	A	251, 335, 337, 392, 395, 465
6	1	try	411	A	59, 108, 181, 333, 354, 469
5	1	many	459	A	59, 122, 418, 471, 517
5	1	neuchatel	392	A	32, 251, 416, 417, 423
5	1	one	342	A	164, 286, 394, 413, 505
5	1	price	53	A	164, 165, 207, 208, 216
5	1	ten	382	A	117, 171, 181, 204, 498
5	1	what	489	A	3, 45, 124, 335, 491
5	1	where	327	A	16, 179, 257, 318, 342
4	1	a	442	A	32, 100, 138, 473
4	1	did	390	A	100, 122, 486, 489
4	1	eight	93	A	122, 171, 186, 214
4	1	just	129	A	10, 73, 91, 138
4	1	not	293	A	47, 333, 337, 339
4	1	our	182	A	288, 290, 359, 469
4	1	this	390	A	90, 146, 413, 479
4	1	two	108	A	181, 247, 264, 288
3	1	already	66	A	421, 434, 486
3	1	bars	28	A	122, 130, 149
3	1	before	39	A	204, 208, 242
3	1	circles	66	A	106, 130, 171
3	1	get	307	A	59, 254, 365
3	1	like	167	A	339, 354, 505
3	1	look	236	A	284, 413, 519
3	1	need	304	A	181, 319, 484
3	1	seven	335	A	171, 233, 505
3	1	wanna	136	A	106, 144, 241
2	1	because	63	A	138, 200
2	1	does	70	A	349, 418
2	1	doing	12	A	170, 181
2	1	find	31	A	443, 473
2	1	good	336	A	138, 473
2	1	here	293	A	50, 342
2	1	if	143	A	288, 430
2	1	is	205	A	138, 342
2	1	lines	66	A	106, 171
2	1	me	106	A	386, 491
2	1	of	302	A	204, 505
2	1	out	151	A	204, 354
2	1	take	32	A	288, 319
2	1	use	212	A	122, 333
2	1	way	59	A	32, 90

