Freq.	Free Freq.	Size	Surface Form	Establishment turn	Spanning	Priming	First Speaker	Turns
17	5	2	to the	217	261	7	A	30, 49, 74, 106, 109, 150, 165, 217, 236, 243, 246, 265, 267, 276, 277, 288, 290
16	4	2	mount basel	40	309	1	A	14, 38, 39, 40, 45, 47, 163, 187, 258, 265, 267, 273, 274, 312, 317, 322
15	5	2	the mount	217	242	7	A	49, 74, 106, 109, 146, 150, 180, 217, 243, 246, 265, 267, 277, 288, 290
13	3	2	i think	16	289	1	B	13, 16, 74, 79, 81, 109, 113, 138, 152, 181, 222, 287, 301
13	2	2	zurich to	267	255	5	B	58, 135, 213, 214, 258, 267, 288, 289, 303, 304, 305, 310, 312
12	3	2	mount luzern	88	227	1	B	64, 65, 88, 89, 127, 129, 136, 138, 146, 150, 206, 290
11	11	2	it cost	269	175	7	A	125, 134, 140, 188, 215, 218, 259, 269, 288, 290, 299
11	5	2	mount montreux	74	208	1	B	26, 74, 76, 77, 99, 106, 115, 168, 198, 228, 233
10	1	2	bern to	126	288	2	B	35, 64, 65, 125, 126, 138, 150, 272, 317, 322
10	2	2	how much	250	166	4	A	134, 188, 215, 218, 250, 259, 283, 288, 290, 299
9	9	2	it 's	112	220	1	B	105, 112, 116, 118, 120, 142, 249, 255, 324
9	3	2	luzern .	213	230	1	B	64, 65, 89, 127, 136, 138, 213, 214, 293
9	3	2	mount zermatt	94	201	1	A	90, 94, 103, 104, 106, 198, 200, 228, 290
9	9	2	okay .	82	300	2	A	27, 51, 82, 91, 151, 195, 239, 254, 326
8	8	2	mount davos	109	160	2	B	94, 96, 109, 110, 200, 241, 246, 253
8	4	2	mount interlaken	26	178	1	A	3, 26, 74, 80, 115, 172, 179, 180
8	1	2	zurich .	256	283	2	B	35, 96, 109, 130, 132, 187, 256, 317
7	2	2	mount neuchatel	165	140	5	B	29, 38, 47, 55, 163, 165, 168
7	7	2	um mount	165	242	2	B	26, 37, 165, 198, 200, 228, 267
6	5	2	and mount	146	292	2	B	26, 72, 146, 171, 258, 317
6	6	2	cost ?	250	126	4	A	134, 188, 215, 218, 250, 259
6	2	2	interlaken .	115	106	2	A	74, 78, 115, 172, 174, 179
6	6	2	mount gallen	243	85	1	B	205, 243, 244, 245, 288, 289
6	1	2	neuchatel to	236	199	3	B	38, 47, 55, 165, 168, 236
6	4	2	press the	154	279	1	B	20, 154, 157, 292, 296, 298
6	1	2	we should	113	108	3	A	74, 81, 109, 113, 138, 181
6	6	2	you can	190	250	1	B	64, 190, 192, 292, 299, 313
5	2	2	erase the	109	273	1	B	55, 74, 109, 150, 327
5	2	2	luzern to	291	166	1	B	129, 206, 290, 291, 294
5	1	2	zermatt .	294	205	2	A	90, 103, 198, 228, 294
4	4	2	can you	264	205	1	B	123, 264, 292, 327
4	4	2	costs 4	184	182	3	A	3, 14, 180, 184
4	4	2	do it	209	276	1	A	33, 209, 248, 308
4	4	2	i do	196	218	2	B	9, 23, 196, 226
4	1	2	ten mountains	164	49	2	A	116, 118, 119, 164
3	3	2	erase that	181	215	1	B	50, 181, 264
3	3	2	it .	325	136	2	A	190, 313, 325
3	3	2	it ?	267	145	2	B	123, 209, 267
3	1	2	mount ,	126	78	2	A	49, 125, 126
3	3	2	neuchatel .	235	207	2	B	29, 163, 235
3	3	2	okay and	241	206	1	B	72, 241, 277
3	3	2	this .	278	280	1	A	2, 278, 281
3	3	2	to do	85	276	1	A	33, 85, 308
3	3	2	wait ,	285	257	1	B	55, 285, 311
3	3	2	wait .	280	76	1	B	207, 280, 282
3	3	2	we can	292	54	1	B	248, 292, 301
3	1	2	you erase	264	273	1	B	55, 264, 327
2	2	2	and like	281	96	1	A	186, 281
2	2	2	bern ?	49	13	1	B	37, 49
2	2	2	do you	17	10	1	B	8, 17
2	2	2	erase it	325	59	1	A	267, 325
2	2	2	here ?	318	296	1	B	23, 318
2	2	2	i press	154	134	1	B	21, 154
2	2	2	is good	287	271	1	A	17, 287
2	2	2	montreux .	168	63	1	A	106, 168
2	2	2	neuchatel ?	234	187	1	A	48, 234
2	2	2	oh what	178	156	1	B	23, 178
2	2	2	so .	13	9	1	A	5, 13
2	2	2	which one	44	13	1	B	32, 44
102	14	1	mount	36	328	2	A	3, 14, 26, 29, 35, 36, 37, 38, 39, 40, 45, 47, 49, 50, 55, 58, 59, 61, 64, 65, 66, 67, 68, 70, 72, 74, 75, 76, 77, 80, 88, 89, 90, 94, 96, 99, 100, 103, 104, 106, 109, 110, 115, 125, 126, 127, 129, 130, 132, 135, 136, 138, 146, 147, 149, 150, 163, 165, 166, 168, 171, 172, 173, 179, 180, 187, 198, 200, 205, 206, 207, 217, 228, 233, 238, 241, 243, 244, 245, 246, 247, 253, 258, 265, 267, 272, 273, 274, 277, 288, 289, 290, 303, 304, 305, 310, 312, 317, 322, 323, 329, 330
81	12	1	to	35	323	5	A	0, 14, 16, 30, 33, 35, 38, 46, 47, 49, 55, 57, 58, 64, 65, 66, 69, 70, 71, 74, 77, 80, 85, 90, 94, 96, 103, 106, 109, 115, 116, 118, 119, 125, 126, 129, 133, 135, 138, 150, 157, 160, 163, 165, 168, 172, 187, 198, 200, 205, 206, 213, 214, 217, 228, 233, 236, 243, 246, 253, 256, 258, 262, 265, 267, 272, 276, 277, 288, 289, 290, 291, 294, 303, 304, 305, 308, 310, 312, 317, 322
54	44	1	and	28	319	2	B	4, 26, 28, 29, 66, 72, 73, 80, 86, 96, 97, 98, 108, 109, 111, 124, 142, 143, 146, 152, 162, 170, 171, 176, 180, 181, 185, 186, 199, 203, 204, 211, 215, 220, 229, 232, 241, 251, 252, 255, 258, 262, 266, 270, 271, 277, 279, 281, 290, 299, 312, 317, 321, 322
44	37	1	um	49	325	11	B	1, 7, 12, 18, 20, 26, 32, 34, 37, 40, 47, 49, 50, 52, 63, 87, 92, 105, 113, 114, 121, 122, 128, 141, 148, 153, 165, 175, 189, 198, 200, 208, 219, 221, 225, 228, 237, 240, 260, 267, 277, 284, 316, 325
39	13	1	the	28	308	1	B	20, 28, 30, 41, 49, 55, 74, 105, 106, 109, 146, 150, 154, 157, 162, 165, 180, 181, 191, 192, 217, 236, 243, 246, 248, 265, 267, 275, 276, 277, 288, 290, 292, 296, 298, 299, 302, 314, 327
36	34	1	so	13	329	2	A	0, 5, 13, 16, 22, 31, 34, 53, 55, 83, 85, 93, 120, 135, 138, 145, 158, 159, 161, 177, 181, 192, 193, 194, 197, 222, 225, 237, 262, 264, 292, 296, 301, 308, 315, 328
33	3	1	it	134	293	1	A	33, 105, 112, 116, 118, 120, 123, 125, 134, 140, 142, 176, 188, 190, 209, 215, 218, 248, 249, 255, 259, 262, 267, 268, 269, 288, 290, 299, 305, 308, 313, 324, 325
29	10	1	i	139	307	2	B	9, 13, 16, 21, 23, 74, 79, 81, 109, 113, 138, 139, 150, 152, 154, 181, 189, 196, 208, 211, 222, 226, 252, 267, 287, 297, 301, 309, 315
27	1	1	zurich	257	283	5	B	35, 58, 66, 68, 96, 109, 130, 132, 135, 146, 187, 206, 207, 213, 214, 256, 257, 258, 267, 288, 289, 303, 304, 305, 310, 312, 317
22	11	1	you	32	320	1	B	8, 17, 32, 33, 38, 47, 54, 55, 64, 66, 70, 96, 123, 157, 190, 192, 264, 286, 292, 299, 313, 327
21	7	1	we	20	309	2	A	0, 16, 20, 74, 79, 81, 94, 109, 113, 138, 152, 160, 181, 222, 248, 288, 291, 292, 294, 301, 308
20	8	1	okay	52	300	2	A	27, 51, 52, 53, 55, 72, 82, 85, 91, 151, 177, 182, 195, 203, 225, 239, 241, 254, 277, 326
19	2	1	luzern	64	233	1	A	62, 64, 65, 88, 89, 125, 127, 129, 136, 138, 146, 150, 206, 213, 214, 290, 291, 293, 294
18	16	1	what	28	269	2	B	23, 25, 28, 43, 76, 77, 85, 101, 117, 126, 131, 147, 156, 178, 196, 217, 226, 291
17	5	1	cost	250	267	11	A	33, 125, 134, 140, 150, 160, 188, 192, 215, 218, 230, 250, 259, 269, 288, 290, 299
17	7	1	erase	50	312	1	A	16, 50, 55, 74, 81, 109, 138, 139, 150, 181, 264, 267, 288, 301, 315, 325, 327
16	5	1	can	139	264	2	B	64, 123, 139, 150, 154, 190, 192, 226, 248, 264, 267, 292, 299, 301, 313, 327
15	5	1	how	125	292	3	B	8, 9, 24, 125, 134, 188, 208, 215, 218, 250, 259, 283, 288, 290, 299
15	2	1	think	17	289	1	B	13, 16, 17, 74, 79, 81, 109, 113, 120, 138, 152, 181, 222, 287, 301
15	9	1	wait	264	296	6	B	32, 55, 159, 183, 207, 248, 264, 267, 280, 282, 285, 294, 310, 311, 327
14	6	1	do	17	301	2	B	8, 9, 17, 20, 21, 23, 33, 85, 196, 208, 209, 226, 248, 308
14	1	1	montreux	180	208	1	B	26, 74, 76, 77, 99, 103, 106, 115, 168, 172, 180, 198, 228, 233
13	4	1	's	262	220	1	B	105, 112, 116, 118, 120, 142, 249, 255, 262, 278, 283, 284, 324
13	7	1	gallen	243	232	6	B	58, 60, 66, 70, 72, 205, 243, 244, 245, 248, 256, 288, 289
12	5	1	davos	94	212	1	A	42, 94, 95, 96, 109, 110, 200, 201, 203, 241, 246, 253
12	10	1	oh	11	291	1	A	10, 11, 23, 71, 107, 161, 178, 191, 207, 236, 248, 300
12	9	1	that	74	249	1	B	50, 74, 83, 160, 181, 184, 230, 248, 264, 287, 297, 298
12	9	1	this	21	318	3	A	2, 14, 17, 21, 183, 210, 250, 262, 278, 281, 283, 319
11	1	1	much	269	166	4	A	134, 188, 215, 218, 250, 259, 269, 283, 288, 290, 299
11	1	1	zermatt	291	205	1	A	90, 94, 103, 104, 106, 198, 200, 228, 290, 291, 294
10	2	1	does	250	175	5	A	125, 134, 188, 215, 218, 250, 259, 288, 290, 299
10	8	1	like	30	258	1	B	24, 30, 33, 183, 186, 210, 212, 262, 278, 281
9	9	1	connected	116	278	1	B	47, 116, 118, 248, 249, 291, 294, 305, 324
9	5	1	one	32	248	1	A	28, 32, 44, 50, 55, 74, 144, 199, 275
8	8	1	see	190	125	1	B	189, 190, 192, 283, 284, 297, 299, 313
7	7	1	right	191	312	3	B	8, 82, 189, 191, 292, 314, 319
7	1	1	should	196	123	3	A	74, 81, 109, 113, 138, 181, 196
6	6	1	are	152	255	1	B	32, 152, 222, 248, 283, 286
6	6	1	have	157	269	2	B	47, 54, 157, 291, 294, 315
6	4	1	is	144	303	2	A	17, 28, 144, 287, 305, 319
6	6	1	no	212	264	3	B	50, 113, 144, 212, 280, 313
5	5	1	but	116	221	1	B	105, 116, 297, 315, 325
4	4	1	because	287	148	3	A	140, 150, 268, 287
4	4	1	connect	181	144	3	B	38, 115, 161, 181
4	2	1	here	318	296	3	B	23, 107, 252, 318
3	3	1	button	292	279	1	B	20, 292, 298
3	3	1	its	98	111	1	B	40, 98, 150
3	3	1	on	191	261	1	B	32, 191, 292
2	2	1	a	269	110	1	A	160, 269

