Freq.	Free Freq.	Size	Surface Form	Establishment turn	Spanning	Priming	First Speaker	Turns
9	1	3	mount bern to	282	227	1	A	56, 143, 157, 238, 243, 253, 254, 260, 282
9	1	3	n't do that	160	186	2	A	90, 138, 155, 160, 177, 240, 246, 264, 275
9	4	3	to mount basel	143	220	4	A	41, 56, 89, 135, 143, 176, 253, 254, 260
9	9	3	to mount interlaken	94	254	3	A	26, 80, 89, 94, 95, 154, 163, 243, 279
9	5	3	to mount zermatt	202	206	4	A	63, 99, 122, 130, 202, 217, 222, 238, 268
8	2	3	that 's 3	124	202	1	A	22, 123, 124, 146, 198, 216, 220, 223
8	4	3	to mount davos	207	159	4	A	57, 119, 195, 205, 207, 212, 214, 215
8	4	3	you ca n't	177	265	4	A	0, 90, 156, 167, 177, 178, 240, 264
6	3	3	that 's 2	121	173	1	B	120, 121, 162, 226, 227, 292
6	3	3	that 's 4	159	130	1	A	154, 159, 165, 245, 275, 283
5	1	3	luzern to mount	207	164	2	A	63, 128, 207, 217, 226
5	1	3	montreux to mount	170	197	2	A	80, 163, 170, 171, 276
5	1	3	mount davos .	212	158	2	A	57, 195, 207, 212, 214
4	4	3	i do n't	235	235	3	B	1, 115, 202, 235
4	2	3	mount basel to	150	125	3	A	26, 89, 95, 150
3	1	3	erase it .	48	146	1	B	47, 48, 192
3	1	3	i 'll erase	192	145	2	A	48, 171, 192
3	3	3	i 'll go	70	167	1	B	60, 70, 226
3	3	3	i think .	68	54	2	A	15, 26, 68
3	3	3	maybe try mount	170	36	2	A	135, 154, 170
3	1	3	that 's perfect	173	12	1	A	162, 172, 173
3	3	3	to go from	125	100	2	A	26, 61, 125
3	3	3	to mount ,	173	48	2	B	126, 170, 173
3	1	3	your turn .	194	186	2	A	9, 11, 194
2	2	3	's good .	272	257	1	A	16, 272
2	2	3	i 'll do	232	93	1	A	140, 232
2	2	3	neuchatel to mount	173	80	1	B	94, 173
2	2	3	should i go	150	86	1	A	65, 150
2	2	3	then i 'm	125	37	1	A	89, 125
56	8	2	to mount	94	260	13	A	26, 41, 43, 51, 56, 57, 61, 63, 65, 70, 80, 86, 89, 94, 95, 99, 119, 122, 126, 128, 130, 135, 139, 143, 154, 157, 161, 163, 170, 171, 173, 176, 186, 187, 193, 195, 202, 205, 207, 212, 214, 215, 217, 222, 226, 232, 238, 243, 253, 254, 260, 266, 268, 276, 279, 285
38	16	2	that 's	120	272	9	A	22, 49, 51, 58, 62, 91, 100, 101, 112, 120, 121, 123, 124, 138, 146, 147, 154, 159, 162, 165, 172, 173, 191, 198, 216, 220, 223, 225, 226, 227, 239, 245, 272, 275, 283, 284, 292, 293
29	29	2	yeah .	85	291	6	A	5, 17, 30, 44, 53, 73, 85, 88, 97, 102, 107, 124, 127, 136, 139, 144, 152, 179, 182, 206, 229, 244, 258, 269, 277, 287, 289, 294, 295
26	26	2	okay .	87	283	10	A	2, 4, 6, 18, 19, 23, 24, 25, 49, 69, 87, 106, 109, 113, 141, 156, 185, 188, 196, 218, 233, 249, 251, 255, 257, 284
20	3	2	mount zermatt	126	206	4	A	63, 99, 112, 122, 126, 130, 161, 186, 187, 193, 195, 202, 205, 208, 210, 212, 217, 222, 238, 268
19	6	2	go from	60	236	5	A	26, 36, 50, 56, 57, 60, 61, 91, 93, 116, 122, 125, 150, 171, 173, 186, 187, 260, 261
19	5	2	how much	164	151	5	A	130, 135, 145, 152, 158, 164, 171, 189, 197, 215, 217, 219, 226, 234, 252, 253, 262, 270, 280
16	4	2	do that	155	206	4	A	90, 138, 140, 153, 155, 160, 177, 221, 236, 240, 246, 256, 264, 275, 292, 295
16	13	2	i think	68	279	8	A	15, 26, 28, 31, 33, 51, 61, 67, 68, 86, 101, 175, 180, 245, 260, 293
14	2	2	from mount	176	235	4	A	26, 50, 56, 61, 93, 122, 150, 171, 173, 176, 186, 187, 232, 260
14	2	2	is that	228	146	3	A	135, 145, 158, 164, 171, 189, 197, 219, 226, 228, 234, 247, 270, 280
14	3	2	mount bern	50	246	2	B	37, 39, 50, 56, 139, 143, 157, 232, 238, 243, 253, 254, 260, 282
13	1	2	mount basel	154	235	6	A	26, 41, 56, 89, 95, 135, 143, 150, 154, 176, 253, 254, 260
13	2	2	that .	166	203	3	A	90, 138, 153, 155, 166, 177, 221, 240, 246, 250, 264, 275, 292
12	10	2	i 'm	125	224	5	A	56, 89, 104, 111, 122, 125, 157, 160, 166, 171, 208, 279
12	3	2	mount interlaken	94	254	4	A	26, 76, 80, 89, 94, 95, 154, 157, 163, 176, 243, 279
11	11	2	interlaken .	72	218	1	A	71, 72, 78, 89, 95, 154, 157, 163, 173, 286, 288
10	6	2	do n't	36	275	1	B	1, 36, 115, 138, 160, 202, 213, 235, 246, 275
10	3	2	i 'll	195	185	1	A	48, 60, 70, 140, 171, 192, 195, 221, 226, 232
10	1	2	that ?	256	146	3	A	135, 145, 158, 164, 171, 189, 234, 256, 270, 280
10	10	2	yeah ,	43	208	1	B	29, 43, 48, 55, 62, 64, 193, 201, 215, 236
10	1	2	zermatt to	288	163	2	B	126, 161, 186, 187, 193, 195, 205, 212, 268, 288
9	7	2	it 's	194	240	6	A	9, 10, 16, 26, 55, 176, 194, 230, 248
8	4	2	mount montreux	161	211	3	A	66, 80, 86, 161, 170, 171, 268, 276
8	5	2	mount zurich	232	190	7	A	43, 51, 128, 135, 139, 186, 226, 232
7	7	2	do you	103	288	3	B	8, 81, 84, 103, 201, 256, 295
7	3	2	mount luzern	207	166	3	A	61, 63, 187, 207, 215, 217, 226
6	6	2	do mount	276	179	5	A	98, 139, 205, 213, 238, 276
6	3	2	it .	104	247	1	B	47, 48, 104, 167, 192, 293
6	5	2	then i	125	152	3	A	70, 86, 89, 125, 180, 221
5	1	2	basel to	262	237	3	A	26, 89, 95, 150, 262
5	5	2	how do	222	272	3	B	8, 81, 84, 222, 279
5	1	2	i do	276	276	3	B	1, 115, 202, 235, 276
5	2	2	mount ,	173	83	3	B	126, 150, 170, 173, 208
5	2	2	try mount	170	59	3	A	135, 154, 157, 170, 193
5	5	2	you go	36	261	1	B	8, 36, 86, 91, 268
5	2	2	your turn	194	186	4	A	9, 11, 21, 35, 194
4	1	2	erase it	167	146	1	B	47, 48, 167, 192
4	1	2	mount neuchatel	276	191	3	A	86, 171, 173, 276
4	2	2	neuchatel ?	150	191	1	A	86, 150, 170, 276
4	4	2	oh .	184	263	1	B	3, 184, 241, 265
4	2	2	perfect .	172	109	3	A	64, 129, 162, 172
4	4	2	we should	139	214	1	B	47, 139, 180, 260
3	3	2	, mount	150	126	1	A	77, 150, 202
3	1	2	i go	150	86	2	A	65, 89, 150
3	3	2	let 's	104	263	1	B	29, 104, 291
3	1	2	should i	276	212	1	A	65, 150, 276
3	3	2	then mount	143	90	2	A	54, 63, 143
3	3	2	what ?	79	269	1	A	13, 79, 281
3	3	2	you erase	81	9	1	A	76, 81, 84
2	2	2	so ,	79	30	1	A	50, 79
2	2	2	submit .	180	152	1	B	29, 180
2	2	2	we go	93	18	1	A	76, 93
81	18	1	that	120	274	18	A	22, 26, 28, 42, 45, 49, 51, 52, 58, 62, 77, 80, 90, 91, 92, 100, 101, 112, 120, 121, 123, 124, 128, 129, 130, 135, 138, 140, 145, 146, 147, 152, 153, 154, 155, 158, 159, 160, 162, 164, 165, 166, 171, 172, 173, 177, 189, 191, 197, 198, 215, 216, 219, 220, 221, 223, 225, 226, 227, 228, 234, 236, 239, 240, 245, 246, 247, 250, 256, 262, 264, 270, 272, 275, 280, 283, 284, 290, 292, 293, 295
74	5	1	mount	76	260	1	A	26, 37, 39, 41, 43, 50, 51, 54, 56, 57, 61, 63, 65, 66, 70, 76, 77, 80, 86, 89, 93, 94, 95, 98, 99, 112, 117, 119, 122, 126, 128, 130, 135, 139, 143, 150, 154, 157, 161, 163, 170, 171, 173, 176, 186, 187, 193, 195, 202, 203, 205, 207, 208, 210, 212, 213, 214, 215, 217, 222, 226, 232, 238, 243, 253, 254, 260, 266, 268, 274, 276, 279, 282, 285
65	8	1	to	94	263	15	A	26, 33, 41, 43, 51, 56, 57, 61, 63, 65, 70, 80, 86, 89, 91, 94, 95, 99, 119, 122, 125, 126, 128, 130, 135, 139, 143, 150, 154, 157, 161, 163, 167, 170, 171, 173, 176, 186, 187, 193, 195, 202, 205, 207, 211, 212, 214, 215, 217, 222, 226, 232, 238, 243, 253, 254, 260, 262, 266, 268, 276, 279, 282, 285, 288
60	21	1	yeah	29	291	6	A	5, 15, 16, 17, 23, 25, 29, 30, 43, 44, 48, 53, 55, 58, 62, 64, 73, 85, 86, 88, 91, 95, 97, 101, 102, 104, 107, 124, 127, 129, 136, 139, 144, 147, 152, 160, 162, 173, 179, 181, 182, 192, 193, 201, 204, 206, 215, 221, 229, 236, 244, 248, 258, 269, 277, 287, 289, 292, 294, 295
51	1	1	's	31	285	5	A	9, 10, 16, 22, 26, 29, 31, 49, 51, 55, 58, 62, 91, 100, 101, 104, 112, 120, 121, 123, 124, 138, 146, 147, 154, 159, 162, 165, 172, 173, 176, 191, 194, 198, 216, 220, 223, 225, 226, 227, 230, 239, 245, 248, 272, 275, 283, 284, 291, 292, 293
46	2	1	i	185	293	1	B	1, 15, 26, 28, 31, 33, 48, 51, 56, 60, 61, 65, 67, 68, 70, 86, 89, 101, 104, 111, 115, 122, 125, 140, 150, 157, 160, 166, 171, 175, 180, 185, 192, 195, 202, 208, 219, 221, 226, 232, 235, 245, 260, 276, 279, 293
41	15	1	okay	87	283	16	A	2, 4, 6, 7, 9, 18, 19, 21, 23, 24, 25, 27, 35, 40, 49, 69, 87, 105, 106, 109, 113, 116, 121, 141, 156, 163, 185, 188, 195, 196, 208, 218, 228, 233, 249, 251, 255, 257, 266, 272, 284
40	8	1	do	33	295	2	B	1, 8, 33, 36, 81, 84, 90, 98, 103, 115, 138, 139, 140, 153, 155, 160, 163, 166, 177, 201, 202, 205, 211, 213, 221, 222, 232, 235, 236, 238, 240, 242, 246, 256, 264, 275, 276, 279, 292, 295
34	8	1	go	41	261	1	B	8, 26, 36, 41, 43, 50, 56, 57, 60, 61, 65, 70, 76, 86, 89, 91, 93, 104, 116, 122, 125, 150, 160, 171, 173, 175, 186, 187, 199, 226, 260, 261, 266, 268
29	20	1	then	125	252	11	A	28, 43, 54, 63, 70, 86, 89, 91, 95, 98, 121, 125, 130, 142, 143, 163, 173, 174, 180, 193, 215, 221, 238, 242, 259, 260, 266, 273, 279
28	9	1	you	57	296	1	A	0, 8, 36, 57, 61, 76, 81, 82, 84, 86, 90, 91, 103, 156, 167, 177, 178, 199, 201, 205, 213, 223, 240, 253, 256, 264, 268, 295
26	10	1	is	164	274	9	A	7, 31, 32, 112, 114, 135, 145, 152, 158, 164, 171, 189, 197, 215, 217, 219, 226, 228, 234, 247, 248, 252, 254, 262, 270, 280
23	2	1	from	60	236	6	A	26, 36, 40, 50, 56, 57, 60, 61, 91, 93, 116, 122, 125, 150, 154, 171, 173, 176, 186, 187, 232, 260, 261
22	4	1	interlaken	72	263	3	A	26, 66, 71, 72, 76, 78, 80, 89, 94, 95, 99, 154, 157, 163, 173, 176, 243, 262, 275, 279, 286, 288
20	17	1	maybe	41	227	1	B	37, 41, 51, 54, 62, 82, 96, 100, 105, 128, 130, 135, 154, 170, 186, 187, 191, 192, 239, 263
20	1	1	n't	149	276	1	A	0, 1, 36, 90, 115, 138, 149, 155, 156, 160, 167, 177, 178, 202, 213, 235, 240, 246, 264, 275
20	17	1	oh	4	263	1	B	3, 4, 31, 45, 57, 65, 74, 75, 90, 92, 167, 184, 185, 187, 200, 204, 223, 241, 248, 265
19	5	1	it	47	285	5	A	9, 10, 16, 26, 33, 47, 48, 55, 103, 104, 105, 167, 176, 192, 194, 200, 230, 248, 293
19	13	1	we	32	274	2	B	12, 14, 32, 33, 47, 59, 76, 93, 139, 149, 155, 180, 209, 211, 222, 231, 260, 279, 285
17	15	1	so	79	270	6	A	7, 31, 32, 50, 59, 76, 79, 93, 138, 139, 149, 166, 171, 205, 208, 246, 276
17	17	1	uh	148	275	7	A	6, 27, 46, 61, 108, 110, 116, 148, 151, 160, 161, 168, 186, 222, 252, 267, 280
15	1	1	basel	143	237	7	A	26, 41, 56, 89, 95, 135, 137, 143, 150, 154, 176, 253, 254, 260, 262
13	5	1	erase	79	204	1	B	47, 48, 76, 79, 81, 83, 84, 166, 167, 171, 192, 208, 250
13	6	1	should	61	265	3	B	12, 14, 47, 61, 65, 86, 93, 139, 150, 180, 250, 260, 276
10	1	1	montreux	68	211	1	A	66, 68, 80, 86, 161, 163, 170, 171, 268, 276
9	1	1	luzern	126	166	2	A	61, 63, 126, 128, 187, 207, 215, 217, 226
9	9	1	um	80	259	4	B	20, 29, 34, 68, 80, 186, 237, 257, 278
8	1	1	neuchatel	94	200	2	A	77, 86, 94, 150, 170, 171, 173, 276
8	8	1	this	81	276	2	A	7, 36, 81, 84, 91, 213, 279, 282
8	3	1	try	202	154	3	A	135, 154, 157, 170, 193, 202, 279, 288
8	5	1	what	79	269	2	A	13, 31, 79, 112, 183, 184, 223, 281
7	7	1	see	291	140	6	A	152, 195, 215, 253, 262, 275, 291
6	6	1	no	207	163	5	A	45, 61, 92, 112, 187, 207
6	1	1	perfect	292	229	3	A	64, 129, 162, 172, 173, 292
6	1	1	turn	194	186	5	A	9, 10, 11, 21, 35, 194
4	4	1	know	223	223	3	B	1, 115, 202, 223
4	2	1	submit	180	169	3	B	12, 14, 29, 180
3	1	1	good	272	257	2	A	16, 65, 272
2	2	1	but	81	21	1	A	61, 81

