Freq.	Size	Surface Form	Spanning	First Speaker	Turns
3	2	so it	189	A	152, 336, 340
3	2	so we	166	A	120, 245, 285
3	2	submit .	261	A	510, 675, 770
3	2	that we	223	A	514, 527, 736
3	2	to interlaken	336	A	23, 336, 358
3	2	try .	210	A	389, 423, 598
3	2	we did	113	A	406, 514, 518
3	2	we erase	353	A	30, 285, 382
2	2	, and	235	A	102, 336
2	2	, yeah	364	A	116, 479
2	2	a cross	30	A	658, 687
2	2	again .	206	A	40, 245
2	2	at mount	289	A	128, 416
2	2	bob .	288	A	126, 413
2	2	did ?	507	A	194, 700
2	2	did the	243	A	406, 648
2	2	do that	184	A	473, 656
2	2	erase .	23	A	271, 293
2	2	erase mount	366	A	217, 582
2	2	franc .	404	A	243, 646
2	2	hard .	250	A	326, 575
2	2	have the	4	A	15, 18
2	2	i 'm	136	A	212, 347
2	2	i did	402	A	299, 700
2	2	i try	228	A	431, 658
2	2	if we	512	A	102, 613
2	2	it says	624	A	35, 658
2	2	most expensive	11	A	736, 746
2	2	mount davos	4	A	395, 398
2	2	n't .	474	A	163, 636
2	2	neuchatel ,	215	A	336, 550
2	2	no ,	79	A	398, 476
2	2	no it	7	A	658, 664
2	2	oh .	148	A	11, 158
2	2	okay so	43	A	135, 177
2	2	one that	207	A	321, 527
2	2	or we	362	A	105, 466
2	2	that .	358	A	299, 656
2	2	that ?	11	A	473, 483
2	2	that was	180	A	321, 500
2	2	the minimum	70	A	246, 315
2	2	then you	75	A	301, 375
2	2	though .	200	A	122, 321
2	2	to basel	134	A	100, 233
2	2	to be	269	A	290, 558
2	2	to bern	113	A	100, 212
2	2	to zermatt	239	A	279, 517
2	2	true .	3	A	113, 115
2	2	wait !	26	A	486, 511
2	2	wait no	369	A	108, 476
2	2	was the	461	A	188, 648
2	2	we could	84	A	383, 466
2	2	we do	16	A	619, 634
2	2	we go	460	A	102, 561
2	2	we have	296	A	245, 540
2	2	where to	3	A	452, 454
2	2	yeah so	59	A	62, 120
2	2	yes so	342	A	41, 382
2	2	you have	229	A	18, 246
2	2	zermatt ?	149	A	279, 427
61	1	mount	745	A	22, 43, 52, 93, 99, 102, 105, 106, 108, 122, 124, 128, 129, 135, 180, 185, 204, 206, 217, 265, 273, 289, 295, 297, 322, 330, 335, 336, 340, 375, 383, 395, 398, 416, 427, 431, 439, 459, 460, 463, 464, 470, 475, 476, 477, 479, 495, 506, 508, 516, 539, 556, 582, 609, 655, 667, 683, 693, 700, 761, 766
59	1	to	744	A	23, 43, 52, 55, 99, 100, 102, 105, 106, 108, 122, 136, 212, 233, 245, 246, 265, 273, 279, 290, 295, 297, 301, 322, 330, 336, 340, 358, 362, 375, 380, 395, 398, 427, 431, 452, 454, 457, 462, 463, 466, 467, 475, 476, 477, 508, 514, 515, 516, 517, 539, 550, 556, 558, 609, 616, 655, 658, 766
41	1	wait	698	A	64, 92, 108, 165, 188, 256, 258, 284, 352, 354, 398, 408, 409, 423, 426, 430, 470, 472, 474, 476, 486, 491, 493, 495, 511, 512, 530, 531, 533, 545, 547, 560, 604, 612, 616, 627, 689, 718, 728, 734, 761
38	1	i	686	A	15, 30, 79, 99, 102, 121, 122, 124, 126, 128, 147, 154, 156, 165, 194, 210, 212, 217, 222, 273, 279, 299, 321, 322, 347, 358, 406, 423, 431, 479, 482, 495, 548, 575, 636, 655, 658, 700
38	1	one	568	A	194, 222, 225, 227, 233, 258, 261, 285, 301, 319, 321, 340, 380, 382, 406, 482, 493, 495, 527, 536, 550, 552, 584, 605, 648, 650, 660, 669, 698, 709, 712, 719, 721, 723, 725, 728, 745, 761
38	1	we	722	A	28, 30, 40, 52, 99, 102, 104, 105, 120, 122, 128, 131, 156, 161, 163, 194, 245, 285, 370, 382, 383, 404, 406, 409, 414, 466, 514, 515, 518, 527, 540, 561, 613, 616, 619, 634, 736, 749
37	1	okay	703	A	55, 57, 97, 116, 132, 135, 140, 147, 177, 181, 190, 196, 210, 217, 220, 229, 241, 277, 299, 305, 360, 375, 377, 383, 388, 399, 433, 435, 473, 499, 524, 589, 623, 662, 669, 696, 757
36	1	it	681	A	35, 55, 91, 102, 138, 149, 152, 164, 210, 215, 267, 271, 273, 279, 293, 322, 326, 336, 339, 340, 358, 369, 370, 422, 450, 558, 575, 596, 609, 634, 655, 658, 664, 677, 702, 715
35	1	so	525	A	41, 52, 62, 75, 91, 93, 116, 120, 133, 135, 147, 152, 177, 180, 194, 210, 222, 225, 240, 245, 246, 250, 285, 336, 340, 351, 382, 383, 398, 418, 472, 479, 492, 540, 565
32	1	yeah	763	A	2, 50, 62, 65, 95, 113, 116, 119, 120, 131, 142, 144, 151, 154, 156, 174, 176, 220, 274, 292, 309, 325, 365, 391, 421, 443, 479, 618, 621, 650, 696, 764
24	1	should	444	A	52, 99, 105, 120, 122, 128, 133, 147, 156, 161, 163, 194, 210, 217, 222, 279, 358, 382, 404, 409, 414, 431, 479, 495
24	1	the	735	A	15, 18, 79, 188, 194, 212, 225, 233, 246, 265, 285, 301, 315, 406, 418, 495, 514, 515, 527, 536, 648, 700, 746, 749
23	1	that	510	A	227, 299, 321, 341, 382, 384, 443, 447, 473, 483, 488, 500, 514, 522, 527, 530, 540, 552, 656, 666, 700, 712, 736
23	1	then	737	A	30, 100, 102, 108, 124, 180, 185, 217, 293, 301, 375, 380, 383, 452, 466, 475, 477, 538, 539, 561, 593, 669, 766
21	1	and	652	A	100, 102, 124, 185, 217, 336, 340, 375, 383, 466, 475, 477, 517, 538, 539, 561, 575, 593, 669, 748, 751
19	1	no	693	A	15, 79, 102, 108, 163, 273, 290, 384, 398, 463, 476, 488, 530, 540, 656, 658, 664, 689, 707
19	1	you	725	A	18, 55, 126, 246, 293, 301, 319, 341, 370, 375, 380, 475, 476, 534, 548, 648, 656, 659, 742
18	1	go	510	A	52, 99, 100, 102, 105, 120, 122, 147, 336, 339, 340, 375, 380, 383, 466, 475, 476, 561
18	1	n't	544	A	121, 126, 163, 271, 273, 293, 321, 384, 409, 488, 514, 518, 530, 615, 634, 636, 656, 664
17	1	do	688	A	55, 121, 126, 210, 273, 279, 341, 358, 380, 473, 479, 482, 619, 634, 656, 658, 742
15	1	from	692	A	75, 93, 135, 177, 206, 212, 233, 246, 383, 398, 472, 495, 539, 591, 766
14	1	erase	640	A	30, 194, 217, 222, 271, 285, 293, 301, 382, 495, 514, 515, 582, 669
14	1	um	430	A	184, 233, 332, 335, 354, 486, 516, 532, 546, 568, 594, 599, 609, 613
12	1	think	377	A	30, 79, 99, 102, 122, 124, 126, 128, 154, 156, 322, 406
12	1	this	485	A	261, 482, 605, 650, 669, 719, 721, 723, 725, 728, 732, 745
12	1	try	510	A	149, 369, 370, 389, 414, 422, 423, 431, 598, 634, 655, 658
12	1	which	540	A	222, 258, 321, 380, 493, 550, 584, 648, 660, 698, 709, 761
11	1	because	695	A	55, 128, 131, 273, 290, 293, 347, 550, 666, 689, 749
10	1	was	624	A	79, 138, 188, 319, 321, 322, 500, 575, 648, 702
10	1	zermatt	391	A	265, 279, 336, 340, 427, 464, 475, 476, 517, 655
9	1	luzern	567	A	43, 340, 397, 398, 421, 427, 431, 556, 609
8	1	did	507	A	194, 299, 406, 514, 518, 575, 648, 700
8	1	how	544	A	91, 138, 188, 215, 456, 473, 483, 634
7	1	have	526	A	15, 18, 55, 245, 246, 290, 540
7	1	is	533	A	215, 273, 315, 483, 584, 732, 747
7	1	just	552	A	126, 194, 212, 466, 634, 644, 677
7	1	not	449	A	267, 347, 416, 463, 540, 659, 715
7	1	oh	614	A	11, 113, 149, 158, 466, 486, 624
7	1	what	398	A	345, 354, 460, 470, 547, 548, 742
6	1	a	362	A	341, 540, 616, 658, 687, 702
6	1	much	497	A	138, 164, 188, 215, 483, 634
6	1	there	454	A	131, 378, 466, 550, 561, 584
6	1	uh	623	A	122, 129, 293, 545, 577, 744
5	1	've	709	A	28, 40, 126, 131, 736
5	1	gallen	590	A	105, 135, 506, 684, 694
5	1	if	512	A	102, 293, 475, 476, 613
4	1	at	352	A	65, 128, 161, 416
4	1	can	35	A	336, 339, 340, 370
4	1	francs	361	A	248, 312, 315, 608
4	1	maybe	36	A	383, 409, 414, 418
4	1	me	445	A	271, 375, 380, 715
4	1	now	589	A	28, 238, 363, 616
4	1	or	430	A	105, 466, 529, 534
4	1	submit	261	A	510, 596, 675, 770
4	1	where	322	A	133, 395, 452, 454
3	1	again	472	A	40, 245, 511
3	1	are	279	A	473, 550, 751
3	1	be	457	A	102, 290, 558
3	1	but	648	A	55, 616, 702
3	1	could	152	A	383, 466, 534
3	1	know	265	A	370, 575, 634
3	1	like	64	A	416, 418, 479
3	1	need	103	A	514, 518, 616
3	1	remember	130	A	321, 447, 450
3	1	them	246	A	273, 319, 518
3	1	they	462	A	290, 748, 751
3	1	though	463	A	122, 321, 584
3	1	three	215	A	336, 340, 550
3	1	two	292	A	293, 340, 584
3	1	yes	732	A	41, 382, 772
2	1	're	90	A	659, 748
2	1	3s	4	A	748, 751
2	1	about	5	A	456, 460
2	1	all	4	A	748, 751
2	1	as	276	A	131, 406
2	1	before	243	A	406, 648
2	1	erased	551	A	199, 749
2	1	first	136	A	79, 214
2	1	hmm	37	A	307, 343
2	1	keep	13	A	536, 548
2	1	mean	578	A	165, 742
2	1	said	194	A	126, 319
2	1	say	28	A	548, 575
2	1	somewhere	5	A	414, 418
2	1	sorry	226	A	336, 561
2	1	start	165	A	245, 409
2	1	started	4	A	128, 131
2	1	time	605	A	30, 634
2	1	track	3	A	744, 746
2	1	upload	34	A	677, 710
2	1	well	35	A	131, 165
2	1	would	48	A	55, 102

