team_no,attempt_no,turn_no,start,end,subject,verb,object
17,2,12,355.362,358.597,A,says,"oh so what's the minimum is 9 i think , wait ."
17,3,12,357.644,357.644,A,presses,compare (enabled)
17,3,12,359.332,362.358,A,says,"we had the price which is 29 , so"
17,3,12,363.230,365.521,A,says,i think we used to do it one more time .
17,3,12,363.252,363.252,A,presses,previous (enabled)
17,3,12,366.213,366.767,B,says,um
17,3,12,367.416,368.779,A,says,okay your turn first .
17,3,12,369.303,371.565,A,says,why don't you go from a different mountain this time ?
17,3,12,372.829,374.402,B,says,maybe mount bern ?
17,3,12,376.700,377.329,A,says,where ?
17,3,12,377.449,378.452,B,says,mount bern .
17,3,12,378.559,379.877,A,says,okay start from there .
17,3,12,381.694,383.476,A,says,maybe go to mount basel after .
17,3,12,384.588,386.490,A,says,that might cost less .
17,3,12,387.562,387.562,B,adds,Basel-Bern (0-3)
17,3,12,388.442,390.799,A,says,"yeah , and then go to mount zurich ."
17,3,12,393.276,393.276,B,adds,Basel-Zurich (0-2)
17,3,12,394.146,394.805,A,says,yeah .
17,3,12,395.044,397.471,A,says,oh no that costs more .
17,3,12,397.775,398.688,A,says,uh
17,3,12,398.179,399.707,B,says,we should erase it .
17,3,12,400.101,401.823,A,says,"yeah , i'll erase it ."
17,3,13,401.185,401.185,A,removes,Basel-Zurich (0-2)
17,3,13,402.994,402.994,A,removes,Basel-Bern (0-3)
17,3,13,403.327,405.170,A,says,"that , that's better okay ."
17,3,13,405.589,408.755,A,says,"so , go from mount bern"
17,3,13,409.279,412.320,A,says,to straight to mount zurich i think maybe that's better .
17,3,13,413.065,414.637,A,says,that would cost a lot .
17,3,14,413.932,413.932,B,adds,Zurich-Bern (2-3)
17,3,14,414.877,416.195,A,says,yeah .
17,3,14,416.959,419.430,A,says,then mount saint gallen maybe ?
17,3,14,422.342,422.342,B,adds,Zurich-Gallen (2-8)
17,3,14,422.988,425.449,A,says,"yeah , it's better ."
17,3,14,427.385,430.246,A,says,i'm gonna go from mount bern to mount basel .
17,3,15,428.752,428.752,A,adds,Basel-Bern (0-3)
17,3,15,432.498,436.141,A,says,oh you're gonna go from saint gallen right down to mount davos .
17,3,15,434.291,434.291,A,adds,Gallen-Davos (8-9)
17,3,15,436.580,438.258,A,says,yeah that's better .
17,3,15,439.179,440.843,A,says,so we cut the 5 out .
17,3,15,442.053,443.600,B,says,i'll go from
17,3,15,450.625,455.281,A,says,"uh no i think you should go from mount davos to mount luzern, but if you want to go from mount"
17,3,16,455.782,455.782,B,adds,Luzern-Davos (1-9)
17,3,16,456.401,458.188,A,says,"yeah, maybe like that's better ."
17,3,16,459.196,459.196,R,shows,observe gesture
17,3,16,459.715,463.161,A,says,and then mount luzern to mount zermatt .
17,3,16,465.244,465.244,B,adds,Luzern-Zermatt (1-4)
17,3,16,466.163,467.708,A,says,"yeah , perfect ."
17,3,16,468.485,470.257,A,says,"oh good , should i go to mount"
17,3,16,471.270,476.671,A,says,interlaken interlaken or mount montreux ?
17,3,16,477.373,477.866,A,says,i think
17,3,16,477.458,480.426,B,says,um montreux i think .
17,3,16,480.663,481.381,A,says,okay .
17,3,17,481.984,481.984,A,adds,Zermatt-Montreux (4-6)
17,3,17,482.659,483.950,A,says,and then i'll go to mount
17,3,17,483.950,484.836,A,says,interlaken .
17,3,17,484.048,485.005,B,says,interlaken .
17,3,17,484.260,484.260,A,adds,Interlaken-Montreux (5-6)
17,3,17,485.174,485.990,A,says,yeah .
17,3,17,487.272,488.182,A,says,oh actually
17,3,17,488.425,489.464,A,says,oh next time
17,3,17,489.464,492.899,A,says,can you erase mount interlaken so we go straight mount
17,3,17,493.254,495.968,A,says,"neuchatel because that costs more , mount"
17,3,17,496.334,497.403,A,says,interlaken .
17,3,17,499.564,500.999,B,says,"so , erase what ?"
17,3,17,501.147,507.481,A,says,um mount montreux to mount interlaken because that costs 4 .
17,3,17,508.034,509.525,B,says,but how do you erase this ?
17,3,17,510.959,511.873,A,says,maybe you already
17,3,17,512.098,513.716,A,says,erase
17,3,17,513.982,514.967,B,says,how do you erase this ?
17,3,17,515.890,523.893,I,says,"so , is it that one , you can erase press press on on it ."
17,3,18,522.065,522.065,B,removes,Interlaken-Montreux (5-6)
17,3,18,522.818,523.238,B,says,yeah .
17,3,18,527.971,532.209,A,says,"yeah then i think you go should mount montreux , to mount neuchatel ?"
17,3,18,532.955,534.024,B,says,okay .
17,3,18,534.438,534.438,B,adds,Montreux-Neuchatel (6-7)
17,3,18,535.744,536.264,A,says,yeah .
17,3,18,537.061,542.612,A,says,"then i'm gonna go , to mount basel , and then i go mount basel to mount interlaken ."
17,3,19,539.609,539.609,A,adds,Basel-Neuchatel (0-7)
17,3,19,544.092,545.400,A,says,oh you can't do that .
17,3,19,547.369,549.831,A,says,then you go from this to that yeah that's better .
17,3,19,548.669,548.669,A,adds,Interlaken-Bern (5-3)
17,3,19,551.275,553.235,A,says,oh no that cost 4 .
17,3,19,554.470,556.947,B,says,so should we go from mount
17,3,19,557.650,560.066,B,says,neuchatel to mount interlaken ?
17,3,19,561.571,564.787,A,says,yeah then cut out mount basel to mount interlaken .
17,3,19,565.154,565.822,A,says,maybe .
17,3,20,567.222,567.222,B,removes,Interlaken-Bern (5-3)
17,3,20,568.288,568.731,A,says,yeah .
17,3,20,569.170,570.689,A,says,and then just do mount
17,3,20,571.407,573.094,A,says,to interlaken to mount zermatt ?
17,3,20,573.322,574.370,A,says,maybe that's better ?
17,3,20,579.197,579.197,R,shows,thinking gesture
17,3,20,579.212,579.212,R,says,"hmm, i see."
17,3,20,581.134,581.970,R,says,i see .
17,3,20,584.626,584.626,B,adds,Zermatt-Interlaken (4-5)
17,3,20,585.458,587.343,A,says,"yeah like that , i think that's better ."
17,3,20,587.540,588.133,B,says,yeah .
17,3,20,587.677,589.303,A,says,"do you wanna , do , it ?"
17,3,20,590.826,593.530,A,says,"yeah let's go , i'm ticking it ."
17,3,21,591.309,591.309,A,presses,submit (enabled)
17,3,21,594.653,596.781,A,says,okay tick it maybe .
17,3,21,596.583,597.176,B,says,okay .
17,3,21,597.210,597.210,T,submits,cost=27 (opt_cost=22)
17,3,21,597.402,597.402,R,shows,talking emotion
17,3,21,597.411,597.411,R,shows,up_left gesture
17,3,21,597.417,598.481,A,says,yeah .
17,3,21,597.429,597.429,B,presses,submit (enabled)
17,3,21,597.495,597.495,R,says,you are away from the minimum by 5 francs. let's try again.
17,3,21,597.980,601.065,R,says,you are away from the minimum by 5 francs .
17,3,21,601.409,602.143,A,says,uh
17,3,21,602.128,603.439,R,says,let's try again .
17,3,21,604.907,605.333,A,says,okay .
17,3,21,606.153,606.913,A,says,uh
17,3,21,607.358,609.531,A,says,i'm gonna start
17,3,21,610.227,614.169,A,says,"at mount zermatt because that's the , no what is the cheapest ?"
17,3,21,614.200,615.096,B,says,okay .
17,3,21,616.052,617.830,A,says,which one is the cheapest bob ?
17,3,21,618.483,619.441,B,says,i don't know .
17,3,21,619.243,620.964,A,says,okay uh okay go from
17,3,21,621.466,622.210,A,says,mount
17,3,21,623.092,624.474,A,says,saint gallen
17,4,21,625.140,625.140,A,adds,Gallen-Davos (8-9)
17,4,21,625.329,626.924,A,says,to mount davos
17,4,21,626.879,628.155,B,says,that's 2 .
17,4,21,628.317,630.413,A,says,that's 2 okay then
17,4,21,633.142,637.518,A,says,i'm gonna go from mount davos to mount zermatt .
17,4,21,636.864,636.864,A,adds,Zermatt-Davos (4-9)
17,4,21,638.155,639.431,B,says,that's 3 .
17,4,21,638.853,640.176,A,says,that's 3 yeah .
17,4,21,641.310,643.574,B,says,then i'm going to go from
17,4,21,644.166,646.895,B,says,"mount zermatt to mount , luzern ?"
17,4,21,646.606,647.260,A,says,yeah .
17,4,22,648.160,648.160,B,adds,Luzern-Zermatt (1-4)
17,4,22,651.537,655.488,A,says,luzern to mount zurich maybe that costs less .
17,4,22,657.676,657.676,B,adds,Luzern-Zurich (1-2)
17,4,22,657.892,660.855,A,says,"yeah that cost 2, perfect ."
17,4,22,661.685,665.190,A,says,then maybe to mount zermatt how much does that cost ?
17,4,23,662.514,662.514,A,adds,Zurich-Bern (2-3)
17,4,23,664.916,665.509,B,says,3 .
17,4,23,666.105,666.622,A,says,3 ?
17,4,23,668.475,668.992,A,says,wait .
17,4,23,669.373,669.373,A,removes,Zurich-Bern (2-3)
17,4,23,670.041,670.664,A,says,or
17,4,23,670.983,674.755,A,says,maybe try mount zurich to mount basel how much is that ?
17,4,23,674.015,674.698,B,says,yeah .
17,4,23,675.716,678.597,A,says,basel basel .
17,4,24,679.065,679.065,B,adds,Basel-Zurich (0-2)
17,4,24,679.843,681.500,A,says,that's 5 so don't do that .
17,4,24,683.428,686.315,A,says,so we should do mount zurich to mount bern yeah .
17,4,24,685.345,685.345,B,removes,Basel-Zurich (0-2)
17,4,24,686.825,687.965,A,says,i'll do that now .
17,4,24,687.904,688.755,B,says,okay .
17,4,25,688.834,688.834,A,adds,Zurich-Bern (2-3)
17,4,25,689.788,690.670,A,says,then
17,4,25,692.537,694.634,B,says,then mount bern to mount basel ?
17,4,25,694.917,695.480,A,says,yeah .
17,4,25,695.914,695.914,A,adds,Basel-Bern (0-3)
17,4,25,695.920,696.893,A,says,how much is that ?
17,4,25,696.918,698.240,B,says,that's 3 .
17,4,25,697.769,698.999,A,says,yeah that's better .
17,4,25,700.821,701.900,B,says,uh
17,4,25,701.140,704.028,A,says,we haven't got any 5s or even 4s yet so
17,4,25,706.087,711.101,B,says,"should i go from mount basel to , mount , neuchatel ?"
17,4,25,712.001,712.883,A,says,uh
17,4,25,713.202,714.267,A,says,see how much that is yeah .
17,4,25,714.615,715.375,A,says,do that .
17,4,26,715.844,715.844,B,adds,Basel-Neuchatel (0-7)
17,4,26,716.426,721.347,A,says,"that's 4 , maybe try mount basel from to mount interlaken ."
17,4,26,721.582,722.797,B,says,we can't do that .
17,4,26,722.721,723.983,A,says,"you can't , okay ."
17,4,26,724.125,724.125,B,removes,Basel-Neuchatel (0-7)
17,4,26,725.642,729.806,A,says,i'm gonna try mount bern to mount mount interlaken .
17,4,27,730.386,730.386,A,adds,Interlaken-Bern (5-3)
17,4,27,730.883,731.932,A,says,how much is that ?
17,4,27,731.780,732.722,B,says,that's 4 .
17,4,27,732.904,734.925,A,says,yeah i'm gonna go don't do that uh .
17,4,27,734.088,734.088,A,removes,Interlaken-Bern (5-3)
17,4,27,736.625,739.771,B,says,uh mount zermatt to mount montreux .
17,4,28,741.578,741.578,B,adds,Zermatt-Montreux (4-6)
17,4,28,742.266,744.226,A,says,yeah that's 2 that's perfect .
17,4,28,744.713,749.016,A,says,"okay ,then , do mounts montreux to mount interlaken ."
17,4,28,751.373,751.373,B,adds,Interlaken-Montreux (5-6)
17,4,28,751.907,753.046,B,says,how much is that ?
17,4,28,751.967,753.077,A,says,that's 4 .
17,4,28,754.292,757.240,A,says,"i'm gonna do so wait , i'm gonna erase , that ."
17,4,28,759.928,762.603,A,says,"have to erase it , oh you can't because you've done it ."
17,4,28,765.539,766.739,A,says,uh
17,4,28,767.712,768.289,A,says,wait .
17,4,28,768.611,771.878,B,says,"maybe try mount montreux to mount , neuchatel ?"
17,4,29,770.000,770.000,A,removes,Interlaken-Montreux (5-6)
17,4,29,772.156,776.387,A,says,"wait so i'll erase , i'm gonna go from mount montreux to mount neuchatel how much is that ?"
17,4,29,775.363,775.363,A,adds,Montreux-Neuchatel (6-7)
17,4,29,776.617,777.954,B,says,2 that's perfect .
17,4,29,777.103,782.842,A,says,"yeah that's perfect then go from mount neuchatel to mount , interlaken ."
17,4,30,784.265,784.265,B,adds,Interlaken-Neuchatel (5-7)
17,4,30,784.926,785.746,A,says,and then
17,4,30,786.339,787.296,A,says,i think go
17,4,30,787.903,792.295,A,says,"from mount interlaken to mount basel , it's better ."
17,4,30,793.832,795.139,B,says,you can't do that .
17,4,30,795.109,796.446,A,says,you can't ?
17,4,30,796.157,796.765,B,says,yeah .
17,4,30,797.282,799.029,A,says,then i think we should submit .
17,4,30,799.986,800.518,A,says,yeah ?
17,4,30,800.685,801.217,B,says,yeah .
17,4,30,801.326,801.326,A,presses,submit (enabled)
17,4,30,801.751,801.751,T,submits,cost=23 (opt_cost=22)
17,4,30,801.931,801.931,B,presses,submit (enabled)
17,4,30,802.177,802.177,R,shows,talking emotion
17,4,30,802.178,802.178,R,shows,up_left gesture
17,4,30,802.273,802.273,R,says,you are away from the minimum by 1 francs. let's try again.
17,4,30,802.892,805.843,R,says,you are away from the minimum by 1 francs .
17,4,30,805.792,807.631,A,says,oh what oh .
17,4,30,805.792,806.840,B,says,what .
17,4,30,806.877,808.132,R,says,let's try again .
17,4,30,808.314,809.986,A,says,oh i've got 1 franc okay .
17,4,30,815.173,816.940,I,says,"sorry , continue ."
17,4,30,819.820,821.659,I,says,okay continue .
17,4,30,820.739,825.541,A,says,uh um maybe go from mount zermatt to mount zurich .
17,4,30,825.541,828.507,A,says,oh no maybe go from mount zermatt to mount luzern .
17,4,30,828.656,829.507,B,says,okay .
17,4,30,830.024,830.920,B,says,how much is that ?
17,5,30,830.132,830.132,B,adds,Luzern-Zermatt (1-4)
17,5,30,830.966,832.424,A,says,3 franc .
17,5,30,833.071,835.564,A,says,maybe that's too expensive .
17,5,30,835.785,837.563,B,says,yeah maybe i'll erase it .
17,5,30,837.381,840.743,A,says,"yeah , then try mount zermatt to mount"
17,5,30,839.145,839.145,B,removes,Luzern-Zermatt (1-4)
17,5,30,840.393,841.457,B,says,it's your turn .
17,5,30,841.594,844.754,A,says,okay i'll just see for mount zermatt to mount davos .
17,5,30,845.153,846.034,B,says,okay .
17,5,30,846.672,848.313,A,says,how much is that bob ?
17,5,31,846.676,846.676,A,adds,Zermatt-Davos (4-9)
17,5,31,847.873,849.256,B,says,that's 3 .
17,5,31,850.637,851.792,A,says,you can go for 3 .
17,5,31,852.020,853.779,A,says,oh though last time it was 2 .
17,5,31,855.700,858.010,A,says,"yeah , do you wannna do 3 or , 2 ?"
17,5,31,858.662,862.127,B,says,"i don't know , try , mount davos to mount zermatt ."
17,5,31,860.553,863.711,I,says,you guys can check .
17,5,31,864.678,868.242,I,says,you can check your previous solutions you have that .
17,5,31,865.013,865.651,A,says,mount
17,5,31,867.604,869.716,A,says,"oh yeah oh , wait ."
17,5,31,870.050,873.029,A,says,bob so you wanna do mount zermatt to mount davos ?
17,5,31,873.863,874.562,B,says,yeah .
17,5,31,874.896,877.555,B,says,no mount luzern to mount davos .
17,5,31,878.122,883.384,A,says,"mount , okay , so i'm gonna erase mount zermatt , wait i'm gonna have a look at our previous solutions ."
17,5,31,879.486,879.486,A,removes,Zermatt-Davos (4-9)
17,5,32,881.339,881.339,A,presses,compare (enabled)
17,5,32,886.183,887.474,A,says,last time we did
17,5,32,887.976,889.206,A,says,mount zermatt
17,5,32,889.890,891.712,A,says,we need to find as a way to do
17,5,32,891.971,895.678,A,says,mount zermatt to mount davos or mount davos .
17,5,32,895.864,899.100,A,says,"why don't you do , this , why don't you do mount gallen"
17,5,32,900.149,901.729,A,says,to mount davos .
17,5,32,903.318,909.233,A,says,"mount saint gallen , yeah , and then to mount davos , to mount luzern , see how much that is ."
17,5,32,903.560,903.560,B,adds,Gallen-Davos (8-9)
17,5,32,910.542,910.542,B,adds,Luzern-Davos (1-9)
17,5,32,911.865,912.792,A,says,that's 3 .
17,5,32,913.719,916.150,A,says,how much is mount luzern to mount zermatt ?
17,5,33,914.787,914.787,A,adds,Luzern-Zermatt (1-4)
17,5,33,916.555,917.725,B,says,okay .
17,5,33,917.774,919.932,A,says,"how much is that , which i just put ?"
17,5,33,919.638,920.853,B,says,that's 3 .
17,5,33,922.206,923.893,A,says,yeah then i'll not gonna do that .
17,5,33,924.646,927.275,A,says,uh how do we get to mount zermatt uh .
17,5,33,931.644,933.695,A,says,oh you know what that's 3 3 6 .
17,5,33,934.419,935.027,A,says,7 8 .
17,5,33,935.361,936.744,A,says,8 that's 8 .
17,5,33,939.087,943.139,A,says,"i'll go to mount luzern to mount zurich how much is that , that's 2 ."
17,5,33,940.415,940.415,A,adds,Luzern-Zurich (1-2)
17,5,33,942.257,943.609,B,says,that's 2 .
17,5,33,943.944,945.022,A,says,is that okay ?
17,5,33,944.840,945.615,B,says,yeah .
17,5,33,945.615,946.540,A,says,it's better .
17,5,33,947.452,948.227,A,says,because we did
17,5,33,947.695,950.947,B,says,i'll i'll do from mount zurich to mount bern .
17,5,33,951.777,952.369,A,says,okay .
17,5,34,952.170,952.170,B,adds,Zurich-Bern (2-3)
17,5,34,952.855,953.737,B,says,how much is that ?
17,5,34,953.752,954.876,A,says,"3 , i don't"
17,5,34,956.242,957.610,A,says,"yeah , do that one ."
17,5,34,958.774,959.792,B,says,um
17,5,34,961.038,963.859,A,says,then do mount bern to mount zermatt .
17,5,34,964.786,965.975,A,says,maybe that's better .
17,5,34,966.340,967.905,B,says,you can't do that .
17,5,34,967.595,968.066,A,says,oh .
17,5,34,969.793,970.857,A,says,then do
17,5,34,971.225,973.444,B,says,mount bern to mount interlaken ?
17,5,34,973.980,974.527,A,says,yeah .
17,5,34,974.937,976.426,A,says,i think that's 4 though .
17,5,34,977.048,977.048,B,adds,Interlaken-Bern (5-3)
17,5,34,977.068,978.041,A,says,so don't do that .
17,5,34,978.087,979.029,B,says,is that 4 ?
17,5,34,978.406,980.184,A,says,"oh yeah it's , it is 4 ."
17,5,34,980.434,981.380,B,says,okay .
17,5,35,981.042,981.042,A,removes,Interlaken-Bern (5-3)
17,5,35,981.753,983.014,B,says,should erase that .
17,5,35,981.813,982.832,A,says,okay .
17,5,35,984.076,987.404,A,says,"how much is , wait look at our uh previous reviews ."
17,5,35,987.625,987.625,B,presses,compare (enabled)
17,5,35,988.122,991.287,A,says,see how much mount bern to mount basel was would you ?
17,5,35,991.135,994.159,B,says,mount bern to mount basel is 3 .
17,5,35,994.603,995.530,A,says,3 okay .
17,5,35,996.488,997.764,A,says,do you wanna do that ?
17,5,35,998.260,999.704,B,says,um okay .
17,5,35,999.764,1000.463,A,says,yeah .
17,5,35,1001.002,1001.002,A,adds,Basel-Bern (0-3)
17,5,36,1001.130,1001.130,B,presses,previous (enabled)
17,5,36,1003.105,1003.890,A,says,then
17,5,36,1004.573,1007.515,A,says,i think we should go from mount bern to mount basel then
17,5,36,1007.932,1008.707,A,says,go from
17,5,36,1009.926,1012.601,A,says,basel to interlaken see how much that is ?
17,5,36,1013.024,1013.556,A,says,maybe .
17,5,36,1013.206,1014.467,B,says,you can't do that .
17,5,36,1014.407,1014.954,A,says,oh .
17,5,36,1015.835,1017.598,A,says,"okay , then go to mount"
17,5,36,1019.132,1019.801,A,says,uh
17,5,36,1020.418,1024.095,A,says,can you go to mount zermatt to mount mount montreux ?
17,5,36,1026.437,1026.437,B,adds,Zermatt-Montreux (4-6)
17,5,36,1027.233,1027.780,A,says,yeah .
17,5,36,1027.279,1028.175,B,says,how much is that ?
17,5,36,1028.130,1028.722,A,says,2 .
17,5,36,1028.996,1030.196,B,says,okay that's good .
17,5,36,1030.515,1031.229,A,says,then
17,5,36,1032.171,1033.052,A,says,mount
17,5,36,1033.725,1036.916,A,says,interlaken see that's 4 though don't do that .
17,5,36,1037.457,1040.739,B,says,so should i do mount montreux to mount neuchatel ?
17,5,36,1040.890,1041.726,A,says,yeah .
17,5,36,1042.778,1043.508,B,says,um
17,5,36,1042.939,1042.939,B,adds,Montreux-Neuchatel (6-7)
17,5,36,1043.584,1049.858,A,says,then we're gonna be stuck in the same position of how do we get to mount interlaken i'm gonna try this .
17,5,36,1051.052,1052.572,A,says,uh how much is that ?
17,5,36,1053.210,1053.833,B,says,what ?
17,5,37,1053.229,1053.229,A,adds,Interlaken-Bern (5-3)
17,5,37,1054.065,1056.010,A,says,this mount bern to
17,5,37,1055.250,1056.131,B,says,that's 4 .
17,5,37,1056.435,1057.453,A,says,"that's , okay ."
17,5,37,1057.848,1060.427,A,says,we need to found another way to get to mount though .
17,5,37,1060.036,1060.036,A,removes,Interlaken-Bern (5-3)
17,5,37,1061.022,1062.238,B,says,interlaken .
17,5,37,1061.645,1062.390,A,says,yeah .
17,5,37,1063.165,1065.307,A,says,try to zermatt to interlaken .
17,5,37,1065.752,1066.238,B,says,yeah .
17,5,37,1066.831,1067.545,A,says,does that work ?
17,5,37,1068.289,1069.200,B,says,let's see .
17,5,38,1068.604,1068.604,B,adds,Zermatt-Interlaken (4-5)
17,5,38,1069.307,1071.009,A,says,that's 2 perfect yeah do that .
17,5,38,1071.347,1072.213,A,says,i think that's it .
17,5,38,1072.931,1073.569,B,says,yeah .
17,5,38,1073.007,1074.238,A,says,"do you wanna do that , yeah ."
17,5,38,1074.587,1075.073,A,says,done .
17,5,38,1074.735,1074.735,A,presses,submit (enabled)
17,5,38,1076.489,1076.489,T,submits,cost=22 (opt_cost=22)
17,5,38,1076.621,1076.621,B,presses,submit (enabled)
17,5,38,1076.671,1076.671,R,shows,happy gesture
17,5,38,1076.674,1076.674,R,shows,happy emotion
17,5,38,1076.721,1076.721,R,says,congratulations! you found the best way to connect all gold mines. i am so happy!
